Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	    3.8	    9.3
     2	      1	   2010	    7.2	   23.3
     3	      1	   2010	    6.9	   21.1
     4	      1	   2010	    9.8	   19.8
     5	      1	   2010	    6.9	   25.3
     6	      1	   2010	    7.1	   21.9
     7	      1	   2010	    2.2	    7.6
     8	      1	   2010	    5.9	  347.3
     9	      1	   2010	    6.2	   13.4
    10	      1	   2010	    2.0	    9.8
    11	      1	   2010	   19.2	    6.6
    12	      1	   2010	    5.3	    8.9
    13	      1	   2010	    3.4	   11.8
    14	      1	   2010	    3.8	   18.3
    15	      1	   2010	    7.5	    4.5
    16	      1	   2010	   13.1	   15.9
    17	      1	   2010	    3.2	   53.4
    18	      1	   2010	   19.2	   17.3
    19	      1	   2010	    5.4	    8.4
    20	      1	   2010	    7.9	   13.8
    21	      1	   2010	    8.9	   10.1
    22	      1	   2010	   11.0	   18.1
    23	      1	   2010	   21.0	    1.6
    24	      1	   2010	    8.9	  356.6
    25	      1	   2010	   11.3	    4.1
    26	      1	   2010	    9.5	    6.6
    27	      1	   2010	   18.1	   10.3
    28	      1	   2010	   11.7	    9.0
    29	      1	   2010	   11.1	  357.5
    30	      1	   2010	   10.5	   18.7
    31	      1	   2010	   14.5	   12.5
     1	      2	   2010	   14.5	    5.9
     2	      2	   2010	    8.4	  358.8
     3	      2	   2010	   18.6	   14.5
     4	      2	   2010	    3.1	   32.4
     5	      2	   2010	   -0.6	  357.4
     6	      2	   2010	   15.9	   14.7
     7	      2	   2010	   -0.2	    8.1
     8	      2	   2010	    4.0	   22.9
     9	      2	   2010	   12.9	   27.3
    10	      2	   2010	    9.9	   12.6
    11	      2	   2010	    5.9	   28.5
    12	      2	   2010	   11.1	  358.9
    13	      2	   2010	   12.0	   20.0
    14	      2	   2010	    7.8	   28.3
    15	      2	   2010	   11.1	  357.5
    16	      2	   2010	   13.1	  359.4
    17	      2	   2010	    4.5	    2.5
    18	      2	   2010	    5.5	    1.1
    19	      2	   2010	   17.7	    6.2
    20	      2	   2010	    8.9	   10.5
    21	      2	   2010	   -0.4	   17.0
    22	      2	   2010	    5.0	  349.6
    23	      2	   2010	   10.7	    3.7
    24	      2	   2010	    8.9	    8.0
    25	      2	   2010	   15.8	   18.6
    26	      2	   2010	    3.7	  358.4
    27	      2	   2010	    5.6	    5.6
    28	      2	   2010	   15.3	   15.8
     1	      3	   2010	    2.6	   25.1
     2	      3	   2010	    8.6	    3.4
     3	      3	   2010	   14.5	  356.9
     4	      3	   2010	    5.7	   17.8
     5	      3	   2010	    8.8	  352.0
     6	      3	   2010	    7.3	   17.4
     7	      3	   2010	   16.7	    6.8
     8	      3	   2010	   -0.9	   18.6
     9	      3	   2010	   11.7	    1.7
    10	      3	   2010	   10.9	   19.7
    11	      3	   2010	    4.0	   10.2
    12	      3	   2010	   11.4	   17.5
    13	      3	   2010	    8.5	   17.2
    14	      3	   2010	    3.3	   12.3
    15	      3	   2010	    9.1	   11.4
    16	      3	   2010	    4.5	  359.7
    17	      3	   2010	   14.8	    9.3
    18	      3	   2010	    4.6	   16.6
    19	      3	   2010	    8.1	   22.1
    20	      3	   2010	   14.3	   20.8
    21	      3	   2010	    7.7	    4.0
    22	      3	   2010	    5.7	    0.8
    23	      3	   2010	    9.6	   17.7
    24	      3	   2010	    3.3	    0.1
    25	      3	   2010	   10.6	   13.1
    26	      3	   2010	   10.6	   29.3
    27	      3	   2010	   11.4	   17.1
    28	      3	   2010	    6.9	   28.9
    29	      3	   2010	   -1.4	    8.4
    30	      3	   2010	    6.7	   12.5
    31	      3	   2010	    8.6	   14.0
     1	      4	   2010	    9.1	    2.0
     2	      4	   2010	   12.1	   16.2
     3	      4	   2010	    4.0	   23.7
     4	      4	   2010	    4.0	  359.1
     5	      4	   2010	   16.4	   21.7
     6	      4	   2010	    5.1	  354.8
     7	      4	   2010	    8.4	   25.6
     8	      4	   2010	   14.2	    3.9
     9	      4	   2010	    5.8	   13.8
    10	      4	   2010	   14.7	    6.9
    11	      4	   2010	   13.8	   19.4
    12	      4	   2010	   15.4	    9.4
    13	      4	   2010	    8.3	   13.5
    14	      4	   2010	    4.2	   26.9
    15	      4	   2010	    2.8	   17.2
    16	      4	   2010	   -0.7	    9.0
    17	      4	   2010	   13.8	    2.9
    18	      4	   2010	    6.7	   31.5
    19	      4	   2010	    6.4	    1.4
    20	      4	   2010	    2.6	   17.8
    21	      4	   2010	    5.5	   32.0
    22	      4	   2010	   15.7	    5.9
    23	      4	   2010	    3.4	   30.7
    24	      4	   2010	    1.7	   21.3
    25	      4	   2010	    6.7	    1.5
    26	      4	   2010	   12.0	   10.6
    27	      4	   2010	   19.2	    4.4
    28	      4	   2010	    2.5	    9.9
    29	      4	   2010	    6.8	   31.2
    30	      4	   2010	   10.0	   21.8
     1	      5	   2010	    7.2	   16.3
     2	      5	   2010	    6.7	   11.5
     3	      5	   2010	    9.9	   17.0
     4	      5	   2010	    9.0	   11.1
     5	      5	   2010	    2.9	  355.1
     6	      5	   2010	    4.0	    6.8
     7	      5	   2010	   11.7	   15.8
     8	      5	   2010	   10.8	   22.6
     9	      5	   2010	   11.9	   33.6
    10	      5	   2010	   12.4	   19.4
    11	      5	   2010	    5.1	   14.2
    12	      5	   2010	    7.1	  353.6
    13	      5	   2010	    7.8	    8.4
    14	      5	   2010	    7.6	  357.3
    15	      5	   2010	    3.9	    9.7
    16	      5	   2010	    1.2	   32.5
    17	      5	   2010	   11.8	   14.9
    18	      5	   2010	    7.5	   16.1
    19	      5	   2010	    2.7	   20.0
    20	      5	   2010	    8.4	   15.4
    21	      5	   2010	    2.7	    7.1
    22	      5	   2010	    2.5	   19.8
    23	      5	   2010	    4.6	  343.0
    24	      5	   2010	   12.9	   14.1
    25	      5	   2010	   10.3	   23.5
    26	      5	   2010	   15.6	    5.0
    27	      5	   2010	    5.0	    3.5
    28	      5	   2010	    4.8	   24.8
