Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	    3.3	  352.2
     2	      1	   2010	    6.0	   10.4
     3	      1	   2010	    7.7	    7.5
     4	      1	   2010	    3.6	    7.7
     5	      1	   2010	    5.4	    8.3
     6	      1	   2010	   13.9	    0.3
     7	      1	   2010	   -0.8	   31.3
     8	      1	   2010	    8.2	   11.1
     9	      1	   2010	    6.8	   15.4
    10	      1	   2010	    8.4	    7.5
    11	      1	   2010	    9.6	    2.1
    12	      1	   2010	    6.4	   12.2
    13	      1	   2010	    6.4	   12.2
    14	      1	   2010	   11.0	    5.4
    15	      1	   2010	    6.0	   19.0
    16	      1	   2010	    4.5	    3.7
    17	      1	   2010	    8.9	  358.6
    18	      1	   2010	    4.5	   16.5
    19	      1	   2010	    1.9	  354.1
    20	      1	   2010	    7.6	    6.4
    21	      1	   2010	    2.0	   18.1
    22	      1	   2010	    6.6	    2.6
    23	      1	   2010	    8.0	   13.5
    24	      1	   2010	    6.1	  359.0
    25	      1	   2010	    6.8	  354.5
    26	      1	   2010	    5.2	    6.6
    27	      1	   2010	   14.2	  355.1
    28	      1	   2010	   10.9	    1.4
    29	      1	   2010	    2.4	    2.7
    30	      1	   2010	   13.9	  353.6
    31	      1	   2010	    6.6	   25.0
     1	      2	   2010	    7.4	    4.7
     2	      2	   2010	   16.4	    7.7
     3	      2	   2010	    3.2	   10.3
     4	      2	   2010	   10.5	  346.4
     5	      2	   2010	    8.8	    7.1
     6	      2	   2010	    4.9	   24.7
     7	      2	   2010	   11.8	  359.8
     8	      2	   2010	    8.7	  354.2
     9	      2	   2010	   15.8	   18.0
    10	      2	   2010	    5.7	   21.5
    11	      2	   2010	   11.5	    6.4
    12	      2	   2010	   -0.7	    7.6
    13	      2	   2010	   14.8	   11.1
    14	      2	   2010	   14.7	    4.0
    15	      2	   2010	   12.7	   10.8
    16	      2	   2010	    8.8	  359.5
    17	      2	   2010	    8.1	   15.2
    18	      2	   2010	    4.2	    5.2
    19	      2	   2010	   12.1	    7.8
    20	      2	   2010	    5.8	   11.8
    21	      2	   2010	    6.1	  358.5
    22	      2	   2010	   12.4	   22.9
    23	      2	   2010	    9.3	    0.8
    24	      2	   2010	    7.4	    3.2
    25	      2	   2010	    8.6	    7.1
    26	      2	   2010	    5.5	    4.9
    27	      2	   2010	    4.3	  356.4
    28	      2	   2010	   12.3	    1.8
     1	      3	   2010	   10.8	    9.9
     2	      3	   2010	    5.6	    5.7
     3	      3	   2010	    7.4	    1.0
     4	      3	   2010	    7.0	   28.1
     5	      3	   2010	   16.7	    5.3
     6	      3	   2010	    5.6	   12.0
     7	      3	   2010	   15.7	   26.9
     8	      3	   2010	    4.7	   19.8
     9	      3	   2010	    9.0	   21.0
    10	      3	   2010	    5.3	   20.2
    11	      3	   2010	    8.7	   16.4
    12	      3	   2010	   14.5	    7.3
    13	      3	   2010	   13.1	    6.9
    14	      3	   2010	    8.2	   11.1
    15	      3	   2010	    7.2	  353.7
    16	      3	   2010	    7.2	  357.6
    17	      3	   2010	    7.7	    9.1
    18	      3	   2010	    9.3	   30.7
    19	      3	   2010	   12.6	   15.9
    20	      3	   2010	   11.9	   15.0
    21	      3	   2010	    7.7	   11.5
    22	      3	   2010	   -0.3	   11.9
    23	      3	   2010	   16.5	   15.0
    24	      3	   2010	   16.0	   22.3
    25	      3	   2010	    5.5	    2.7
    26	      3	   2010	   15.4	    0.6
    27	      3	   2010	    4.3	    8.0
    28	      3	   2010	    2.4	   24.8
    29	      3	   2010	   14.9	   21.9
    30	      3	   2010	    5.6	    8.6
    31	      3	   2010	   10.9	    6.7
     1	      4	   2010	   12.4	   10.3
     2	      4	   2010	   -0.5	   13.9
     3	      4	   2010	    9.2	  355.3
     4	      4	   2010	   16.4	    4.9
     5	      4	   2010	   12.5	  352.3
     6	      4	   2010	    3.8	    0.4
     7	      4	   2010	    8.5	  352.3
     8	      4	   2010	    3.3	    6.8
