Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	    6.9	    6.4
     2	      1	   2010	    6.5	   26.4
     3	      1	   2010	    4.3	   13.6
     4	      1	   2010	   17.8	   33.8
     5	      1	   2010	   15.6	   11.6
     6	      1	   2010	    4.1	   30.0
     7	      1	   2010	    1.0	   16.9
     8	      1	   2010	    5.0	  357.0
     9	      1	   2010	    8.3	  356.7
    10	      1	   2010	    1.8	    7.8
    11	      1	   2010	    6.8	   10.7
    12	      1	   2010	   11.3	    1.2
    13	      1	   2010	   11.4	   19.2
    14	      1	   2010	    7.4	   17.2
    15	      1	   2010	    4.7	   20.6
    16	      1	   2010	   14.3	    4.8
    17	      1	   2010	   19.7	   12.5
    18	      1	   2010	   -1.1	    7.1
    19	      1	   2010	    6.1	    7.7
    20	      1	   2010	   13.9	   15.1
    21	      1	   2010	   21.5	  359.5
    22	      1	   2010	    4.5	   20.4
    23	      1	   2010	   12.7	  354.3
    24	      1	   2010	   -0.4	    5.7
    25	      1	   2010	    3.3	  357.8
    26	      1	   2010	   10.4	   12.5
    27	      1	   2010	   15.5	   18.3
    28	      1	   2010	   11.6	   16.0
    29	      1	   2010	    9.3	   18.6
    30	      1	   2010	    7.7	    5.4
    31	      1	   2010	   15.1	    0.3
     1	      2	   2010	   13.4	   15.0
     2	      2	   2010	    8.9	    9.3
     3	      2	   2010	   16.5	   11.2
     4	      2	   2010	    7.3	    9.8
     5	      2	   2010	   12.9	    7.8
     6	      2	   2010	   10.2	   14.7
     7	      2	   2010	   13.5	    1.2
     8	      2	   2010	    5.6	    7.1
     9	      2	   2010	    8.2	  348.7
    10	      2	   2010	    3.1	   20.3
    11	      2	   2010	   11.2	    1.0
    12	      2	   2010	    8.2	   27.6
    13	      2	   2010	    9.7	   20.6
    14	      2	   2010	   16.5	   21.7
    15	      2	   2010	   10.1	    2.9
    16	      2	   2010	   14.1	   14.4
    17	      2	   2010	   12.0	    3.3
    18	      2	   2010	   16.8	    8.6
    19	      2	   2010	   19.1	   17.6
    20	      2	   2010	   13.4	   15.3
    21	      2	   2010	    4.3	   28.0
    22	      2	   2010	    4.4	    8.9
    23	      2	   2010	    1.7	   28.8
    24	      2	   2010	    4.3	   24.1
    25	      2	   2010	   24.2	   14.3
    26	      2	   2010	   10.3	   21.8
    27	      2	   2010	   26.1	    2.6
    28	      2	   2010	   17.3	   22.2
     1	      3	   2010	    4.8	   17.8
     2	      3	   2010	    4.8	   22.2
     3	      3	   2010	    6.1	  356.4
     4	      3	   2010	   12.4	  358.4
     5	      3	   2010	   -0.1	   12.4
     6	      3	   2010	   17.7	    1.0
     7	      3	   2010	   11.1	    4.6
     8	      3	   2010	   26.9	    6.2
     9	      3	   2010	    8.4	   13.8
    10	      3	   2010	    3.6	   33.6
    11	      3	   2010	    5.0	    9.1
    12	      3	   2010	    3.3	   25.1
    13	      3	   2010	    7.7	   22.2
    14	      3	   2010	   11.2	    4.4
    15	      3	   2010	    2.8	   16.2
    16	      3	   2010	   13.6	   12.8
    17	      3	   2010	   14.2	   13.5
    18	      3	   2010	   10.4	    6.3
    19	      3	   2010	    2.9	    4.1
    20	      3	   2010	    6.9	    2.9
    21	      3	   2010	   14.7	    0.5
    22	      3	   2010	    6.9	   14.1
    23	      3	   2010	   18.3	   20.9
    24	      3	   2010	    5.7	   14.6
    25	      3	   2010	    8.2	   19.3
    26	      3	   2010	   20.0	   26.2
    27	      3	   2010	    6.1	   11.1
    28	      3	   2010	   11.7	    3.4
    29	      3	   2010	   16.6	   24.4
    30	      3	   2010	   24.5	   11.7
    31	      3	   2010	   22.4	   12.7
     1	      4	   2010	    9.1	   12.9
     2	      4	   2010	   13.5	    1.7
     3	      4	   2010	    6.8	   21.3
     4	      4	   2010	    5.0	   13.1
     5	      4	   2010	    1.9	   11.6
     6	      4	   2010	   10.9	  356.3
     7	      4	   2010	    6.4	  356.7
     8	      4	   2010	   13.4	    6.4
     9	      4	   2010	    4.4	  356.4
    10	      4	   2010	   18.6	   14.5
    11	      4	   2010	   10.9	    7.4
    12	      4	   2010	    8.9	    8.5
    13	      4	   2010	    4.7	   25.6
    14	      4	   2010	    2.7	   24.2
    15	      4	   2010	    2.2	   20.5
    16	      4	   2010	   12.4	    5.6
    17	      4	   2010	    6.6	    2.6
