Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	   12.6	   10.6
     2	      1	   2010	   14.3	   11.0
     3	      1	   2010	   -0.9	   34.3
     4	      1	   2010	   16.0	  355.6
     5	      1	   2010	   14.5	   15.0
     6	      1	   2010	    6.9	  354.4
     7	      1	   2010	   15.2	   10.4
     8	      1	   2010	    5.0	   23.4
     9	      1	   2010	   10.0	   10.8
    10	      1	   2010	   17.4	   22.0
    11	      1	   2010	    3.0	   22.9
    12	      1	   2010	   12.6	   52.8
    13	      1	   2010	    6.5	   18.0
    14	      1	   2010	    3.3	   15.6
    15	      1	   2010	   16.3	   10.8
    16	      1	   2010	    4.5	   27.4
    17	      1	   2010	    6.3	    2.7
    18	      1	   2010	    7.3	   31.5
    19	      1	   2010	   12.2	   18.4
    20	      1	   2010	    9.7	    1.6
    21	      1	   2010	   22.8	   26.2
    22	      1	   2010	    3.1	    6.9
    23	      1	   2010	    1.8	   36.1
    24	      1	   2010	    7.9	   28.9
    25	      1	   2010	    9.4	   11.8
    26	      1	   2010	    7.6	   25.8
    27	      1	   2010	    3.8	    6.6
    28	      1	   2010	   16.1	    8.7
    29	      1	   2010	   12.6	   26.8
    30	      1	   2010	    8.8	    9.4
    31	      1	   2010	    7.1	   19.0
     1	      2	   2010	   10.1	  359.9
     2	      2	   2010	   10.7	   12.1
     3	      2	   2010	   16.8	   22.2
     4	      2	   2010	    1.5	   10.0
     5	      2	   2010	   18.8	   22.3
     6	      2	   2010	   10.6	   17.9
     7	      2	   2010	    7.8	  359.6
     8	      2	   2010	   14.2	   27.8
     9	      2	   2010	   12.7	    2.9
    10	      2	   2010	    6.7	   27.2
    11	      2	   2010	   17.5	    6.8
    12	      2	   2010	   11.5	   19.5
    13	      2	   2010	   10.8	   38.9
    14	      2	   2010	   13.6	   29.5
    15	      2	   2010	   16.1	   16.3
    16	      2	   2010	    6.7	   16.1
    17	      2	   2010	    9.2	  349.0
    18	      2	   2010	   -1.1	    7.4
    19	      2	   2010	    6.9	   28.7
    20	      2	   2010	    9.0	    0.3
    21	      2	   2010	    5.7	   17.1
    22	      2	   2010	   10.1	    3.5
    23	      2	   2010	   19.4	   26.3
    24	      2	   2010	   22.2	   21.3
    25	      2	   2010	    8.8	   26.5
    26	      2	   2010	   10.8	   12.6
    27	      2	   2010	    8.6	   44.4
    28	      2	   2010	   11.1	   17.1
     1	      3	   2010	    5.1	    8.6
     2	      3	   2010	   10.6	   16.5
     3	      3	   2010	    4.1	   16.3
     4	      3	   2010	    2.9	   14.8
     5	      3	   2010	    7.6	   24.3
     6	      3	   2010	   14.0	   17.1
     7	      3	   2010	   11.2	   14.6
     8	      3	   2010	   12.3	   14.2
     9	      3	   2010	    2.7	    1.1
    10	      3	   2010	    2.7	   10.1
    11	      3	   2010	   12.1	   21.9
    12	      3	   2010	   13.6	   29.3
    13	      3	   2010	   10.3	    5.2
    14	      3	   2010	    9.5	   18.0
    15	      3	   2010	   21.8	   21.4
    16	      3	   2010	   10.5	   10.1
    17	      3	   2010	    9.0	   25.2
    18	      3	   2010	   10.7	   23.7
    19	      3	   2010	   10.1	   24.5
    20	      3	   2010	    6.3	   18.2
    21	      3	   2010	   15.2	   31.4
    22	      3	   2010	    2.6	   21.7
    23	      3	   2010	   10.8	    7.9
    24	      3	   2010	   11.4	    0.5
    25	      3	   2010	   15.9	    5.0
    26	      3	   2010	    8.2	   26.5
    27	      3	   2010	    4.9	   32.9
    28	      3	   2010	    2.0	   12.7
    29	      3	   2010	    7.3	   16.0
    30	      3	   2010	    3.7	   34.4
    31	      3	   2010	    4.6	    5.0
     1	      4	   2010	    9.1	    8.5
     2	      4	   2010	   10.5	  354.6
     3	      4	   2010	    3.0	   21.8
     4	      4	   2010	    6.1	   17.2
     5	      4	   2010	   10.5	   22.3
     6	      4	   2010	   10.5	   12.6
     7	      4	   2010	    5.1	   20.7
     8	      4	   2010	    5.7	   22.9
     9	      4	   2010	   14.5	   10.6
    10	      4	   2010	    3.3	   14.8
    11	      4	   2010	    5.6	    7.0
    12	      4	   2010	    4.1	   22.2
    13	      4	   2010	    8.0	   30.6
    14	      4	   2010	   15.2	    3.3
    15	      4	   2010	    5.5	    6.5
    16	      4	   2010	   10.5	   25.2
    17	      4	   2010	    3.5	   14.8
    18	      4	   2010	   11.8	   18.6
    19	      4	   2010	    8.9	   28.0
    20	      4	   2010	    6.0	   23.8
    21	      4	   2010	   11.6	   13.8
    22	      4	   2010	   17.1	   12.0
    23	      4	   2010	    0.0	   36.6
    24	      4	   2010	    8.8	   18.2
    25	      4	   2010	    6.0	   22.6
    26	      4	   2010	    8.8	   17.8
    27	      4	   2010	   23.8	   24.2
    28	      4	   2010	    3.6	    4.0
    29	      4	   2010	   15.7	   21.3
    30	      4	   2010	    7.2	   33.9
     1	      5	   2010	    6.2	   17.9
     2	      5	   2010	    9.9	    7.9
     3	      5	   2010	   23.5	   14.8
     4	      5	   2010	    6.5	    2.3
     5	      5	   2010	    9.5	   11.8
     6	      5	   2010	   17.0	    9.6
     7	      5	   2010	   10.1	  358.7
     8	      5	   2010	   19.3	   22.9
     9	      5	   2010	   15.9	   33.5
    10	      5	   2010	    3.9	   28.1
    11	      5	   2010	    5.6	   13.8
    12	      5	   2010	    4.6	  354.7
    13	      5	   2010	   13.7	   14.5
    14	      5	   2010	    3.5	  359.7
    15	      5	   2010	    4.8	   21.9
    16	      5	   2010	   11.4	   16.7
    17	      5	   2010	   10.0	   26.9
    18	      5	   2010	   13.1	  344.3
    19	      5	   2010	   12.2	   10.7
    20	      5	   2010	   15.5	    9.4
    21	      5	   2010	    2.7	   10.1
    22	      5	   2010	   10.7	   22.9
    23	      5	   2010	   17.4	    9.4
    24	      5	   2010	   15.2	   33.3
    25	      5	   2010	   -1.3	   22.7
    26	      5	   2010	    5.8	   38.0
    27	      5	   2010	   20.4	   37.1
    28	      5	   2010	   14.0	   22.3
    29	      5	   2010	   12.8	   19.5
    30	      5	   2010	   12.4	   14.8
    31	      5	   2010	    9.8	    7.1
     1	      6	   2010	   12.1	   32.8
     2	      6	   2010	    1.8	    2.0
     3	      6	   2010	    8.5	   28.5
     4	      6	   2010	   11.5	    7.5
     5	      6	   2010	    5.0	   25.8
     6	      6	   2010	   12.3	    8.5
     7	      6	   2010	    6.9	   45.3
     8	      6	   2010	   17.7	   25.1
     9	      6	   2010	    3.0	   23.8
    10	      6	   2010	   11.1	   10.5
    11	      6	   2010	    7.8	    3.4
    12	      6	   2010	   -0.5	    6.3
    13	      6	   2010	    5.9	   25.3
    14	      6	   2010	   12.8	  352.2
    15	      6	   2010	    5.2	    9.6
    16	      6	   2010	    3.4	   15.6
    17	      6	   2010	    1.8	   20.4
    18	      6	   2010	   10.2	    7.7
    19	      6	   2010	   15.1	   11.2
    20	      6	   2010	   17.2	   27.0
    21	      6	   2010	    7.8	   20.8
    22	      6	   2010	    4.7	   33.4
    23	      6	   2010	   11.1	  359.4
    24	      6	   2010	   14.9	    7.0
    25	      6	   2010	    6.0	    8.8
    26	      6	   2010	    5.8	    8.4
    27	      6	   2010	    4.8	   10.1
    28	      6	   2010	   -0.4	   17.4
    29	      6	   2010	    7.4	   27.4
    30	      6	   2010	   15.0	   31.2
     1	      7	   2010	    5.0	    7.2
     2	      7	   2010	   14.2	    6.9
     3	      7	   2010	   13.2	   13.7
     4	      7	   2010	   12.3	   10.1
     5	      7	   2010	   11.3	   36.7
     6	      7	   2010	   13.9	   27.3
     7	      7	   2010	    6.6	   23.9
     8	      7	   2010	    8.0	   14.4
     9	      7	   2010	    9.4	    5.9
    10	      7	   2010	   -1.2	  359.9
    11	      7	   2010	   13.9	    8.6
    12	      7	   2010	    9.3	   22.8
    13	      7	   2010	   11.5	   17.9
