Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	   15.7	  335.4
     2	      1	   2010	    4.9	  357.2
     3	      1	   2010	   18.6	    9.8
     4	      1	   2010	    3.3	   15.9
     5	      1	   2010	    7.6	   10.8
     6	      1	   2010	    8.7	   15.8
     7	      1	   2010	    6.7	  344.0
     8	      1	   2010	   14.9	    3.5
     9	      1	   2010	   12.8	    6.5
    10	      1	   2010	    3.1	    5.5
    11	      1	   2010	    5.9	   15.1
    12	      1	   2010	   13.4	   18.3
    13	      1	   2010	   10.3	    9.4
    14	      1	   2010	   14.6	  358.2
    15	      1	   2010	    3.5	  352.3
    16	      1	   2010	    9.9	    2.0
    17	      1	   2010	    9.9	   18.0
    18	      1	   2010	    6.0	  344.0
    19	      1	   2010	   13.1	    2.1
    20	      1	   2010	    8.7	   13.7
    21	      1	   2010	   16.0	  348.6
    22	      1	   2010	    3.7	   14.3
    23	      1	   2010	    6.7	    7.2
    24	      1	   2010	   20.1	   15.7
    25	      1	   2010	    7.4	    2.7
    26	      1	   2010	   14.1	  359.3
    27	      1	   2010	    4.8	    4.2
    28	      1	   2010	    4.5	    6.3
    29	      1	   2010	    3.9	   16.9
    30	      1	   2010	    3.6	  351.2
    31	      1	   2010	    2.3	    9.3
     1	      2	   2010	    5.2	    7.3
     2	      2	   2010	   12.7	  359.0
     3	      2	   2010	    2.1	  352.3
     4	      2	   2010	   10.4	   26.8
     5	      2	   2010	   10.3	   17.9
     6	      2	   2010	    3.2	  356.3
     7	      2	   2010	   14.6	  359.3
     8	      2	   2010	    9.1	  359.9
     9	      2	   2010	    6.1	    5.8
    10	      2	   2010	   11.5	   19.4
    11	      2	   2010	   10.3	  352.4
    12	      2	   2010	    9.2	    1.0
    13	      2	   2010	    3.3	  357.2
    14	      2	   2010	   18.8	    8.9
    15	      2	   2010	    3.1	    8.4
    16	      2	   2010	    4.8	  359.2
    17	      2	   2010	    8.1	    6.6
    18	      2	   2010	    8.6	   25.6
    19	      2	   2010	   15.5	   15.4
    20	      2	   2010	    3.8	    3.8
    21	      2	   2010	    9.0	    5.1
    22	      2	   2010	   12.4	  351.0
    23	      2	   2010	   16.1	    1.9
    24	      2	   2010	    8.8	   14.6
    25	      2	   2010	    9.9	   17.7
    26	      2	   2010	    3.8	    6.3
    27	      2	   2010	   12.3	    0.6
    28	      2	   2010	    5.5	    5.5
     1	      3	   2010	    2.1	   19.9
     2	      3	   2010	    7.7	  358.8
     3	      3	   2010	   10.2	   13.1
     4	      3	   2010	   15.6	    7.7
     5	      3	   2010	    6.5	  355.9
     6	      3	   2010	   12.6	   14.4
     7	      3	   2010	   12.3	    3.6
     8	      3	   2010	    5.0	   13.2
     9	      3	   2010	    5.6	  350.2
    10	      3	   2010	    9.7	  347.3
    11	      3	   2010	    4.9	  356.0
    12	      3	   2010	   18.1	  355.6
    13	      3	   2010	    9.0	   15.6
    14	      3	   2010	    7.9	    7.8
    15	      3	   2010	    7.6	  353.4
    16	      3	   2010	   21.8	  355.2
    17	      3	   2010	    3.7	    3.1
    18	      3	   2010	   10.6	    4.6
    19	      3	   2010	    7.4	    5.0
    20	      3	   2010	    9.9	  355.8
    21	      3	   2010	   16.6	  353.1
    22	      3	   2010	    9.5	   19.2
    23	      3	   2010	   15.4	    9.1
    24	      3	   2010	   13.9	  347.9
    25	      3	   2010	   -0.8	  354.0
    26	      3	   2010	    6.4	   13.4
    27	      3	   2010	    9.8	   11.0
    28	      3	   2010	   14.8	   20.4
    29	      3	   2010	   11.6	  356.2
    30	      3	   2010	   13.2	  355.9
    31	      3	   2010	    6.2	   15.0
     1	      4	   2010	    4.9	   23.1
     2	      4	   2010	   13.2	   22.4
     3	      4	   2010	    6.6	    5.2
     4	      4	   2010	    7.5	    9.2
     5	      4	   2010	   18.7	    1.0
     6	      4	   2010	   14.1	  355.0
     7	      4	   2010	    2.7	   27.1
     8	      4	   2010	    4.8	  351.1
     9	      4	   2010	    6.7	  355.4
    10	      4	   2010	   11.5	  349.6
    11	      4	   2010	   11.5	    1.6
    12	      4	   2010	    4.0	   11.0
    13	      4	   2010	    4.5	  352.1
    14	      4	   2010	    5.0	    9.4
    15	      4	   2010	    5.7	   10.5
    16	      4	   2010	    6.5	  358.0
    17	      4	   2010	    5.2	  351.1
    18	      4	   2010	   12.3	  348.5
    19	      4	   2010	   14.5	  355.4
    20	      4	   2010	   10.9	    7.0
    21	      4	   2010	    5.4	  359.9
    22	      4	   2010	    6.6	  357.4
    23	      4	   2010	   11.2	  358.0
    24	      4	   2010	    7.7	  352.1
    25	      4	   2010	   15.3	  342.9
    26	      4	   2010	    2.4	  357.4
    27	      4	   2010	    9.8	    5.6
    28	      4	   2010	   10.3	    4.5
    29	      4	   2010	   11.0	  352.7
    30	      4	   2010	    4.1	   12.7
     1	      5	   2010	    2.6	    3.9
     2	      5	   2010	    8.3	   18.9
     3	      5	   2010	    7.4	    3.1
     4	      5	   2010	   10.2	  352.5
