Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	    6.4	  354.9
     2	      1	   2010	   12.8	    3.5
     3	      1	   2010	   11.3	  352.3
     4	      1	   2010	    4.8	    0.3
     5	      1	   2010	   11.5	  359.0
     6	      1	   2010	   12.2	  354.6
     7	      1	   2010	   13.2	    4.5
     8	      1	   2010	   14.1	    1.8
     9	      1	   2010	    4.7	  348.1
    10	      1	   2010	   19.9	    3.8
    11	      1	   2010	   15.1	    0.1
    12	      1	   2010	   12.0	  359.7
    13	      1	   2010	    5.4	  357.3
    14	      1	   2010	   25.1	    3.7
    15	      1	   2010	   12.3	  346.2
    16	      1	   2010	   19.7	  354.6
    17	      1	   2010	    6.2	  351.6
    18	      1	   2010	    7.2	    1.1
    19	      1	   2010	   15.4	  356.1
    20	      1	   2010	    7.1	    4.5
    21	      1	   2010	    2.7	   19.6
    22	      1	   2010	   23.0	  359.7
    23	      1	   2010	   21.6	  355.5
    24	      1	   2010	    8.4	    1.8
    25	      1	   2010	    0.7	    3.6
    26	      1	   2010	   11.2	  357.8
    27	      1	   2010	   18.9	  358.9
    28	      1	   2010	    4.8	  354.1
    29	      1	   2010	    1.4	    5.4
    30	      1	   2010	    5.8	  359.3
    31	      1	   2010	   14.2	  355.9
     1	      2	   2010	    9.1	  352.2
     2	      2	   2010	   10.5	  348.0
     3	      2	   2010	   11.5	  342.5
     4	      2	   2010	    3.7	  354.8
     5	      2	   2010	   12.8	  341.7
     6	      2	   2010	   12.1	  347.5
     7	      2	   2010	   18.1	    2.3
     8	      2	   2010	    5.5	    5.0
     9	      2	   2010	   10.6	    8.4
    10	      2	   2010	    9.7	  349.9
    11	      2	   2010	    2.1	  345.9
    12	      2	   2010	    4.0	  348.0
    13	      2	   2010	   11.5	    4.2
    14	      2	   2010	   11.7	  327.6
    15	      2	   2010	   13.6	    8.1
    16	      2	   2010	   20.1	   33.3
    17	      2	   2010	   10.8	  352.8
    18	      2	   2010	    1.9	  341.2
    19	      2	   2010	   10.1	   29.3
    20	      2	   2010	   11.0	  341.6
    21	      2	   2010	    9.8	    2.7
    22	      2	   2010	   11.9	    7.3
    23	      2	   2010	   13.2	  351.0
    24	      2	   2010	   10.8	  351.8
    25	      2	   2010	   10.8	  355.7
    26	      2	   2010	    1.8	    3.2
    27	      2	   2010	   12.9	  347.8
    28	      2	   2010	    2.9	  351.8
     1	      3	   2010	   10.6	    4.3
     2	      3	   2010	    8.0	    8.0
     3	      3	   2010	    3.5	  357.0
     4	      3	   2010	   14.3	  346.1
     5	      3	   2010	   23.7	    3.8
     6	      3	   2010	    9.4	    3.5
     7	      3	   2010	    4.7	  348.1
     8	      3	   2010	   12.6	  334.8
     9	      3	   2010	   16.9	    7.2
    10	      3	   2010	   13.6	  349.3
    11	      3	   2010	   10.5	  350.9
    12	      3	   2010	   14.6	    2.7
    13	      3	   2010	    8.1	  359.7
    14	      3	   2010	    6.0	  349.5
    15	      3	   2010	   18.1	  360.0
    16	      3	   2010	    3.0	  338.9
    17	      3	   2010	    5.7	  359.9
    18	      3	   2010	   23.9	    5.2
    19	      3	   2010	   10.3	  335.7
    20	      3	   2010	   -0.5	  355.7
    21	      3	   2010	   13.2	  359.5
    22	      3	   2010	    9.1	    8.1
    23	      3	   2010	    8.5	    7.6
    24	      3	   2010	    7.9	    0.4
    25	      3	   2010	    8.9	  355.9
    26	      3	   2010	   12.2	  357.9
    27	      3	   2010	   20.0	  341.6
    28	      3	   2010	   11.7	  350.2
    29	      3	   2010	    1.0	  347.9
    30	      3	   2010	    5.6	  355.7
    31	      3	   2010	   18.4	  356.0
     1	      4	   2010	    4.2	  346.2
     2	      4	   2010	   28.3	  341.8
     3	      4	   2010	   12.3	  338.0
     4	      4	   2010	   20.6	  350.7
     5	      4	   2010	    5.9	  353.9
     6	      4	   2010	    8.3	  324.1
     7	      4	   2010	   20.9	  348.2
     8	      4	   2010	   13.4	  352.2
     9	      4	   2010	    3.3	    5.1
    10	      4	   2010	   15.4	    1.6
    11	      4	   2010	    1.8	  348.9
    12	      4	   2010	    8.6	  344.0
    13	      4	   2010	    7.6	  355.2
    14	      4	   2010	   15.9	  341.0
    15	      4	   2010	    9.6	  353.7
    16	      4	   2010	   13.1	  326.0
    17	      4	   2010	   14.0	    9.8
    18	      4	   2010	    8.3	  352.4
    19	      4	   2010	    9.3	    8.4
    20	      4	   2010	   10.6	  352.3
    21	      4	   2010	    8.2	  339.7
    22	      4	   2010	   22.1	  356.4
    23	      4	   2010	   20.3	  357.6
    24	      4	   2010	   16.3	   12.2
    25	      4	   2010	   13.2	    9.3
    26	      4	   2010	    5.1	  346.5
    27	      4	   2010	    4.8	  346.1
    28	      4	   2010	   18.9	  344.8
    29	      4	   2010	   14.3	  329.7
    30	      4	   2010	    9.5	  357.7
     1	      5	   2010	   14.4	    0.8
     2	      5	   2010	    8.2	  357.1
     3	      5	   2010	   15.1	  349.8
     4	      5	   2010	    0.5	  339.7
     5	      5	   2010	   12.0	  355.9
     6	      5	   2010	   25.1	  359.6
     7	      5	   2010	    3.2	  353.2
     8	      5	   2010	   16.2	  352.0
     9	      5	   2010	   12.1	  350.6
    10	      5	   2010	    9.4	  338.5
    11	      5	   2010	   22.4	    6.6
    12	      5	   2010	    9.0	  350.7
    13	      5	   2010	    6.5	  344.4
    14	      5	   2010	   28.7	  354.7
    15	      5	   2010	   14.9	  358.0
    16	      5	   2010	    4.6	  356.4
    17	      5	   2010	   14.5	  353.4
    18	      5	   2010	   18.7	  336.3
    19	      5	   2010	    9.6	    9.2
    20	      5	   2010	    7.1	    1.0
    21	      5	   2010	    3.0	   16.3
