Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	   24.4	   10.9
     2	      1	   2010	   17.3	   16.7
     3	      1	   2010	   11.0	   17.8
     4	      1	   2010	   13.5	   25.2
     5	      1	   2010	   18.3	   20.6
     6	      1	   2010	   12.7	   25.7
     7	      1	   2010	   10.4	   30.1
     8	      1	   2010	    9.0	   23.8
     9	      1	   2010	   12.8	   13.0
    10	      1	   2010	   27.6	   47.4
    11	      1	   2010	   15.7	    3.1
    12	      1	   2010	   23.8	   10.2
    13	      1	   2010	   17.6	   22.3
    14	      1	   2010	    5.6	   42.0
    15	      1	   2010	    8.3	    7.3
    16	      1	   2010	    6.0	   24.2
    17	      1	   2010	    3.4	    5.7
    18	      1	   2010	    6.2	   14.9
    19	      1	   2010	   13.1	   18.0
    20	      1	   2010	   12.9	   17.9
    21	      1	   2010	    1.1	   18.9
    22	      1	   2010	   20.5	    7.3
    23	      1	   2010	   23.1	   41.4
    24	      1	   2010	   13.3	   18.6
    25	      1	   2010	    8.1	   34.8
    26	      1	   2010	    9.3	   20.9
    27	      1	   2010	    4.4	   24.4
    28	      1	   2010	    3.5	   26.6
    29	      1	   2010	    9.7	   27.8
    30	      1	   2010	    4.4	   20.3
    31	      1	   2010	   23.3	   21.5
     1	      2	   2010	   10.4	   10.7
     2	      2	   2010	    2.7	   13.4
     3	      2	   2010	    4.0	   16.1
     4	      2	   2010	    9.0	   21.7
     5	      2	   2010	    2.7	   27.8
     6	      2	   2010	   27.1	   24.0
     7	      2	   2010	   25.8	   30.0
     8	      2	   2010	   27.4	   28.2
     9	      2	   2010	   25.9	   18.1
    10	      2	   2010	   19.9	   25.2
    11	      2	   2010	   17.6	   31.5
    12	      2	   2010	   -0.2	   37.0
    13	      2	   2010	    6.7	   20.6
    14	      2	   2010	   29.2	   36.3
    15	      2	   2010	   15.3	   24.9
    16	      2	   2010	    7.5	   29.4
    17	      2	   2010	   26.2	   31.8
    18	      2	   2010	   11.8	   29.7
    19	      2	   2010	   20.2	   30.7
    20	      2	   2010	    2.7	  358.8
    21	      2	   2010	   21.8	   18.6
    22	      2	   2010	   23.2	   26.4
    23	      2	   2010	    7.5	   37.0
    24	      2	   2010	    9.6	   16.2
    25	      2	   2010	   19.8	   22.5
    26	      2	   2010	   16.2	   18.2
    27	      2	   2010	   16.1	   31.4
    28	      2	   2010	   -1.2	   28.5
     1	      3	   2010	   28.7	    7.5
     2	      3	   2010	   -1.3	   25.3
     3	      3	   2010	   23.3	   29.9
     4	      3	   2010	   18.3	   18.4
     5	      3	   2010	    6.7	   39.4
     6	      3	   2010	   29.2	   15.5
     7	      3	   2010	   21.0	   17.1
     8	      3	   2010	   19.1	    2.8
     9	      3	   2010	   13.9	   34.3
    10	      3	   2010	   17.4	    5.4
    11	      3	   2010	   17.5	   20.0
    12	      3	   2010	   17.2	   26.6
    13	      3	   2010	    9.4	   38.0
    14	      3	   2010	   25.2	    2.5
    15	      3	   2010	   30.0	  352.0
    16	      3	   2010	   26.0	   12.7
    17	      3	   2010	   27.4	   23.1
    18	      3	   2010	   15.9	   16.4
    19	      3	   2010	    8.1	   37.5
    20	      3	   2010	    8.3	    7.4
    21	      3	   2010	   15.7	   31.4
    22	      3	   2010	   23.2	    3.8
    23	      3	   2010	   14.7	   28.1
    24	      3	   2010	    7.8	  358.9
    25	      3	   2010	   10.3	   15.0
    26	      3	   2010	    9.0	   28.6
    27	      3	   2010	   13.4	   22.9
    28	      3	   2010	   14.6	   14.0
    29	      3	   2010	    6.1	    8.4
    30	      3	   2010	   10.7	   31.3
    31	      3	   2010	   -0.6	   35.6
     1	      4	   2010	    4.2	   31.1
     2	      4	   2010	    2.5	    1.7
     3	      4	   2010	    8.1	   30.9
     4	      4	   2010	    3.8	   27.6
     5	      4	   2010	   18.2	   19.6
     6	      4	   2010	    7.5	   23.1
     7	      4	   2010	   15.6	    3.6
     8	      4	   2010	    6.9	   39.7
     9	      4	   2010	   15.9	   28.9
    10	      4	   2010	   29.9	   32.7
    11	      4	   2010	    5.8	   25.7
    12	      4	   2010	   24.5	   15.2
    13	      4	   2010	    2.9	   26.9
    14	      4	   2010	   14.8	   34.2
    15	      4	   2010	   11.5	   22.2
    16	      4	   2010	   -1.9	   16.0
    17	      4	   2010	    2.2	   25.9
    18	      4	   2010	   28.0	   14.9
    19	      4	   2010	    6.9	   17.3
    20	      4	   2010	   19.0	   22.3
    21	      4	   2010	   18.7	   21.7
    22	      4	   2010	   23.2	   20.4
    23	      4	   2010	   19.7	   16.1
    24	      4	   2010	    5.6	   33.7
    25	      4	   2010	   16.0	   35.4
    26	      4	   2010	    1.1	   28.2
    27	      4	   2010	    5.4	    7.3
    28	      4	   2010	    8.8	    1.2
    29	      4	   2010	   22.1	   31.5
    30	      4	   2010	    9.1	   20.6
     1	      5	   2010	   22.4	   10.7
     2	      5	   2010	    7.9	   16.2
     3	      5	   2010	    6.4	   11.5
     4	      5	   2010	   12.7	   10.8
     5	      5	   2010	    5.0	   42.7
     6	      5	   2010	   -1.2	   29.3
     7	      5	   2010	   10.8	    2.6
     8	      5	   2010	    9.1	   18.6
     9	      5	   2010	   17.1	   23.8
    10	      5	   2010	    8.7	   17.3
    11	      5	   2010	   30.1	   13.2
    12	      5	   2010	   23.2	    7.0
    13	      5	   2010	    9.6	   17.2
    14	      5	   2010	   12.6	   30.3
    15	      5	   2010	   14.8	   10.6
    16	      5	   2010	   11.2	    6.5
    17	      5	   2010	   14.3	   10.7
    18	      5	   2010	   29.4	   10.3
    19	      5	   2010	    9.1	   29.5
    20	      5	   2010	   16.6	   28.9
    21	      5	   2010	    5.5	   54.2
    22	      5	   2010	   10.4	    7.1
    23	      5	   2010	   15.9	   20.5
    24	      5	   2010	   10.2	   14.4
    25	      5	   2010	   17.3	   11.4
    26	      5	   2010	   19.3	   35.6
    27	      5	   2010	    9.1	   23.3
    28	      5	   2010	   27.8	   22.4
    29	      5	   2010	   12.9	   15.7
    30	      5	   2010	   11.3	   15.9
    31	      5	   2010	   20.2	   26.9
     1	      6	   2010	   13.8	   20.3
     2	      6	   2010	   -1.5	   20.7
     3	      6	   2010	   24.9	   17.3
     4	      6	   2010	   13.0	   19.2
     5	      6	   2010	   19.5	    7.1
     6	      6	   2010	    5.3	   17.4
     7	      6	   2010	   12.3	   13.1
     8	      6	   2010	   20.8	   21.7
     9	      6	   2010	   14.5	   23.1
    10	      6	   2010	   20.2	   19.6
    11	      6	   2010	   -1.5	   32.8
    12	      6	   2010	    7.3	   23.4
    13	      6	   2010	   -0.1	   26.8
    14	      6	   2010	   23.1	   18.6
    15	      6	   2010	   21.6	   23.9
    16	      6	   2010	   -1.5	   28.7
    17	      6	   2010	    0.3	   29.5
    18	      6	   2010	   17.4	   16.2
    19	      6	   2010	   10.2	   26.5
    20	      6	   2010	   19.5	   25.0
