Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	   10.1	    9.2
     2	      1	   2010	   14.2	   17.5
     3	      1	   2010	   23.4	   13.2
     4	      1	   2010	    2.4	  357.4
     5	      1	   2010	    6.6	   25.7
     6	      1	   2010	    6.5	   35.8
     7	      1	   2010	    5.7	   13.2
     8	      1	   2010	   19.1	   12.2
     9	      1	   2010	   20.2	   16.8
    10	      1	   2010	    9.7	    9.5
    11	      1	   2010	   14.5	    7.9
    12	      1	   2010	   11.7	   19.1
    13	      1	   2010	   30.0	   34.6
    14	      1	   2010	    2.3	    2.7
    15	      1	   2010	    1.4	   24.2
    16	      1	   2010	   13.9	   25.2
    17	      1	   2010	   15.7	   29.8
    18	      1	   2010	    7.9	  356.1
    19	      1	   2010	    7.6	   17.6
    20	      1	   2010	   15.9	   15.3
    21	      1	   2010	    6.9	   17.0
    22	      1	   2010	    6.2	   21.0
    23	      1	   2010	   12.3	   15.6
    24	      1	   2010	    4.4	   25.1
    25	      1	   2010	    9.4	    7.0
    26	      1	   2010	    4.7	    1.2
    27	      1	   2010	    1.4	   16.9
    28	      1	   2010	   18.4	    6.4
    29	      1	   2010	   22.6	  358.1
    30	      1	   2010	    3.1	   21.9
    31	      1	   2010	    2.3	  359.6
     1	      2	   2010	   19.0	   23.1
     2	      2	   2010	   26.2	   22.4
     3	      2	   2010	    4.9	    4.8
     4	      2	   2010	    9.5	   34.6
     5	      2	   2010	    9.2	    5.2
     6	      2	   2010	    4.3	    8.6
     7	      2	   2010	    5.7	    9.6
     8	      2	   2010	    5.5	    8.8
     9	      2	   2010	   18.9	   28.5
    10	      2	   2010	   26.2	   22.8
    11	      2	   2010	   18.3	    7.2
    12	      2	   2010	    7.2	   29.7
    13	      2	   2010	   10.2	    7.8
    14	      2	   2010	    8.6	    5.9
    15	      2	   2010	   12.6	   12.2
    16	      2	   2010	   16.0	   27.7
    17	      2	   2010	   22.3	   30.1
    18	      2	   2010	    2.9	    9.6
    19	      2	   2010	   18.5	    3.7
    20	      2	   2010	    1.3	   36.1
    21	      2	   2010	   16.2	   26.3
    22	      2	   2010	   20.7	   12.8
    23	      2	   2010	    8.1	   12.1
    24	      2	   2010	   11.1	    0.3
    25	      2	   2010	   14.6	   36.7
    26	      2	   2010	    4.5	    9.5
    27	      2	   2010	    3.8	   10.2
    28	      2	   2010	   19.2	    8.5
     1	      3	   2010	    9.8	   17.0
     2	      3	   2010	   16.0	   14.5
     3	      3	   2010	    2.5	    3.3
     4	      3	   2010	   11.9	    7.3
     5	      3	   2010	   10.0	  358.3
     6	      3	   2010	   13.5	   36.9
     7	      3	   2010	   15.2	    6.9
     8	      3	   2010	    7.5	   13.8
     9	      3	   2010	    7.5	   25.3
    10	      3	   2010	    7.9	   12.2
    11	      3	   2010	   19.3	   12.8
    12	      3	   2010	    4.7	   11.5
    13	      3	   2010	   12.2	   20.2
    14	      3	   2010	    9.3	   31.4
    15	      3	   2010	    3.8	   21.3
    16	      3	   2010	   10.6	   17.4
    17	      3	   2010	   16.6	   22.9
    18	      3	   2010	    7.2	   25.0
    19	      3	   2010	   12.0	   17.9
    20	      3	   2010	    2.8	    4.6
    21	      3	   2010	    1.6	   18.1
    22	      3	   2010	   23.3	    1.4
    23	      3	   2010	   10.8	   17.5
    24	      3	   2010	   14.8	   22.0
    25	      3	   2010	   15.3	  357.4
    26	      3	   2010	   17.7	   36.7
    27	      3	   2010	   11.3	   14.6
    28	      3	   2010	    6.1	    9.0
    29	      3	   2010	    9.4	    4.6
    30	      3	   2010	    7.3	   18.1
    31	      3	   2010	   17.6	    8.4
     1	      4	   2010	   12.1	   16.1
     2	      4	   2010	    6.6	    3.8
     3	      4	   2010	   11.4	    1.8
     4	      4	   2010	   28.8	   13.7
     5	      4	   2010	   14.9	   26.1
     6	      4	   2010	   25.2	   25.4
     7	      4	   2010	    1.0	   26.9
     8	      4	   2010	   13.4	    1.2
     9	      4	   2010	   13.0	   24.5
    10	      4	   2010	    3.7	   29.4
    11	      4	   2010	   13.3	    4.9
    12	      4	   2010	    6.2	   12.3
    13	      4	   2010	    4.5	    2.1
    14	      4	   2010	   12.0	   18.0
    15	      4	   2010	    7.0	    7.8
    16	      4	   2010	   12.7	   20.9
    17	      4	   2010	   16.7	   15.7
    18	      4	   2010	   16.0	   26.1
    19	      4	   2010	   11.1	   12.4
    20	      4	   2010	   11.4	    7.7
    21	      4	   2010	   10.0	    1.6
    22	      4	   2010	    6.7	  353.2
    23	      4	   2010	   18.8	  356.5
    24	      4	   2010	    9.4	   13.5
    25	      4	   2010	   22.9	   26.9
    26	      4	   2010	    4.1	    8.5
    27	      4	   2010	   23.8	   32.7
    28	      4	   2010	   18.0	   17.5
    29	      4	   2010	    7.1	   24.9
    30	      4	   2010	    5.9	   19.1
     1	      5	   2010	   17.2	   13.8
     2	      5	   2010	    3.6	    9.4
     3	      5	   2010	   14.5	   24.1
     4	      5	   2010	    7.5	    9.9
     5	      5	   2010	   19.6	   18.0
     6	      5	   2010	   28.6	   16.8
     7	      5	   2010	    9.2	  359.8
     8	      5	   2010	   10.3	   19.0
     9	      5	   2010	   16.9	   14.5
    10	      5	   2010	   16.8	   17.7
    11	      5	   2010	   20.2	   12.2
    12	      5	   2010	    9.1	    1.0
    13	      5	   2010	   14.6	   21.0
    14	      5	   2010	   11.3	   12.4
    15	      5	   2010	   10.7	   16.8
    16	      5	   2010	    9.0	   10.7
    17	      5	   2010	   15.6	   12.9
    18	      5	   2010	   12.1	   17.4
    19	      5	   2010	    9.0	   25.1
    20	      5	   2010	    9.6	   14.6
    21	      5	   2010	   23.5	  352.2
    22	      5	   2010	   13.0	    1.9
    23	      5	   2010	    7.8	    9.7
    24	      5	   2010	   10.0	   33.1
    25	      5	   2010	   11.2	   16.5
    26	      5	   2010	   -0.2	   24.2
    27	      5	   2010	   11.5	    7.0
    28	      5	   2010	   11.7	    6.8
    29	      5	   2010	   22.5	  358.9
    30	      5	   2010	    4.8	    7.4
    31	      5	   2010	   23.2	   22.0
     1	      6	   2010	   13.0	    8.9
     2	      6	   2010	    9.2	    0.6
     3	      6	   2010	   15.0	   16.1
     4	      6	   2010	   11.5	    6.6
     5	      6	   2010	   13.0	  351.0
     6	      6	   2010	   17.6	  358.7
     7	      6	   2010	   21.6	   23.4
     8	      6	   2010	   12.2	   15.1
     9	      6	   2010	   14.0	    5.8
    10	      6	   2010	    7.0	   30.9
    11	      6	   2010	   17.7	   29.2
    12	      6	   2010	   12.0	   26.7
    13	      6	   2010	   14.3	   28.1
    14	      6	   2010	   13.4	   15.1
    15	      6	   2010	    6.2	    4.4
    16	      6	   2010	    5.7	    6.8
    17	      6	   2010	    3.9	    6.3
    18	      6	   2010	   14.1	   16.3
    19	      6	   2010	    2.8	   32.9
    20	      6	   2010	   17.2	   26.5
    21	      6	   2010	    5.0	   18.8
    22	      6	   2010	    9.3	   24.9
    23	      6	   2010	    1.7	   17.9
    24	      6	   2010	    6.3	   13.2
    25	      6	   2010	    4.9	   21.5
    26	      6	   2010	    3.3	   33.7
    27	      6	   2010	    9.5	    1.3
    28	      6	   2010	   15.2	   15.9
    29	      6	   2010	    8.1	    5.7
    30	      6	   2010	    8.4	   23.5
     1	      7	   2010	    7.1	   17.8
     2	      7	   2010	    5.8	   19.9
     3	      7	   2010	   17.7	   15.6
     4	      7	   2010	    8.3	   11.0
     5	      7	   2010	   28.1	   11.3
     6	      7	   2010	   22.2	   37.8
     7	      7	   2010	   12.4	   25.4
     8	      7	   2010	   16.2	   14.3
     9	      7	   2010	   14.4	   17.0
    10	      7	   2010	   15.1	    4.5
    11	      7	   2010	   10.0	   28.0
    12	      7	   2010	   11.4	   12.9
    13	      7	   2010	   15.9	   12.7
    14	      7	   2010	    2.1	   28.7
    15	      7	   2010	   25.3	    5.7
    16	      7	   2010	   10.7	    4.0
    17	      7	   2010	    7.7	   21.0
    18	      7	   2010	    4.6	   14.9
    19	      7	   2010	    9.0	   32.1
    20	      7	   2010	   19.3	   22.2
    21	      7	   2010	    2.9	   32.7
    22	      7	   2010	    2.6	   26.3
    23	      7	   2010	   12.6	    9.5
    24	      7	   2010	   15.9	   20.4
    25	      7	   2010	    8.4	   22.4
    26	      7	   2010	    7.2	    3.6
    27	      7	   2010	   15.9	   12.8
    28	      7	   2010	   19.4	    8.3
    29	      7	   2010	    2.9	   23.2
    30	      7	   2010	   12.8	    7.5
    31	      7	   2010	    6.1	    1.4
     1	      8	   2010	    1.3	   13.1
     2	      8	   2010	   11.5	  358.8
     3	      8	   2010	    8.2	   10.1
     4	      8	   2010	    4.4	   10.9
     5	      8	   2010	    6.6	   14.9
     6	      8	   2010	   12.3	   24.9
     7	      8	   2010	   12.6	   22.8
     8	      8	   2010	    6.7	   21.3
     9	      8	   2010	    9.4	   20.8
    10	      8	   2010	   13.3	    1.2
    11	      8	   2010	   18.1	  358.5
    12	      8	   2010	   15.1	  352.0
    13	      8	   2010	   18.1	   16.8
    14	      8	   2010	    8.8	   17.6
    15	      8	   2010	    3.2	   23.6
    16	      8	   2010	    7.4	  358.6
    17	      8	   2010	   11.6	   22.2
    18	      8	   2010	    5.3	   13.0
    19	      8	   2010	    8.5	   16.2
    20	      8	   2010	   12.7	    8.1
    21	      8	   2010	   25.1	   26.6
    22	      8	   2010	   12.7	   13.9
    23	      8	   2010	    9.3	    4.5
    24	      8	   2010	   20.7	   15.2
    25	      8	   2010	   -0.1	   15.0
    26	      8	   2010	    6.4	   28.0
    27	      8	   2010	    5.3	   10.3
    28	      8	   2010	    9.5	   18.8
    29	      8	   2010	   16.5	   26.2
    30	      8	   2010	   25.0	   14.8
    31	      8	   2010	    4.1	    5.1
     1	      9	   2010	    9.8	   28.1
     2	      9	   2010	   14.1	    4.9
     3	      9	   2010	   19.9	  354.7
     4	      9	   2010	    5.6	   16.1
     5	      9	   2010	   23.2	   11.7
     6	      9	   2010	    5.8	   32.1
     7	      9	   2010	    8.7	   29.1
     8	      9	   2010	    9.5	   13.0
     9	      9	   2010	   13.4	    6.3
    10	      9	   2010	   13.3	    6.8
    11	      9	   2010	    7.8	   10.1
    12	      9	   2010	    6.9	   24.4
    13	      9	   2010	   11.1	   27.8
    14	      9	   2010	    7.8	   12.2
    15	      9	   2010	   18.1	    8.2
    16	      9	   2010	   -1.7	  357.3
    17	      9	   2010	    3.8	    6.0
    18	      9	   2010	   18.7	   21.5
    19	      9	   2010	    2.9	   17.2
    20	      9	   2010	   11.9	   19.9
    21	      9	   2010	   15.0	   37.7
    22	      9	   2010	   10.7	   30.8
    23	      9	   2010	    3.5	    4.0
    24	      9	   2010	   13.3	   14.9
    25	      9	   2010	    9.4	   19.6
    26	      9	   2010	   16.9	   33.2
    27	      9	   2010	    6.3	    9.5
    28	      9	   2010	    9.9	   22.9
    29	      9	   2010	   14.4	    7.6
    30	      9	   2010	   22.3	   26.1
     1	     10	   2010	    6.9	   14.7
     2	     10	   2010	   10.3	   17.1
     3	     10	   2010	   21.2	   23.9
     4	     10	   2010	    4.9	   35.8
     5	     10	   2010	   21.2	   24.1
     6	     10	   2010	   14.0	   18.8
     7	     10	   2010	    7.0	    7.4
     8	     10	   2010	   11.2	   17.4
     9	     10	   2010	    2.9	   10.7
    10	     10	   2010	   10.4	   21.7
    11	     10	   2010	   10.9	   37.9
    12	     10	   2010	   11.8	   27.6
    13	     10	   2010	   26.5	   16.3
    14	     10	   2010	    9.2	   27.4
    15	     10	   2010	    1.4	   17.6
    16	     10	   2010	    6.7	    7.4
    17	     10	   2010	   21.7	   30.0
    18	     10	   2010	   10.5	   12.3
    19	     10	   2010	    4.2	   21.9
    20	     10	   2010	    4.8	   17.7
    21	     10	   2010	    3.3	    8.9
    22	     10	   2010	   14.1	  354.5
    23	     10	   2010	    7.1	    8.8
    24	     10	   2010	    0.9	   23.2
    25	     10	   2010	   13.4	    9.0
    26	     10	   2010	   15.5	    2.3
    27	     10	   2010	   13.3	   24.2
