Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	   26.5	  351.6
     2	      1	   2010	   12.0	    6.5
     3	      1	   2010	   18.0	   12.9
     4	      1	   2010	   20.4	   19.0
     5	      1	   2010	   18.0	   16.6
     6	      1	   2010	   16.9	   19.0
     7	      1	   2010	   21.2	    8.9
     8	      1	   2010	   11.0	    9.2
     9	      1	   2010	   21.6	   19.7
    10	      1	   2010	    8.9	  356.0
    11	      1	   2010	   10.3	   19.5
    12	      1	   2010	   18.5	    4.8
    13	      1	   2010	   17.1	   11.0
    14	      1	   2010	   25.1	   15.3
    15	      1	   2010	   24.3	   28.5
    16	      1	   2010	   25.7	    0.3
    17	      1	   2010	   13.7	   11.8
    18	      1	   2010	    4.9	   15.0
    19	      1	   2010	   11.0	    4.3
    20	      1	   2010	    6.3	  348.6
    21	      1	   2010	   20.7	   10.1
    22	      1	   2010	    6.7	   14.7
    23	      1	   2010	   19.2	    4.2
    24	      1	   2010	   15.6	   10.0
    25	      1	   2010	   22.7	   19.3
    26	      1	   2010	   13.9	    3.1
    27	      1	   2010	   13.3	   23.2
    28	      1	   2010	   16.4	   13.9
    29	      1	   2010	   12.6	    2.8
    30	      1	   2010	   16.2	    6.0
    31	      1	   2010	   11.4	   16.4
     1	      2	   2010	   18.3	  352.3
     2	      2	   2010	    8.6	   13.9
     3	      2	   2010	   15.4	   13.8
     4	      2	   2010	   19.3	    9.1
     5	      2	   2010	   11.7	   16.8
     6	      2	   2010	   17.6	    3.5
     7	      2	   2010	   10.8	   17.7
     8	      2	   2010	   17.4	   12.1
     9	      2	   2010	   27.9	    9.4
    10	      2	   2010	    8.3	   11.9
    11	      2	   2010	   25.7	   13.3
    12	      2	   2010	   11.6	    6.1
    13	      2	   2010	   10.7	   18.6
    14	      2	   2010	   18.7	    2.9
    15	      2	   2010	    4.7	  359.8
    16	      2	   2010	   15.2	   16.5
    17	      2	   2010	    7.2	   17.4
    18	      2	   2010	   17.9	   19.0
    19	      2	   2010	    6.3	   26.7
    20	      2	   2010	   27.5	   10.3
