Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	    2.0	  332.6
     2	      1	   2010	    8.6	  340.4
     3	      1	   2010	   13.6	  334.3
     4	      1	   2010	   -1.2	  335.8
     5	      1	   2010	   16.0	  342.0
     6	      1	   2010	   17.3	  327.1
     7	      1	   2010	   25.7	  332.6
     8	      1	   2010	   12.7	  327.7
     9	      1	   2010	   21.4	  332.0
    10	      1	   2010	   11.0	  326.9
    11	      1	   2010	   13.2	  351.4
    12	      1	   2010	    7.3	  340.2
    13	      1	   2010	   14.8	  336.9
    14	      1	   2010	   12.4	  340.1
    15	      1	   2010	   11.7	  329.4
    16	      1	   2010	    6.4	  337.7
    17	      1	   2010	    7.8	  337.2
    18	      1	   2010	    3.0	  343.1
    19	      1	   2010	    8.6	  343.3
    20	      1	   2010	    3.7	  338.3
    21	      1	   2010	   21.6	  324.4
    22	      1	   2010	    5.2	  341.4
    23	      1	   2010	   11.6	  333.5
    24	      1	   2010	    9.9	  324.1
    25	      1	   2010	   19.4	  334.2
    26	      1	   2010	   13.9	  350.5
    27	      1	   2010	    7.9	  331.4
    28	      1	   2010	    1.0	  345.8
    29	      1	   2010	   11.7	  339.0
    30	      1	   2010	    5.6	  345.6
    31	      1	   2010	    8.6	  332.5
     1	      2	   2010	   17.8	  339.8
     2	      2	   2010	   17.0	  346.5
     3	      2	   2010	   16.3	  333.9
     4	      2	   2010	    9.3	  335.1
     5	      2	   2010	   23.0	  329.0
     6	      2	   2010	   11.1	  349.7
     7	      2	   2010	   12.2	  349.7
     8	      2	   2010	    4.4	  336.3
     9	      2	   2010	    4.4	  330.1
    10	      2	   2010	   14.5	  328.2
    11	      2	   2010	   13.0	  324.3
    12	      2	   2010	   12.0	  336.9
    13	      2	   2010	    7.7	  327.3
    14	      2	   2010	   25.2	  336.0
    15	      2	   2010	   23.7	  335.4
    16	      2	   2010	   13.0	  329.7
    17	      2	   2010	   16.7	  328.8
    18	      2	   2010	    5.6	  346.1
    19	      2	   2010	    9.2	  309.4
    20	      2	   2010	   17.6	  330.8
    21	      2	   2010	   10.8	  305.5
    22	      2	   2010	    8.6	  341.4
    23	      2	   2010	   16.2	  310.2
    24	      2	   2010	   12.2	  302.9
    25	      2	   2010	   -0.7	  328.6
    26	      2	   2010	    7.8	  327.8
    27	      2	   2010	   19.8	  304.4
    28	      2	   2010	   17.3	  338.5
     1	      3	   2010	   18.7	  320.4
     2	      3	   2010	    3.1	  321.4
     3	      3	   2010	    7.1	  327.0
     4	      3	   2010	    5.4	  340.6
     5	      3	   2010	    5.1	  336.1
     6	      3	   2010	   19.3	  316.2
     7	      3	   2010	   15.9	  327.2
     8	      3	   2010	    5.1	  357.2
     9	      3	   2010	    5.0	  329.3
    10	      3	   2010	    0.6	  323.8
    11	      3	   2010	    5.9	  341.3
    12	      3	   2010	    9.4	  341.5
    13	      3	   2010	   15.3	  333.2
    14	      3	   2010	   16.1	  338.9
    15	      3	   2010	   11.4	  329.4
    16	      3	   2010	    8.6	  329.2
    17	      3	   2010	    8.6	  338.5
    18	      3	   2010	    6.4	  340.7
    19	      3	   2010	    5.5	  351.1
    20	      3	   2010	    4.4	  335.7
    21	      3	   2010	   11.2	  348.1
    22	      3	   2010	    4.5	  323.5
    23	      3	   2010	    1.4	  345.4
    24	      3	   2010	   14.0	  345.7
    25	      3	   2010	    3.0	  340.6
    26	      3	   2010	    2.1	  338.9
    27	      3	   2010	   23.4	  345.1
    28	      3	   2010	   11.9	  340.2
    29	      3	   2010	   13.8	  345.6
    30	      3	   2010	   20.6	  349.8
    31	      3	   2010	    9.3	  337.8
     1	      4	   2010	   19.7	  338.0
     2	      4	   2010	    5.5	  317.6
     3	      4	   2010	   13.4	  348.5
     4	      4	   2010	    7.7	  318.9
     5	      4	   2010	    8.3	  335.0
     6	      4	   2010	    9.8	  327.1
     7	      4	   2010	    6.8	  304.0
     8	      4	   2010	   26.4	  330.9
     9	      4	   2010	   15.3	  324.8
    10	      4	   2010	    1.5	  346.7
    11	      4	   2010	   12.6	  348.3
    12	      4	   2010	    8.8	  332.6
    13	      4	   2010	    7.8	  332.9
    14	      4	   2010	    5.2	  341.4
    15	      4	   2010	   14.8	  339.4
    16	      4	   2010	    4.0	  347.0
    17	      4	   2010	   10.3	  322.4
    18	      4	   2010	   11.7	  338.5
    19	      4	   2010	    6.3	  342.8
    20	      4	   2010	    4.1	  346.8
    21	      4	   2010	   10.8	  335.7
    22	      4	   2010	    3.7	  322.7
    23	      4	   2010	    2.8	  346.8
