Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	   22.8	   15.5
     2	      1	   2010	    3.6	   36.8
     3	      1	   2010	    0.9	   34.4
     4	      1	   2010	   21.9	    8.0
     5	      1	   2010	    4.3	   24.4
     6	      1	   2010	    7.9	   57.5
     7	      1	   2010	    0.5	  343.4
     8	      1	   2010	   -0.4	   18.9
     9	      1	   2010	   -0.1	   25.3
    10	      1	   2010	   12.2	   27.0
    11	      1	   2010	    5.8	   32.2
    12	      1	   2010	   10.3	   19.2
    13	      1	   2010	   23.9	  336.4
    14	      1	   2010	    6.3	   30.7
    15	      1	   2010	    0.5	  354.8
    16	      1	   2010	    3.6	   44.2
    17	      1	   2010	    5.9	  353.6
    18	      1	   2010	    3.9	   28.9
    19	      1	   2010	   10.7	   22.5
    20	      1	   2010	    0.6	   20.2
    21	      1	   2010	    6.5	   37.9
    22	      1	   2010	    1.0	  358.2
    23	      1	   2010	    5.5	   50.6
    24	      1	   2010	    0.2	   29.9
    25	      1	   2010	    7.5	   25.9
    26	      1	   2010	    8.9	    3.9
    27	      1	   2010	    6.4	    0.5
    28	      1	   2010	    1.4	    5.7
    29	      1	   2010	    8.6	   24.8
    30	      1	   2010	    2.2	   49.5
    31	      1	   2010	   16.9	   10.0
     1	      2	   2010	   13.4	   34.1
     2	      2	   2010	   14.8	  352.3
     3	      2	   2010	   14.2	   26.3
     4	      2	   2010	   15.9	   12.8
     5	      2	   2010	   16.5	  328.3
     6	      2	   2010	   12.2	   54.7
     7	      2	   2010	    9.6	    8.4
     8	      2	   2010	   16.1	   23.6
     9	      2	   2010	    5.2	   18.3
    10	      2	   2010	    4.4	   40.6
    11	      2	   2010	    4.2	   13.3
    12	      2	   2010	    0.1	  352.9
    13	      2	   2010	   15.4	   26.3
    14	      2	   2010	    7.8	  354.0
    15	      2	   2010	    4.2	  339.4
    16	      2	   2010	   27.3	  350.6
    17	      2	   2010	    0.3	   20.6
    18	      2	   2010	   12.1	   17.8
    19	      2	   2010	    3.8	   18.3
    20	      2	   2010	   -0.1	  354.8
    21	      2	   2010	    0.8	    7.1
    22	      2	   2010	   10.3	    6.8
    23	      2	   2010	    7.0	   35.2
    24	      2	   2010	    3.1	   21.5
    25	      2	   2010	    2.0	   19.1
    26	      2	   2010	    5.6	   42.5
    27	      2	   2010	    0.7	   18.1
    28	      2	   2010	    0.0	   22.9
     1	      3	   2010	   10.3	   22.2
     2	      3	   2010	    0.4	    8.0
     3	      3	   2010	    0.8	    9.0
     4	      3	   2010	    7.8	   31.4
     5	      3	   2010	    1.5	    8.9
     6	      3	   2010	    2.7	   27.9
     7	      3	   2010	    5.8	  358.1
     8	      3	   2010	    9.4	   17.8
     9	      3	   2010	    5.0	   45.2
    10	      3	   2010	   14.5	   16.8
    11	      3	   2010	    0.4	    7.5
    12	      3	   2010	    4.5	  350.4
    13	      3	   2010	    2.5	   18.9
    14	      3	   2010	   14.6	   15.7
    15	      3	   2010	    8.8	   20.3
    16	      3	   2010	    6.2	    0.2
    17	      3	   2010	   10.1	  345.7
    18	      3	   2010	    6.1	   13.2
    19	      3	   2010	   28.2	   49.5
    20	      3	   2010	    0.5	  359.4
    21	      3	   2010	    3.1	   16.7
    22	      3	   2010	   14.1	   36.1
    23	      3	   2010	   16.5	   21.5
    24	      3	   2010	    4.1	   20.8
    25	      3	   2010	   11.2	  352.7
    26	      3	   2010	    0.2	   63.2
    27	      3	   2010	    4.3	   17.2
    28	      3	   2010	    0.6	  358.6
    29	      3	   2010	    1.1	    5.1
    30	      3	   2010	    9.8	  347.7
    31	      3	   2010	    2.5	  349.7
     1	      4	   2010	   12.6	   24.1
     2	      4	   2010	    7.0	   39.7
     3	      4	   2010	    0.5	   39.2
     4	      4	   2010	    3.9	  347.1
     5	      4	   2010	   -0.3	   16.4
     6	      4	   2010	   -0.8	   20.2
     7	      4	   2010	    6.4	   31.3
     8	      4	   2010	    2.3	   39.3
     9	      4	   2010	    2.7	   13.4
    10	      4	   2010	    0.1	   23.3
    11	      4	   2010	    9.5	    7.3
    12	      4	   2010	    1.8	  359.6
    13	      4	   2010	    6.8	   59.8
    14	      4	   2010	   20.1	   20.9
    15	      4	   2010	    6.1	   36.8
    16	      4	   2010	   10.7	   17.2
    17	      4	   2010	    9.6	   21.9
    18	      4	   2010	    2.9	  355.4
    19	      4	   2010	    6.5	   17.3
    20	      4	   2010	    0.5	   44.0
    21	      4	   2010	    2.0	   44.7
    22	      4	   2010	    0.9	  357.6
    23	      4	   2010	    2.8	   20.3
    24	      4	   2010	   19.5	    1.4
    25	      4	   2010	    2.3	    8.1
    26	      4	   2010	    7.3	   25.6
    27	      4	   2010	   12.4	   41.1
    28	      4	   2010	    6.0	   14.9
    29	      4	   2010	    0.6	   37.1
    30	      4	   2010	    8.4	   19.1
     1	      5	   2010	    0.2	    2.5
     2	      5	   2010	    7.8	   28.4
     3	      5	   2010	   21.5	    2.8
     4	      5	   2010	    2.2	   29.0
     5	      5	   2010	    0.8	   12.5
     6	      5	   2010	   11.6	   35.5
     7	      5	   2010	    2.0	   54.3
     8	      5	   2010	    8.6	   30.1
     9	      5	   2010	   13.1	    9.6
    10	      5	   2010	    2.9	   38.2
    11	      5	   2010	    7.8	   36.4
    12	      5	   2010	    0.1	   38.8
    13	      5	   2010	    7.7	   54.2
    14	      5	   2010	   20.4	   17.5
    15	      5	   2010	   21.1	   25.4
    16	      5	   2010	    3.6	    4.8
    17	      5	   2010	    2.8	   13.7
    18	      5	   2010	    2.0	   23.4
    19	      5	   2010	   13.2	   21.5
    20	      5	   2010	    0.0	  326.8
    21	      5	   2010	   -1.2	   15.0
    22	      5	   2010	    5.0	    8.5
    23	      5	   2010	    7.9	   24.6
    24	      5	   2010	    9.8	   17.8
    25	      5	   2010	   25.1	    9.7
    26	      5	   2010	    2.1	  359.2
    27	      5	   2010	    4.3	    7.8
    28	      5	   2010	    1.1	  351.7
    29	      5	   2010	   10.0	    9.3
    30	      5	   2010	    7.4	    9.6
    31	      5	   2010	    2.9	   36.4
     1	      6	   2010	    0.5	   29.1
     2	      6	   2010	    2.4	    7.7
     3	      6	   2010	    5.6	  332.2
     4	      6	   2010	   14.3	  353.3
     5	      6	   2010	    3.5	   19.6
     6	      6	   2010	    5.4	   26.4
     7	      6	   2010	    2.3	   14.0
     8	      6	   2010	    4.9	   17.6
     9	      6	   2010	    3.8	   39.7
    10	      6	   2010	    3.0	   21.9
    11	      6	   2010	    1.4	   23.9
    12	      6	   2010	    4.4	  315.9
    13	      6	   2010	    0.7	    0.4
    14	      6	   2010	    1.0	   45.0
    15	      6	   2010	    2.0	    8.9
    16	      6	   2010	    7.7	   33.1
    17	      6	   2010	    2.3	   10.4
    18	      6	   2010	    2.8	   13.8
    19	      6	   2010	   12.7	   25.4
    20	      6	   2010	    2.1	    9.9
    21	      6	   2010	    5.8	  355.5
    22	      6	   2010	    7.2	  355.8
    23	      6	   2010	    0.2	  342.2
    24	      6	   2010	    5.2	   22.6
    25	      6	   2010	   -1.5	   39.7
    26	      6	   2010	    4.1	   32.9
    27	      6	   2010	   13.7	   24.7
    28	      6	   2010	    3.5	  347.4
    29	      6	   2010	    0.4	    3.5
    30	      6	   2010	    5.4	   12.5
     1	      7	   2010	    3.5	   15.0
     2	      7	   2010	    9.1	   13.2
     3	      7	   2010	    8.5	   43.2
     4	      7	   2010	   15.0	    9.0
     5	      7	   2010	   28.6	   11.9
     6	      7	   2010	   13.9	   23.5
     7	      7	   2010	   16.9	    6.2
     8	      7	   2010	    6.6	   28.9
     9	      7	   2010	    7.4	   43.7
    10	      7	   2010	    2.5	   28.3
    11	      7	   2010	    3.6	  352.3
    12	      7	   2010	    0.8	   76.7
    13	      7	   2010	    6.4	   59.9
    14	      7	   2010	   16.2	   25.3
    15	      7	   2010	   13.5	   41.7
    16	      7	   2010	   25.9	   22.3
    17	      7	   2010	   10.7	    4.5
    18	      7	   2010	    3.8	  351.6
    19	      7	   2010	    5.6	   14.2
    20	      7	   2010	    5.8	   46.9
    21	      7	   2010	    3.4	  358.9
    22	      7	   2010	   -0.9	  350.9
    23	      7	   2010	    7.1	   13.7
    24	      7	   2010	   16.2	   43.0
    25	      7	   2010	    3.7	   59.8
    26	      7	   2010	    0.7	    3.4
    27	      7	   2010	    0.5	   25.1
    28	      7	   2010	   13.8	  354.5
    29	      7	   2010	    6.3	   28.8
    30	      7	   2010	    1.3	    6.1
    31	      7	   2010	    7.9	  357.9
     1	      8	   2010	    9.6	   27.4
     2	      8	   2010	    3.2	   36.6
     3	      8	   2010	   12.4	   68.0
     4	      8	   2010	   -0.3	    1.3
     5	      8	   2010	   17.2	   23.0
     6	      8	   2010	    2.5	   17.6
     7	      8	   2010	   18.5	    2.7
     8	      8	   2010	    3.1	   21.6
     9	      8	   2010	    4.8	   10.6
    10	      8	   2010	    1.1	   36.0
    11	      8	   2010	   15.1	   23.3
    12	      8	   2010	    0.5	  337.2
    13	      8	   2010	    6.1	   22.1
    14	      8	   2010	    1.0	   13.2
    15	      8	   2010	    6.2	  336.1
    16	      8	   2010	    2.6	   28.0
    17	      8	   2010	    1.6	    4.9
    18	      8	   2010	    6.4	  322.3
    19	      8	   2010	    6.1	   12.5
    20	      8	   2010	    3.8	  349.1
    21	      8	   2010	    0.7	   48.1
    22	      8	   2010	    2.9	   27.6
    23	      8	   2010	    0.9	   24.7
    24	      8	   2010	   10.7	   31.4
    25	      8	   2010	    6.8	   16.4
    26	      8	   2010	    3.2	    6.8
    27	      8	   2010	    3.5	   44.3
    28	      8	   2010	    2.9	    1.2
    29	      8	   2010	   11.1	    6.3
    30	      8	   2010	    4.1	   36.0
    31	      8	   2010	    4.5	   41.7
     1	      9	   2010	    1.2	   18.8
     2	      9	   2010	    2.2	   13.9
     3	      9	   2010	    8.0	   37.0
     4	      9	   2010	    1.5	   10.8
     5	      9	   2010	    5.7	  359.8
     6	      9	   2010	   11.4	    1.0
     7	      9	   2010	    2.3	   60.1
     8	      9	   2010	    8.7	   17.6
     9	      9	   2010	    2.2	   17.7
    10	      9	   2010	   16.4	    2.1
    11	      9	   2010	    1.2	   17.5
    12	      9	   2010	   11.7	  357.7
    13	      9	   2010	    3.2	   10.3
    14	      9	   2010	    6.4	   33.0
    15	      9	   2010	    0.5	   12.7
    16	      9	   2010	   11.3	   30.9
    17	      9	   2010	   -0.4	   62.7
    18	      9	   2010	    3.0	   22.0
    19	      9	   2010	    0.8	   18.8
    20	      9	   2010	    2.8	   32.3
    21	      9	   2010	   11.0	    7.1
    22	      9	   2010	    4.1	   21.9
    23	      9	   2010	   10.0	   27.5
    24	      9	   2010	    6.2	    6.8
    25	      9	   2010	    2.2	   39.1
    26	      9	   2010	    1.4	  359.7
