Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	    7.1	    8.4
     2	      1	   2010	    8.5	   20.5
     3	      1	   2010	    6.2	   25.5
     4	      1	   2010	    9.3	  347.8
     5	      1	   2010	    2.4	   10.6
     6	      1	   2010	   15.6	  356.9
     7	      1	   2010	   11.2	    8.4
     8	      1	   2010	   17.1	   22.0
     9	      1	   2010	   10.4	   24.8
    10	      1	   2010	   13.1	   12.6
    11	      1	   2010	   12.3	   14.3
    12	      1	   2010	   -0.8	   12.8
    13	      1	   2010	   -0.6	   22.3
    14	      1	   2010	    4.2	  359.9
    15	      1	   2010	    6.1	    7.0
    16	      1	   2010	    9.1	    4.3
    17	      1	   2010	   -0.9	   15.0
    18	      1	   2010	    9.5	    5.9
    19	      1	   2010	   10.8	    8.0
    20	      1	   2010	    1.5	    0.2
    21	      1	   2010	    7.7	   27.2
    22	      1	   2010	   10.8	    6.9
    23	      1	   2010	    9.7	   13.3
    24	      1	   2010	    4.5	    2.7
    25	      1	   2010	    4.2	   24.1
    26	      1	   2010	    3.4	    2.6
    27	      1	   2010	    3.1	   14.2
    28	      1	   2010	   11.5	  354.6
    29	      1	   2010	    5.9	    6.9
    30	      1	   2010	    7.4	   20.6
    31	      1	   2010	   11.6	    0.5
     1	      2	   2010	    5.0	   31.8
     2	      2	   2010	    6.2	   14.3
     3	      2	   2010	    5.0	  359.7
     4	      2	   2010	    8.9	   33.5
     5	      2	   2010	    6.7	   17.4
     6	      2	   2010	    7.4	   25.8
     7	      2	   2010	    8.3	   14.0
     8	      2	   2010	    3.9	    2.4
     9	      2	   2010	    3.2	   16.3
    10	      2	   2010	    8.0	    8.5
    11	      2	   2010	   11.5	   22.9
    12	      2	   2010	   13.1	    8.8
    13	      2	   2010	   15.6	    8.3
    14	      2	   2010	   13.9	   11.4
    15	      2	   2010	   13.1	   10.6
    16	      2	   2010	   11.5	   18.7
    17	      2	   2010	    9.6	   11.0
    18	      2	   2010	    8.5	    5.6
    19	      2	   2010	   15.7	    8.7
    20	      2	   2010	    8.7	   11.1
    21	      2	   2010	    4.3	   25.3
    22	      2	   2010	    4.8	  352.6
    23	      2	   2010	   13.6	   10.7
    24	      2	   2010	   14.2	  346.8
    25	      2	   2010	   17.3	   13.8
    26	      2	   2010	    3.7	    8.2
    27	      2	   2010	   -0.7	   11.8
    28	      2	   2010	   -1.1	   10.4
     1	      3	   2010	    8.9	  350.8
     2	      3	   2010	   10.8	  357.5
     3	      3	   2010	    5.1	   15.0
     4	      3	   2010	    7.8	    9.2
     5	      3	   2010	   10.1	   14.1
     6	      3	   2010	   13.1	  349.4
     7	      3	   2010	    5.6	    1.7
     8	      3	   2010	    3.5	    7.6
     9	      3	   2010	    6.0	   10.6
    10	      3	   2010	    5.4	   30.2
    11	      3	   2010	   20.2	   17.2
    12	      3	   2010	   -0.7	   19.5
    13	      3	   2010	   13.0	    0.7
    14	      3	   2010	    7.4	   37.4
    15	      3	   2010	    2.7	    6.2
    16	      3	   2010	   10.5	   20.1
    17	      3	   2010	    8.3	    7.7
    18	      3	   2010	   11.6	    2.1
    19	      3	   2010	   15.7	    5.1
    20	      3	   2010	    2.4	   33.0
    21	      3	   2010	    2.8	   18.4
    22	      3	   2010	    6.2	   23.3
