Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   1995	    7.6	   51.4
     2	      1	   1995	   13.5	   51.1
     3	      1	   1995	    2.0	   44.7
     4	      1	   1995	    9.3	   58.6
     5	      1	   1995	    7.7	   48.6
     6	      1	   1995	    4.6	   46.0
     7	      1	   1995	   10.6	   78.1
     8	      1	   1995	   15.7	   43.9
     9	      1	   1995	    9.0	   50.7
    10	      1	   1995	    6.0	   35.3
    11	      1	   1995	    7.8	   51.2
    12	      1	   1995	   16.7	   41.1
    13	      1	   1995	   15.2	   52.6
    14	      1	   1995	   12.3	   37.0
    15	      1	   1995	   25.7	   54.6
    16	      1	   1995	   22.8	   47.8
    17	      1	   1995	    6.1	   52.4
    18	      1	   1995	    2.0	   39.7
    19	      1	   1995	   17.7	   46.7
    20	      1	   1995	    6.9	   42.9
    21	      1	   1995	   14.8	   45.9
    22	      1	   1995	   13.1	   56.6
    23	      1	   1995	    7.4	   44.0
    24	      1	   1995	    4.2	   30.4
    25	      1	   1995	    7.9	   62.3
    26	      1	   1995	   19.3	   44.0
    27	      1	   1995	    5.3	   36.0
    28	      1	   1995	   12.1	   39.4
    29	      1	   1995	    9.8	   56.4
    30	      1	   1995	    2.2	   34.4
    31	      1	   1995	    8.2	   48.7
     1	      2	   1995	    3.1	   40.0
     2	      2	   1995	   24.3	   28.2
     3	      2	   1995	   19.4	   52.7
     4	      2	   1995	   19.0	   32.9
     5	      2	   1995	   15.1	   37.1
     6	      2	   1995	   12.5	   28.8
     7	      2	   1995	    3.7	   26.4
     8	      2	   1995	   10.7	   35.8
     9	      2	   1995	   20.7	   52.2
    10	      2	   1995	   24.2	   91.3
    11	      2	   1995	    2.5	   50.6
    12	      2	   1995	    2.3	   55.9
    13	      2	   1995	    6.8	   37.0
    14	      2	   1995	   10.2	   54.3
    15	      2	   1995	    8.7	   50.6
    16	      2	   1995	   13.3	   46.0
    17	      2	   1995	   11.2	   47.5
    18	      2	   1995	    4.3	   40.1
    19	      2	   1995	    5.7	   47.5
    20	      2	   1995	   12.6	   45.5
    21	      2	   1995	    8.5	   23.2
    22	      2	   1995	    5.4	   45.5
    23	      2	   1995	   -0.8	   66.4
    24	      2	   1995	   15.2	   41.5
    25	      2	   1995	    8.6	   26.7
    26	      2	   1995	    5.3	   47.3
    27	      2	   1995	   29.1	   35.4
    28	      2	   1995	   20.8	   48.1
     1	      3	   1995	    4.3	   36.4
     2	      3	   1995	   16.4	   44.3
     3	      3	   1995	    9.0	   35.5
     4	      3	   1995	    7.2	   65.6
     5	      3	   1995	   15.8	   54.2
     6	      3	   1995	    5.8	   61.1
     7	      3	   1995	   22.2	   33.0
     8	      3	   1995	   15.9	   38.9
     9	      3	   1995	    8.6	   52.7
    10	      3	   1995	    4.6	   35.9
    11	      3	   1995	    7.9	   52.8
    12	      3	   1995	    9.1	   52.4
    13	      3	   1995	   12.1	   63.4
    14	      3	   1995	   17.2	   50.0
    15	      3	   1995	    4.2	   27.1
    16	      3	   1995	   23.2	   45.5
    17	      3	   1995	    0.2	   44.3
    18	      3	   1995	    7.3	   30.9
    19	      3	   1995	    7.6	   47.8
    20	      3	   1995	    4.6	   26.4
    21	      3	   1995	   -0.4	   59.3
    22	      3	   1995	    0.4	   32.0
    23	      3	   1995	    8.3	   70.8
    24	      3	   1995	   17.4	   41.4
    25	      3	   1995	   29.8	   48.4
    26	      3	   1995	    8.6	   47.4
    27	      3	   1995	   30.4	   43.1
    28	      3	   1995	    7.1	   28.0
    29	      3	   1995	   -0.3	   47.2
    30	      3	   1995	   13.7	   52.0
    31	      3	   1995	   16.6	   29.1
     1	      4	   1995	   18.9	   35.6
     2	      4	   1995	    2.6	   52.2
     3	      4	   1995	    5.2	   35.2
     4	      4	   1995	    3.3	   46.3
     5	      4	   1995	   12.7	   33.7
     6	      4	   1995	    6.8	   39.0
     7	      4	   1995	    3.5	   16.3
     8	      4	   1995	   12.2	   43.7
     9	      4	   1995	   -1.0	   37.8
    10	      4	   1995	   10.6	   60.6
    11	      4	   1995	   11.3	   33.7
    12	      4	   1995	   13.7	   61.8
    13	      4	   1995	    6.9	   39.4
    14	      4	   1995	   13.3	   45.5
    15	      4	   1995	   12.3	   60.9
    16	      4	   1995	    8.0	   48.2
    17	      4	   1995	    5.4	   42.1
    18	      4	   1995	    4.1	   43.3
    19	      4	   1995	   -1.1	   56.3
    20	      4	   1995	   15.2	   34.4
    21	      4	   1995	   14.2	   43.7
    22	      4	   1995	   17.3	   54.4
    23	      4	   1995	    4.9	   43.5
    24	      4	   1995	    7.5	   37.7
    25	      4	   1995	   14.4	   50.9
    26	      4	   1995	    9.3	   60.7
    27	      4	   1995	    7.3	   61.6
    28	      4	   1995	    8.0	   46.9
    29	      4	   1995	   21.4	   37.0
    30	      4	   1995	    3.4	   36.5
     1	      5	   1995	   17.6	   44.5
     2	      5	   1995	    6.0	   54.5
     3	      5	   1995	   18.1	   33.6
     4	      5	   1995	   15.2	   42.8
     5	      5	   1995	    8.1	   53.3
     6	      5	   1995	    3.2	   51.7
     7	      5	   1995	   11.4	   45.4
     8	      5	   1995	   10.2	   36.4
     9	      5	   1995	   17.0	   36.2
    10	      5	   1995	    2.2	   39.4
    11	      5	   1995	   14.9	   42.9
    12	      5	   1995	    0.4	   41.6
    13	      5	   1995	    6.6	   52.4
    14	      5	   1995	    4.2	   51.5
