Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   1996	    4.2	  355.5
     2	      1	   1996	   13.2	    3.1
     3	      1	   1996	    0.0	   12.4
     4	      1	   1996	    7.3	   18.3
     5	      1	   1996	    0.1	  349.6
     6	      1	   1996	    1.7	    2.2
     7	      1	   1996	   13.9	   10.4
     8	      1	   1996	   14.6	   12.5
     9	      1	   1996	   10.6	    2.0
    10	      1	   1996	   13.9	    2.3
    11	      1	   1996	   20.2	  343.7
    12	      1	   1996	    9.1	    0.7
    13	      1	   1996	    9.2	    1.7
    14	      1	   1996	   11.6	    2.0
    15	      1	   1996	    5.6	  349.5
    16	      1	   1996	    5.5	    1.6
    17	      1	   1996	   10.0	   12.1
    18	      1	   1996	    4.8	    8.3
    19	      1	   1996	    6.6	    6.9
    20	      1	   1996	   14.3	   24.2
    21	      1	   1996	    5.4	  346.8
    22	      1	   1996	   11.7	    2.7
    23	      1	   1996	   14.7	  355.9
    24	      1	   1996	    3.4	    8.4
    25	      1	   1996	    7.1	   21.3
    26	      1	   1996	   11.3	  349.1
    27	      1	   1996	    5.7	   29.3
    28	      1	   1996	    3.9	    4.4
    29	      1	   1996	   16.9	    2.3
    30	      1	   1996	   17.3	  350.8
    31	      1	   1996	   17.2	   10.0
     1	      2	   1996	   17.5	  350.0
     2	      2	   1996	    3.0	  354.8
     3	      2	   1996	   15.6	  344.6
     4	      2	   1996	    3.8	  351.4
     5	      2	   1996	    4.0	  352.8
     6	      2	   1996	    9.8	   16.7
     7	      2	   1996	    0.9	   10.0
     8	      2	   1996	    6.0	  357.9
     9	      2	   1996	   14.0	    2.8
    10	      2	   1996	   12.1	    6.9
    11	      2	   1996	    4.7	  347.3
    12	      2	   1996	    5.0	  346.8
    13	      2	   1996	    8.4	   22.4
    14	      2	   1996	    5.3	  358.8
    15	      2	   1996	    8.5	  356.9
    16	      2	   1996	    3.1	    6.0
    17	      2	   1996	   14.1	    1.1
    18	      2	   1996	    4.3	  347.3
    19	      2	   1996	    4.9	  356.2
    20	      2	   1996	    3.1	   10.0
    21	      2	   1996	   17.2	  354.0
    22	      2	   1996	    3.7	    3.6
    23	      2	   1996	   22.8	  359.1
    24	      2	   1996	    1.7	    6.3
    25	      2	   1996	    0.3	  336.6
    26	      2	   1996	   13.8	  357.2
    27	      2	   1996	    7.6	    9.4
    28	      2	   1996	    5.4	   28.1
    29	      2	   1996	    0.8	    1.6
     1	      3	   1996	   10.0	    4.0
     2	      3	   1996	   13.7	   18.4
     3	      3	   1996	    5.8	    9.5
     4	      3	   1996	    2.1	  352.4
     5	      3	   1996	    7.1	  356.3
     6	      3	   1996	   11.9	    2.3
     7	      3	   1996	   18.1	   14.0
     8	      3	   1996	    9.7	    4.0
     9	      3	   1996	    7.0	  359.5
    10	      3	   1996	   12.5	  352.1
    11	      3	   1996	    2.8	    5.8
    12	      3	   1996	    7.6	  358.8
    13	      3	   1996	   10.6	    2.4
    14	      3	   1996	   10.3	  346.9
    15	      3	   1996	    5.7	  358.2
    16	      3	   1996	   -2.2	    0.6
    17	      3	   1996	    6.9	   10.0
    18	      3	   1996	   12.2	    4.5
    19	      3	   1996	    9.4	   19.7
    20	      3	   1996	   10.3	   15.1
    21	      3	   1996	    1.0	   14.0
    22	      3	   1996	    9.6	   15.2
    23	      3	   1996	    8.9	    0.2
    24	      3	   1996	    8.1	  354.6
    25	      3	   1996	    9.9	  355.5
    26	      3	   1996	   22.9	  339.0
    27	      3	   1996	   11.4	  352.1
    28	      3	   1996	   18.8	  340.2
    29	      3	   1996	   14.9	    0.6
    30	      3	   1996	    0.8	    5.5
    31	      3	   1996	    4.5	    4.2
     1	      4	   1996	    9.6	  355.4
     2	      4	   1996	   10.6	  349.7
     3	      4	   1996	   10.2	  359.9
     4	      4	   1996	   21.6	  334.3
     5	      4	   1996	    2.1	  335.8
     6	      4	   1996	   14.9	  336.2
     7	      4	   1996	    7.5	    1.1
     8	      4	   1996	   17.8	  347.2
     9	      4	   1996	    8.6	    1.6
    10	      4	   1996	   11.8	   26.8
    11	      4	   1996	    2.1	   17.9
    12	      4	   1996	    8.7	  359.4
    13	      4	   1996	    5.4	  355.8
    14	      4	   1996	   13.6	   17.4
    15	      4	   1996	    7.2	    1.4
    16	      4	   1996	    9.7	   26.8
    17	      4	   1996	   11.3	    7.5
    18	      4	   1996	    8.5	  350.8
    19	      4	   1996	   10.1	    2.5
    20	      4	   1996	   20.1	  335.1
    21	      4	   1996	   15.0	    3.2
    22	      4	   1996	   10.2	  353.4
    23	      4	   1996	    6.3	   13.7
    24	      4	   1996	   13.6	    1.5
    25	      4	   1996	    4.9	  346.9
    26	      4	   1996	   12.7	  348.6
    27	      4	   1996	   11.4	   18.8
    28	      4	   1996	   15.4	    1.5
    29	      4	   1996	    3.3	  347.2
    30	      4	   1996	   11.6	    8.9
     1	      5	   1996	   11.0	   12.1
     2	      5	   1996	    8.5	    6.7
     3	      5	   1996	    5.8	  345.2
     4	      5	   1996	   14.4	  350.9
     5	      5	   1996	   -2.0	    8.0
     6	      5	   1996	   10.5	  354.8
     7	      5	   1996	   17.2	  346.0
     8	      5	   1996	   11.4	   12.8
     9	      5	   1996	    4.3	    4.9
    10	      5	   1996	    7.3	   15.5
    11	      5	   1996	   23.5	    0.7
    12	      5	   1996	    3.3	    2.5
    13	      5	   1996	   12.7	    3.8
    14	      5	   1996	   12.7	    7.4
    15	      5	   1996	    6.5	  355.6
    16	      5	   1996	   11.4	  357.0
    17	      5	   1996	   12.4	    8.2
    18	      5	   1996	   10.5	  352.2
    19	      5	   1996	    0.6	  355.4
    20	      5	   1996	    8.8	    2.8
    21	      5	   1996	    6.0	  348.4
    22	      5	   1996	    4.2	  359.9
    23	      5	   1996	   15.2	    2.9
    24	      5	   1996	    1.0	  359.7
    25	      5	   1996	    3.5	  355.3
    26	      5	   1996	    5.6	    9.6
    27	      5	   1996	    9.4	   14.2
    28	      5	   1996	   11.2	  352.9
    29	      5	   1996	    7.6	  356.0
    30	      5	   1996	    3.5	  342.8
    31	      5	   1996	    5.6	   10.0
     1	      6	   1996	   16.7	  352.5
     2	      6	   1996	   12.3	    1.1
     3	      6	   1996	   11.0	  358.0
     4	      6	   1996	    6.6	  334.3
     5	      6	   1996	    8.0	  354.8
     6	      6	   1996	    7.1	    4.1
     7	      6	   1996	    7.5	  356.3
