Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   1998	   15.9	  329.4
     2	      1	   1998	    3.2	   18.3
     3	      1	   1998	   -0.3	  331.2
     4	      1	   1998	    1.2	   35.5
     5	      1	   1998	    5.9	   27.6
     6	      1	   1998	    9.3	   38.7
     7	      1	   1998	    6.6	  343.9
     8	      1	   1998	    2.6	  355.0
     9	      1	   1998	   10.1	  357.8
    10	      1	   1998	   12.7	  353.9
    11	      1	   1998	   -0.0	   33.0
    12	      1	   1998	    0.6	   22.2
    13	      1	   1998	    1.8	  344.8
    14	      1	   1998	    2.4	    3.0
    15	      1	   1998	    4.5	    6.6
    16	      1	   1998	    3.7	   45.6
    17	      1	   1998	    5.7	   37.6
    18	      1	   1998	    1.6	   39.0
    19	      1	   1998	    3.6	  343.6
    20	      1	   1998	    2.5	   21.5
    21	      1	   1998	   14.3	   28.0
    22	      1	   1998	    1.1	    7.9
    23	      1	   1998	   13.5	  351.7
    24	      1	   1998	   14.0	    4.2
    25	      1	   1998	    0.3	  325.8
    26	      1	   1998	   -0.2	  350.3
    27	      1	   1998	    8.3	  351.0
    28	      1	   1998	    8.2	  313.4
    29	      1	   1998	    9.6	    4.3
    30	      1	   1998	    9.2	   54.6
    31	      1	   1998	    6.1	  350.4
     1	      2	   1998	    5.3	   19.7
     2	      2	   1998	    3.8	   48.1
     3	      2	   1998	   17.2	   24.9
     4	      2	   1998	   -0.1	   20.5
     5	      2	   1998	    5.0	    3.5
     6	      2	   1998	    0.3	   12.1
     7	      2	   1998	   15.3	   37.6
     8	      2	   1998	    3.0	   10.7
     9	      2	   1998	    0.0	    5.2
    10	      2	   1998	   10.0	   37.6
    11	      2	   1998	   12.7	  359.1
    12	      2	   1998	    1.2	   33.4
    13	      2	   1998	    2.0	   30.5
    14	      2	   1998	   21.9	    4.2
    15	      2	   1998	    9.5	   48.0
    16	      2	   1998	    1.9	  345.0
    17	      2	   1998	    2.1	   38.2
    18	      2	   1998	    1.0	   29.2
    19	      2	   1998	    3.3	   21.6
    20	      2	   1998	    5.8	    5.1
    21	      2	   1998	   10.0	  329.9
    22	      2	   1998	    3.4	   14.8
    23	      2	   1998	   11.4	   42.3
    24	      2	   1998	    6.0	   13.6
    25	      2	   1998	    2.1	    7.5
    26	      2	   1998	    1.7	  359.2
    27	      2	   1998	    2.3	   39.2
    28	      2	   1998	    1.2	   26.8
     1	      3	   1998	    8.8	   14.1
     2	      3	   1998	   -0.2	   26.0
     3	      3	   1998	    9.5	   14.5
     4	      3	   1998	    2.7	   34.1
     5	      3	   1998	    0.9	  353.2
     6	      3	   1998	    0.4	    9.2
     7	      3	   1998	   -0.6	   38.1
     8	      3	   1998	    1.2	   42.9
     9	      3	   1998	    0.4	   18.0
    10	      3	   1998	    2.5	    0.5
    11	      3	   1998	    1.5	   27.5
    12	      3	   1998	   -0.4	    6.9
    13	      3	   1998	    1.7	  352.4
    14	      3	   1998	    2.8	   23.4
    15	      3	   1998	   12.6	   29.2
    16	      3	   1998	   -0.8	  354.4
    17	      3	   1998	    0.3	   11.2
    18	      3	   1998	    9.0	   14.4
    19	      3	   1998	   21.4	    4.7
    20	      3	   1998	    1.9	   58.9
    21	      3	   1998	    8.9	    4.7
    22	      3	   1998	    6.5	    7.6
    23	      3	   1998	    6.3	  324.2
    24	      3	   1998	   13.5	    4.9
    25	      3	   1998	    0.6	   53.9
    26	      3	   1998	    2.7	   30.3
    27	      3	   1998	   15.4	   25.6
    28	      3	   1998	    7.6	   10.6
    29	      3	   1998	   12.0	   22.7
    30	      3	   1998	    1.7	  352.9
    31	      3	   1998	   -1.9	   35.8
     1	      4	   1998	    7.1	   40.8
     2	      4	   1998	   -0.1	   29.7
     3	      4	   1998	   12.6	   49.4
     4	      4	   1998	    2.5	  351.7
     5	      4	   1998	    4.3	   18.7
     6	      4	   1998	    5.4	   22.3
     7	      4	   1998	    0.4	  342.1
     8	      4	   1998	    6.5	   51.2
     9	      4	   1998	    0.4	   32.4
    10	      4	   1998	    5.6	   33.1
    11	      4	   1998	    1.1	   17.5
    12	      4	   1998	   10.5	  341.7
    13	      4	   1998	   11.5	   20.1
    14	      4	   1998	    9.4	  348.0
    15	      4	   1998	   11.2	  332.2
    16	      4	   1998	    8.4	  345.7
    17	      4	   1998	    2.9	  348.3
    18	      4	   1998	    8.4	  345.0
    19	      4	   1998	    7.7	    5.4
    20	      4	   1998	    2.2	   17.9
    21	      4	   1998	   10.0	   20.4
    22	      4	   1998	   -0.3	    3.9
    23	      4	   1998	    0.8	   36.2
    24	      4	   1998	    5.1	    5.6
    25	      4	   1998	    1.9	  348.7
    26	      4	   1998	   -0.4	   35.5
    27	      4	   1998	    1.9	   36.4
    28	      4	   1998	    1.9	   52.0
    29	      4	   1998	   16.6	   32.5
    30	      4	   1998	   25.3	   39.0
     1	      5	   1998	    3.6	   28.2
     2	      5	   1998	   23.7	   21.8
     3	      5	   1998	   14.9	   45.0
     4	      5	   1998	    1.6	  354.6
     5	      5	   1998	    0.3	   58.2
     6	      5	   1998	   15.5	  358.8
     7	      5	   1998	   19.6	    1.4
     8	      5	   1998	   18.5	   22.4
     9	      5	   1998	   12.4	  351.9
    10	      5	   1998	   25.8	   43.4
    11	      5	   1998	   11.3	    0.9
    12	      5	   1998	   -0.1	  359.6
    13	      5	   1998	    4.4	    3.7
    14	      5	   1998	    2.6	  348.1
    15	      5	   1998	   -1.3	   38.7
    16	      5	   1998	    4.5	  347.4
    17	      5	   1998	    1.3	   34.1
    18	      5	   1998	    1.7	    0.2
    19	      5	   1998	   14.7	   18.4
    20	      5	   1998	    5.7	    6.0
    21	      5	   1998	    7.8	   16.6
    22	      5	   1998	   17.2	   42.1
    23	      5	   1998	   -1.2	  338.7
    24	      5	   1998	    4.9	   19.6
    25	      5	   1998	    7.3	   21.3
    26	      5	   1998	   22.8	  354.0
    27	      5	   1998	    6.1	   16.2
    28	      5	   1998	    0.6	   11.2
    29	      5	   1998	    0.4	  351.6
    30	      5	   1998	    5.3	  345.2
    31	      5	   1998	    9.9	    3.6
     1	      6	   1998	    5.2	   31.5
     2	      6	   1998	    0.7	  357.7
     3	      6	   1998	    5.5	   23.1
     4	      6	   1998	   -0.4	   30.6
     5	      6	   1998	   14.9	  345.3
     6	      6	   1998	    1.1	   19.4
     7	      6	   1998	    3.6	  351.8
     8	      6	   1998	    4.0	   10.0
     9	      6	   1998	    2.6	   18.5
    10	      6	   1998	    0.2	    3.6
    11	      6	   1998	    5.4	   23.7
    12	      6	   1998	    3.4	   12.1
    13	      6	   1998	    3.0	  350.3
    14	      6	   1998	   11.9	   25.2
    15	      6	   1998	    0.9	   16.7
    16	      6	   1998	   -0.5	   31.6
