Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2000	   12.5	  358.7
     2	      1	   2000	    4.7	    6.0
     3	      1	   2000	    9.7	  351.9
     4	      1	   2000	   10.1	  350.8
     5	      1	   2000	   24.1	  349.4
     6	      1	   2000	   10.5	    1.6
     7	      1	   2000	   10.9	  344.6
     8	      1	   2000	   19.3	    8.9
     9	      1	   2000	    1.4	    7.5
    10	      1	   2000	    8.8	   13.6
    11	      1	   2000	   10.6	  346.4
    12	      1	   2000	    2.9	    6.9
    13	      1	   2000	   11.7	  358.7
    14	      1	   2000	    2.5	  356.3
    15	      1	   2000	   14.7	  355.3
    16	      1	   2000	   15.1	  359.6
    17	      1	   2000	    0.2	  347.8
    18	      1	   2000	   -0.1	  326.0
    19	      1	   2000	    6.5	   13.3
    20	      1	   2000	   11.6	  350.6
    21	      1	   2000	   14.7	  339.3
    22	      1	   2000	   12.1	    3.5
    23	      1	   2000	    9.0	  341.9
    24	      1	   2000	   27.9	   12.8
    25	      1	   2000	   15.5	  342.5
    26	      1	   2000	   19.6	  357.0
    27	      1	   2000	    2.7	  344.1
    28	      1	   2000	   21.3	    6.8
    29	      1	   2000	    1.6	  341.3
    30	      1	   2000	   15.7	    1.0
    31	      1	   2000	    4.4	  349.7
     1	      2	   2000	    7.8	  358.0
     2	      2	   2000	   12.0	  353.3
     3	      2	   2000	   23.6	    4.7
     4	      2	   2000	    4.1	  342.0
     5	      2	   2000	   12.8	    2.1
     6	      2	   2000	   15.1	    8.8
     7	      2	   2000	   14.1	  353.4
     8	      2	   2000	   18.3	  342.2
     9	      2	   2000	   15.5	  350.3
    10	      2	   2000	   14.5	  353.8
    11	      2	   2000	   24.5	  355.0
    12	      2	   2000	    8.6	    0.7
    13	      2	   2000	   25.7	  349.5
    14	      2	   2000	    6.1	  343.3
    15	      2	   2000	   21.6	    4.8
    16	      2	   2000	   12.3	  356.3
    17	      2	   2000	    5.3	  345.6
    18	      2	   2000	   15.9	  335.3
    19	      2	   2000	    0.0	  345.5
    20	      2	   2000	    2.8	    0.2
    21	      2	   2000	    5.9	   19.5
    22	      2	   2000	    9.7	  351.8
    23	      2	   2000	    9.6	  353.8
    24	      2	   2000	   17.8	    2.5
    25	      2	   2000	    4.2	  355.0
    26	      2	   2000	   14.8	  345.8
    27	      2	   2000	    1.6	  353.7
    28	      2	   2000	    7.7	  350.1
    29	      2	   2000	   12.7	    1.6
     1	      3	   2000	   15.4	  351.2
     2	      3	   2000	    7.4	  356.2
     3	      3	   2000	    6.3	    6.5
     4	      3	   2000	    8.7	    0.0
     5	      3	   2000	    4.0	  356.3
     6	      3	   2000	    5.8	    3.5
     7	      3	   2000	    5.1	  357.5
     8	      3	   2000	    4.3	    8.7
     9	      3	   2000	   14.1	  349.9
    10	      3	   2000	    7.6	  344.1
    11	      3	   2000	    4.1	  353.4
    12	      3	   2000	   11.1	   14.6
    13	      3	   2000	   11.8	  355.1
    14	      3	   2000	    8.0	    0.3
    15	      3	   2000	    3.0	  340.2
    16	      3	   2000	    3.3	  353.5
    17	      3	   2000	   12.3	  353.3
    18	      3	   2000	   17.9	  342.0
    19	      3	   2000	    2.2	  351.6
    20	      3	   2000	    7.8	    3.2
    21	      3	   2000	    8.5	  345.3
    22	      3	   2000	   16.0	  353.0
    23	      3	   2000	    3.4	  355.7
    24	      3	   2000	   11.1	  347.9
    25	      3	   2000	    6.7	  344.6
    26	      3	   2000	    6.9	  344.4
    27	      3	   2000	    2.8	  355.2
    28	      3	   2000	   21.9	  345.2
    29	      3	   2000	   14.3	   10.9
    30	      3	   2000	   16.4	  334.9
    31	      3	   2000	    8.0	   10.4
     1	      4	   2000	    6.8	  344.4
     2	      4	   2000	    0.1	  349.3
     3	      4	   2000	   12.3	  350.8
     4	      4	   2000	   13.4	  343.8
     5	      4	   2000	    8.2	  346.9
     6	      4	   2000	    8.3	  353.2
     7	      4	   2000	    9.6	  358.6
     8	      4	   2000	    8.3	  349.3
     9	      4	   2000	    5.1	    3.9
    10	      4	   2000	   11.9	   10.7
    11	      4	   2000	   14.5	  337.0
    12	      4	   2000	   13.7	    6.3
    13	      4	   2000	   11.2	    4.2
    14	      4	   2000	   20.2	  359.9
    15	      4	   2000	    7.5	  348.2
    16	      4	   2000	   12.0	   19.7
    17	      4	   2000	   30.2	  350.4
    18	      4	   2000	   11.8	  353.9
    19	      4	   2000	   22.2	  340.6
    20	      4	   2000	   11.3	    6.7
    21	      4	   2000	    7.1	   15.4
    22	      4	   2000	   19.7	    8.5
    23	      4	   2000	    3.1	    9.9
    24	      4	   2000	    5.4	  350.6
    25	      4	   2000	   14.2	  358.1
    26	      4	   2000	   18.5	    2.0
    27	      4	   2000	   13.2	  355.0
    28	      4	   2000	    0.2	  355.2
    29	      4	   2000	   23.1	  358.4
    30	      4	   2000	   15.3	    0.6
     1	      5	   2000	   10.4	  353.9
     2	      5	   2000	    6.7	    0.3
     3	      5	   2000	   11.1	    0.0
     4	      5	   2000	    5.7	  353.4
     5	      5	   2000	    5.9	  350.8
     6	      5	   2000	   15.4	  346.4
     7	      5	   2000	   21.0	  349.5
     8	      5	   2000	    8.1	    0.5
     9	      5	   2000	   25.9	  354.5
    10	      5	   2000	    1.6	  359.1
    11	      5	   2000	    5.0	  338.2
    12	      5	   2000	   20.0	  355.6
    13	      5	   2000	    2.1	  353.2
    14	      5	   2000	   12.6	    1.6
    15	      5	   2000	   17.6	  357.6
    16	      5	   2000	   11.2	    3.9
    17	      5	   2000	   10.1	  353.7
    18	      5	   2000	   15.1	  352.7
    19	      5	   2000	   20.5	    4.8
    20	      5	   2000	   15.4	  346.0
    21	      5	   2000	    7.2	  348.4
    22	      5	   2000	   25.0	  350.9
    23	      5	   2000	   14.6	  340.1
    24	      5	   2000	   19.6	  357.5
    25	      5	   2000	    5.1	  338.2
    26	      5	   2000	    4.2	  358.0
    27	      5	   2000	   12.3	    4.7
    28	      5	   2000	   15.8	  340.4
    29	      5	   2000	   18.5	  359.9
    30	      5	   2000	    9.0	    3.4
    31	      5	   2000	    8.1	    3.0
     1	      6	   2000	   13.9	  358.2
     2	      6	   2000	   26.2	  345.6
     3	      6	   2000	   12.4	    0.3
     4	      6	   2000	   19.9	  342.6
     5	      6	   2000	    8.6	    4.4
     6	      6	   2000	   15.6	    3.7
     7	      6	   2000	   27.1	  339.2
     8	      6	   2000	    8.9	  345.8
     9	      6	   2000	   20.2	   13.2
    10	      6	   2000	   13.9	  350.0
    11	      6	   2000	    7.7	    5.1
    12	      6	   2000	    4.2	    9.1
    13	      6	   2000	   16.6	  354.8
    14	      6	   2000	    7.8	  357.5
    15	      6	   2000	   10.9	  352.9
    16	      6	   2000	   21.0	  351.2
    17	      6	   2000	   22.6	  359.0
    18	      6	   2000	   10.7	    0.6
    19	      6	   2000	    6.1	  343.9
    20	      6	   2000	    3.0	  352.9
    21	      6	   2000	    8.6	  347.6
    22	      6	   2000	   18.7	  356.7
    23	      6	   2000	    4.4	    6.2
    24	      6	   2000	   14.9	    2.5
    25	      6	   2000	   18.4	    7.7
    26	      6	   2000	    2.4	    7.6
    27	      6	   2000	    9.9	  353.4
    28	      6	   2000	    9.3	  344.3
    29	      6	   2000	    1.8	  356.2
    30	      6	   2000	   19.5	  327.5
     1	      7	   2000	    6.9	  342.2
     2	      7	   2000	    4.2	  341.3
     3	      7	   2000	    1.6	  351.1
     4	      7	   2000	    6.7	  345.8
     5	      7	   2000	   25.8	    8.6
     6	      7	   2000	    8.3	  326.6
     7	      7	   2000	   25.5	  353.5
     8	      7	   2000	   22.8	  358.3
     9	      7	   2000	    9.6	  340.2
    10	      7	   2000	   12.3	    3.5
    11	      7	   2000	    7.2	  348.2
    12	      7	   2000	   22.6	  355.3
    13	      7	   2000	   21.0	    8.3
    14	      7	   2000	   13.3	  358.0
    15	      7	   2000	   11.9	  353.5
    16	      7	   2000	    6.6	  354.0
    17	      7	   2000	   17.2	    7.3
    18	      7	   2000	   10.9	  339.0
    19	      7	   2000	    9.7	   22.9
    20	      7	   2000	    1.2	  352.7
    21	      7	   2000	    9.4	  346.5
    22	      7	   2000	   11.0	  345.9
    23	      7	   2000	   12.2	    4.9
    24	      7	   2000	   29.3	    2.6
    25	      7	   2000	    1.3	  354.4
    26	      7	   2000	   10.0	  327.3
    27	      7	   2000	    3.6	  346.5
    28	      7	   2000	    9.1	    4.1
    29	      7	   2000	   10.2	    4.9
    30	      7	   2000	   11.4	  345.9
    31	      7	   2000	   20.2	    1.1
     1	      8	   2000	   13.4	    4.9
     2	      8	   2000	   18.5	  352.7
