Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2000	   14.5	   25.5
     2	      1	   2000	   16.7	   24.7
     3	      1	   2000	    9.3	   11.3
     4	      1	   2000	    6.7	    8.5
     5	      1	   2000	    3.7	   24.3
     6	      1	   2000	   14.3	    4.3
     7	      1	   2000	    2.4	   15.6
     8	      1	   2000	    9.5	  353.0
     9	      1	   2000	    9.4	    7.8
    10	      1	   2000	    8.3	   11.9
    11	      1	   2000	    8.9	  354.7
    12	      1	   2000	    8.5	  356.1
    13	      1	   2000	    4.4	   14.7
    14	      1	   2000	   13.2	    8.4
    15	      1	   2000	    9.2	   15.2
    16	      1	   2000	   13.5	    0.8
    17	      1	   2000	    6.7	   19.3
    18	      1	   2000	    8.5	    7.6
    19	      1	   2000	   12.3	  359.9
    20	      1	   2000	    5.7	   22.1
    21	      1	   2000	   15.9	  350.4
    22	      1	   2000	   18.6	    3.6
    23	      1	   2000	    7.4	   17.2
    24	      1	   2000	    3.2	  357.7
    25	      1	   2000	   19.0	   23.1
    26	      1	   2000	    6.3	   18.5
    27	      1	   2000	    7.7	    5.9
    28	      1	   2000	    8.3	   13.5
    29	      1	   2000	   10.3	   15.9
    30	      1	   2000	   19.9	    3.7
    31	      1	   2000	   13.8	   32.9
     1	      2	   2000	   11.3	   12.3
     2	      2	   2000	    4.3	    2.8
     3	      2	   2000	   17.0	   25.5
     4	      2	   2000	    6.3	   15.0
     5	      2	   2000	    1.8	   12.9
     6	      2	   2000	    7.6	    1.0
     7	      2	   2000	    4.9	    4.5
     8	      2	   2000	   15.5	   22.2
     9	      2	   2000	    7.3	   27.3
    10	      2	   2000	    8.3	   11.2
    11	      2	   2000	    2.0	    6.8
    12	      2	   2000	    4.0	   22.4
    13	      2	   2000	    1.5	   11.4
    14	      2	   2000	    2.1	    6.7
    15	      2	   2000	    3.6	   11.5
    16	      2	   2000	    7.2	    1.5
    17	      2	   2000	    2.5	   23.4
    18	      2	   2000	    1.8	   20.0
    19	      2	   2000	    1.4	  353.8
    20	      2	   2000	   10.2	   30.6
    21	      2	   2000	    3.6	   11.4
    22	      2	   2000	    7.7	   15.4
    23	      2	   2000	   18.3	   19.8
    24	      2	   2000	    5.4	   13.8
    25	      2	   2000	   21.1	   22.5
    26	      2	   2000	    7.2	   18.3
    27	      2	   2000	    9.1	   14.9
    28	      2	   2000	    5.8	  342.8
    29	      2	   2000	    8.8	   18.2
     1	      3	   2000	   18.5	    6.0
     2	      3	   2000	    7.9	    1.1
     3	      3	   2000	   11.5	   25.1
     4	      3	   2000	   -1.9	  354.8
     5	      3	   2000	   11.7	  358.3
     6	      3	   2000	    9.1	  355.4
     7	      3	   2000	    9.6	    0.4
     8	      3	   2000	    2.3	   18.5
     9	      3	   2000	    6.9	    6.2
    10	      3	   2000	    3.7	   17.9
    11	      3	   2000	   11.6	   30.7
    12	      3	   2000	    9.3	    9.6
    13	      3	   2000	    7.7	   24.4
    14	      3	   2000	    4.0	    1.9
    15	      3	   2000	   13.9	  349.3
    16	      3	   2000	    9.5	   13.7
    17	      3	   2000	    1.8	   14.1
    18	      3	   2000	    4.3	   15.6
    19	      3	   2000	    1.9	   22.3
    20	      3	   2000	    6.6	   23.0
    21	      3	   2000	    6.5	   18.3
    22	      3	   2000	   12.2	   18.2
    23	      3	   2000	    3.2	   13.8
    24	      3	   2000	   14.5	   41.6
    25	      3	   2000	   12.0	   24.6
    26	      3	   2000	    9.0	   24.3
    27	      3	   2000	    9.0	    9.5
    28	      3	   2000	   14.5	    5.3
    29	      3	   2000	    5.6	   22.7
    30	      3	   2000	    7.7	    3.7
    31	      3	   2000	    6.5	   19.2
     1	      4	   2000	    7.5	   13.1
     2	      4	   2000	   13.0	    2.3
     3	      4	   2000	   13.9	   11.0
     4	      4	   2000	   22.5	   29.0
     5	      4	   2000	    2.9	  356.8
     6	      4	   2000	    7.7	    5.7
     7	      4	   2000	    8.8	   14.5
     8	      4	   2000	    6.7	   12.9
     9	      4	   2000	    9.0	   19.5
    10	      4	   2000	    2.4	   11.5
    11	      4	   2000	   17.7	   16.8
    12	      4	   2000	    2.4	  353.8
    13	      4	   2000	   12.0	    4.3
    14	      4	   2000	    4.4	   10.2
    15	      4	   2000	   11.3	    8.6
    16	      4	   2000	    8.0	   23.4
    17	      4	   2000	    4.7	    6.4
    18	      4	   2000	   11.9	    9.8
    19	      4	   2000	    5.1	  348.8
    20	      4	   2000	    5.9	   12.7
    21	      4	   2000	    6.6	  352.6
    22	      4	   2000	    9.5	    3.5
    23	      4	   2000	    4.6	   27.6
    24	      4	   2000	    4.9	   13.5
    25	      4	   2000	   13.0	    4.0
    26	      4	   2000	    6.8	   17.4
    27	      4	   2000	    8.0	   30.2
    28	      4	   2000	    6.8	   15.2
    29	      4	   2000	    6.8	   12.0
    30	      4	   2000	    4.6	  356.8
     1	      5	   2000	    7.0	   18.6
     2	      5	   2000	    5.6	   11.4
     3	      5	   2000	    4.7	   19.2
     4	      5	   2000	   12.5	   26.9
     5	      5	   2000	   10.3	   27.4
     6	      5	   2000	   16.8	   14.4
     7	      5	   2000	    3.4	  350.6
     8	      5	   2000	   -1.2	    7.4
     9	      5	   2000	   16.1	   13.1
    10	      5	   2000	    7.6	   10.0
    11	      5	   2000	   14.7	   20.5
    12	      5	   2000	    7.4	    1.2
    13	      5	   2000	    8.2	   12.7
    14	      5	   2000	    9.0	   26.3
    15	      5	   2000	   12.9	   16.6
    16	      5	   2000	   16.4	    2.5
    17	      5	   2000	   16.0	   16.7
    18	      5	   2000	   11.3	   10.1
    19	      5	   2000	   15.8	    7.5
    20	      5	   2000	    8.6	   11.0
    21	      5	   2000	    6.1	   14.1
    22	      5	   2000	   12.0	  356.6
    23	      5	   2000	   15.5	   10.5
    24	      5	   2000	    7.2	   22.0
    25	      5	   2000	   10.8	   15.9
    26	      5	   2000	    8.1	  347.3
    27	      5	   2000	    6.0	    6.2
    28	      5	   2000	    5.2	   15.9
    29	      5	   2000	    8.4	  356.0
    30	      5	   2000	   13.1	   27.2
    31	      5	   2000	   18.0	   16.0
     1	      6	   2000	    7.2	    7.5
     2	      6	   2000	   13.5	   19.5
     3	      6	   2000	   11.1	   21.7
     4	      6	   2000	    8.8	   23.7
     5	      6	   2000	    6.3	   17.2
     6	      6	   2000	   15.1	  359.7
     7	      6	   2000	    6.7	   13.8
     8	      6	   2000	    4.3	   20.0
     9	      6	   2000	   17.0	   15.2
    10	      6	   2000	    7.5	  357.1
    11	      6	   2000	    7.1	    2.3
    12	      6	   2000	   13.5	    0.3
    13	      6	   2000	    3.7	   22.5
    14	      6	   2000	    7.4	   15.5
    15	      6	   2000	    8.0	   31.8
    16	      6	   2000	    9.3	    5.5
    17	      6	   2000	    6.1	   19.5
    18	      6	   2000	   13.5	   19.5
    19	      6	   2000	   11.5	   14.9
    20	      6	   2000	    4.2	   24.0
    21	      6	   2000	    6.1	    1.7
    22	      6	   2000	    9.8	    3.6
    23	      6	   2000	    7.7	   14.9
    24	      6	   2000	    4.1	   33.0
    25	      6	   2000	   17.2	    7.7
