Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2001	   16.1	   43.8
     2	      1	   2001	    8.2	   59.9
     3	      1	   2001	   11.6	   50.5
     4	      1	   2001	   16.2	   50.6
     5	      1	   2001	    8.8	   53.6
     6	      1	   2001	   18.0	   44.2
     7	      1	   2001	    5.7	   45.1
     8	      1	   2001	   15.3	   54.9
     9	      1	   2001	   14.2	   47.6
    10	      1	   2001	   10.2	   55.3
    11	      1	   2001	    3.3	   71.6
    12	      1	   2001	   16.8	   49.3
    13	      1	   2001	   -0.2	   54.6
    14	      1	   2001	   12.7	   51.5
    15	      1	   2001	    9.4	   45.1
    16	      1	   2001	   13.7	   36.7
    17	      1	   2001	   15.1	   39.1
    18	      1	   2001	    8.3	   45.9
    19	      1	   2001	    5.0	   45.3
    20	      1	   2001	   12.1	   48.5
    21	      1	   2001	   10.9	   45.6
    22	      1	   2001	    5.6	   47.9
    23	      1	   2001	    6.7	   56.2
    24	      1	   2001	   14.0	   48.9
    25	      1	   2001	    6.4	   65.3
    26	      1	   2001	   29.5	   59.5
    27	      1	   2001	    7.8	   42.2
    28	      1	   2001	   -1.7	   65.4
    29	      1	   2001	    8.4	   40.0
    30	      1	   2001	   12.3	   45.1
    31	      1	   2001	   14.6	   64.9
     1	      2	   2001	    2.6	   58.0
     2	      2	   2001	    1.3	   44.2
     3	      2	   2001	   18.8	   43.1
     4	      2	   2001	    6.1	   51.4
     5	      2	   2001	   17.1	   37.0
     6	      2	   2001	    1.6	   42.8
     7	      2	   2001	   17.2	   52.4
     8	      2	   2001	    2.7	   45.0
     9	      2	   2001	    3.7	   64.6
    10	      2	   2001	   12.2	   41.0
    11	      2	   2001	    8.3	   30.9
    12	      2	   2001	   17.4	   51.0
    13	      2	   2001	   17.0	   36.3
    14	      2	   2001	    5.1	   66.7
    15	      2	   2001	   15.5	   61.1
    16	      2	   2001	   17.3	   27.7
    17	      2	   2001	    7.4	   50.5
    18	      2	   2001	   19.5	   50.7
    19	      2	   2001	   23.6	   48.2
    20	      2	   2001	    4.2	   56.5
    21	      2	   2001	   24.1	   58.1
    22	      2	   2001	    5.9	   30.5
    23	      2	   2001	    3.5	   46.9
