Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2006	    5.4	   23.3
     2	      1	   2006	    4.2	   24.2
     3	      1	   2006	    2.2	   18.3
     4	      1	   2006	    6.3	  339.5
     5	      1	   2006	   13.0	    2.8
     6	      1	   2006	    2.0	   46.2
     7	      1	   2006	    9.9	    9.5
     8	      1	   2006	    0.7	  346.6
     9	      1	   2006	   22.1	   22.5
    10	      1	   2006	    2.9	   12.6
    11	      1	   2006	    1.3	   48.7
    12	      1	   2006	    0.7	  340.5
    13	      1	   2006	    7.5	    2.4
    14	      1	   2006	   15.2	   12.5
    15	      1	   2006	    3.2	   34.1
    16	      1	   2006	    9.7	    0.1
    17	      1	   2006	    1.2	   69.0
    18	      1	   2006	   17.7	   45.9
    19	      1	   2006	   22.4	   42.5
    20	      1	   2006	    7.1	   57.8
    21	      1	   2006	   -1.8	  351.8
    22	      1	   2006	    1.4	  339.8
    23	      1	   2006	    1.3	   28.3
    24	      1	   2006	    6.4	   21.4
    25	      1	   2006	   16.6	   26.1
    26	      1	   2006	    6.5	  329.7
    27	      1	   2006	    0.6	  338.3
    28	      1	   2006	    4.2	   27.3
    29	      1	   2006	    2.0	   58.5
    30	      1	   2006	    3.4	  352.8
    31	      1	   2006	    8.6	   27.0
     1	      2	   2006	   16.5	   12.7
     2	      2	   2006	    6.1	    6.0
     3	      2	   2006	    5.2	   60.5
     4	      2	   2006	    4.5	   46.8
     5	      2	   2006	    4.4	    2.9
     6	      2	   2006	   28.1	   12.8
     7	      2	   2006	    1.5	   27.8
     8	      2	   2006	    9.1	   28.1
     9	      2	   2006	    2.3	   11.7
    10	      2	   2006	    5.9	  359.9
    11	      2	   2006	    9.3	   16.2
    12	      2	   2006	    0.7	  356.5
    13	      2	   2006	    0.3	   60.5
    14	      2	   2006	    0.7	   29.4
    15	      2	   2006	    7.2	   17.6
    16	      2	   2006	   18.2	   25.1
    17	      2	   2006	   12.2	   50.0
    18	      2	   2006	   -0.9	    7.9
    19	      2	   2006	   14.0	   49.9
    20	      2	   2006	   14.9	    1.4
    21	      2	   2006	    1.3	    7.4
    22	      2	   2006	    8.5	   17.9
    23	      2	   2006	   -0.9	  341.9
    24	      2	   2006	   13.8	  356.4
    25	      2	   2006	    4.3	   11.3
    26	      2	   2006	   14.3	   28.1
    27	      2	   2006	    4.9	  347.7
    28	      2	   2006	   11.4	   26.8
     1	      3	   2006	   26.1	  359.6
     2	      3	   2006	    2.2	   48.5
     3	      3	   2006	    8.9	   44.4
     4	      3	   2006	    5.9	   25.2
     5	      3	   2006	    7.4	   28.3
     6	      3	   2006	   -0.0	   26.7
     7	      3	   2006	    4.8	   34.4
     8	      3	   2006	    1.7	   14.8
     9	      3	   2006	    0.8	   33.4
    10	      3	   2006	   14.1	    7.7
    11	      3	   2006	    3.3	   11.8
    12	      3	   2006	    0.8	  355.2
    13	      3	   2006	    2.1	    9.4
    14	      3	   2006	    1.5	   32.2
    15	      3	   2006	    4.7	   42.2
    16	      3	   2006	    0.8	   39.8
    17	      3	   2006	   10.5	  352.4
    18	      3	   2006	   30.9	   44.3
    19	      3	   2006	   10.4	   41.1
    20	      3	   2006	    4.5	   35.1
    21	      3	   2006	    4.7	   19.7
    22	      3	   2006	    6.5	   28.9
    23	      3	   2006	   16.8	   25.2
    24	      3	   2006	    2.1	   45.6
    25	      3	   2006	    3.2	   21.5
    26	      3	   2006	    2.9	   39.0
    27	      3	   2006	    7.2	   18.2
    28	      3	   2006	   -0.7	  347.5
    29	      3	   2006	    4.8	    7.8
    30	      3	   2006	   17.5	   28.9
    31	      3	   2006	    6.5	    6.1
     1	      4	   2006	   -0.8	   14.4
     2	      4	   2006	    1.2	   17.2
