Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2007	    7.3	   11.9
     2	      1	   2007	    5.0	   13.5
     3	      1	   2007	    6.0	  357.0
     4	      1	   2007	    3.5	   12.6
     5	      1	   2007	   13.2	  355.7
     6	      1	   2007	   14.4	    3.4
     7	      1	   2007	    7.4	   13.2
     8	      1	   2007	    4.6	   19.4
     9	      1	   2007	    8.9	    1.1
    10	      1	   2007	    7.7	  350.3
    11	      1	   2007	    5.9	   10.8
    12	      1	   2007	    5.0	   10.3
    13	      1	   2007	    9.9	   14.1
    14	      1	   2007	   11.0	  351.4
    15	      1	   2007	    1.9	    6.0
    16	      1	   2007	    5.8	    5.3
    17	      1	   2007	    9.0	   13.8
    18	      1	   2007	    9.6	    2.8
    19	      1	   2007	   13.8	   17.6
    20	      1	   2007	    5.6	    2.1
    21	      1	   2007	   10.1	    6.8
    22	      1	   2007	    9.1	   11.7
    23	      1	   2007	   19.9	  345.2
    24	      1	   2007	    4.9	    2.3
    25	      1	   2007	   13.7	    2.0
    26	      1	   2007	   -1.0	  358.7
    27	      1	   2007	   11.5	   13.6
    28	      1	   2007	    3.5	   10.1
    29	      1	   2007	    3.3	  340.5
    30	      1	   2007	    2.4	   11.6
    31	      1	   2007	    8.8	   14.4
     1	      2	   2007	   16.5	   11.3
     2	      2	   2007	   11.0	   12.7
     3	      2	   2007	   12.1	   28.3
     4	      2	   2007	    8.5	  356.4
     5	      2	   2007	    4.9	    0.9
     6	      2	   2007	   10.9	    5.3
     7	      2	   2007	    3.4	    4.5
     8	      2	   2007	   24.4	    1.9
     9	      2	   2007	   15.7	    4.5
    10	      2	   2007	   11.4	    9.5
    11	      2	   2007	   16.1	    7.2
    12	      2	   2007	    9.7	   18.9
    13	      2	   2007	   10.6	   29.9
    14	      2	   2007	   -0.8	  359.8
    15	      2	   2007	    9.6	  352.4
    16	      2	   2007	    6.2	    4.9
    17	      2	   2007	    6.7	    9.5
    18	      2	   2007	   11.8	   24.1
    19	      2	   2007	   14.1	   18.1
    20	      2	   2007	    7.0	    5.2
    21	      2	   2007	    8.3	  353.8
    22	      2	   2007	    6.0	   10.5
    23	      2	   2007	   13.8	    2.1
    24	      2	   2007	    9.4	    9.6
    25	      2	   2007	   10.2	    2.4
    26	      2	   2007	    2.2	   13.7
    27	      2	   2007	    6.2	   21.6
    28	      2	   2007	   11.0	   17.3
     1	      3	   2007	   19.3	    0.6
     2	      3	   2007	    7.5	   10.2
     3	      3	   2007	    6.7	  347.0
