Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2013	    5.2	  358.5
     2	      1	   2013	   15.6	   13.0
     3	      1	   2013	    5.2	   13.4
     4	      1	   2013	    1.6	    0.0
     5	      1	   2013	    6.9	   16.9
     6	      1	   2013	   13.2	   13.9
     7	      1	   2013	   12.9	    9.7
     8	      1	   2013	    6.1	    4.9
     9	      1	   2013	   12.0	   31.0
    10	      1	   2013	   14.5	  343.9
    11	      1	   2013	    7.9	    0.0
    12	      1	   2013	    7.5	    6.1
    13	      1	   2013	    7.9	  358.1
    14	      1	   2013	   12.2	   10.5
    15	      1	   2013	    9.9	   16.1
    16	      1	   2013	    3.0	  348.6
    17	      1	   2013	    7.6	   10.9
    18	      1	   2013	    8.8	  355.0
    19	      1	   2013	   11.1	  355.5
    20	      1	   2013	    8.3	   14.2
    21	      1	   2013	   10.2	  355.8
    22	      1	   2013	   -0.9	    2.6
    23	      1	   2013	    6.7	   23.0
    24	      1	   2013	    7.4	    7.5
    25	      1	   2013	   14.3	  353.5
    26	      1	   2013	   10.8	    9.7
    27	      1	   2013	    5.9	   16.1
    28	      1	   2013	   11.0	   14.4
    29	      1	   2013	   10.4	    4.4
    30	      1	   2013	    5.7	    7.4
    31	      1	   2013	   13.8	   17.4
     1	      2	   2013	    9.5	  359.5
     2	      2	   2013	    7.4	  351.8
     3	      2	   2013	   19.3	  359.9
     4	      2	   2013	    7.7	  350.3
     5	      2	   2013	    3.5	   25.5
     6	      2	   2013	   17.5	   15.7
     7	      2	   2013	   18.5	    5.9
     8	      2	   2013	   15.2	   16.4
     9	      2	   2013	    4.5	  355.9
    10	      2	   2013	   12.7	   17.8
    11	      2	   2013	   10.5	    9.8
    12	      2	   2013	   16.2	    7.3
    13	      2	   2013	   16.4	   11.6
    14	      2	   2013	    2.7	    6.6
    15	      2	   2013	    5.9	   13.3
    16	      2	   2013	   10.4	  359.0
    17	      2	   2013	    9.2	    7.7
    18	      2	   2013	    4.8	  351.3
    19	      2	   2013	   -0.5	   29.5
    20	      2	   2013	    6.9	    5.1
    21	      2	   2013	    9.5	   20.5
    22	      2	   2013	    6.2	  354.7
    23	      2	   2013	    3.8	   19.9
    24	      2	   2013	    1.6	   16.1
    25	      2	   2013	    6.5	  346.8
    26	      2	   2013	   15.6	   24.3
    27	      2	   2013	    6.5	    9.5
    28	      2	   2013	    8.1	   10.0
     1	      3	   2013	    3.4	    5.5
     2	      3	   2013	    2.8	   16.6
     3	      3	   2013	   16.0	    4.3
     4	      3	   2013	    4.1	    4.4
     5	      3	   2013	   15.1	   11.4
     6	      3	   2013	   16.3	   14.1
     7	      3	   2013	    8.9	   10.4
     8	      3	   2013	    5.6	  349.3
     9	      3	   2013	    4.3	   12.3
    10	      3	   2013	    8.1	    6.8
    11	      3	   2013	    5.9	  342.7
    12	      3	   2013	    9.0	    1.7
    13	      3	   2013	    4.2	   17.4
    14	      3	   2013	    8.7	    4.1
    15	      3	   2013	    7.8	    3.2
    16	      3	   2013	    2.5	   18.6
    17	      3	   2013	    3.7	   29.9
    18	      3	   2013	    9.0	    7.9
    19	      3	   2013	    8.3	   20.6
    20	      3	   2013	    3.8	    3.1
    21	      3	   2013	    5.8	  357.0
    22	      3	   2013	    1.5	   23.5
    23	      3	   2013	    5.4	    2.7
    24	      3	   2013	    2.6	    2.7
    25	      3	   2013	   11.2	    8.7
    26	      3	   2013	    7.6	    0.8
    27	      3	   2013	   16.1	   16.7
    28	      3	   2013	    7.8	  355.3
    29	      3	   2013	    2.6	    1.4
    30	      3	   2013	   13.6	  355.3
    31	      3	   2013	    1.9	    1.7
