Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2015	   11.6	   25.8
     2	      1	   2015	    4.0	    2.1
     3	      1	   2015	    9.9	   15.4
     4	      1	   2015	    7.5	  359.1
     5	      1	   2015	   10.3	   16.3
     6	      1	   2015	    9.5	    6.2
     7	      1	   2015	   18.1	   15.7
     8	      1	   2015	   10.2	    8.0
     9	      1	   2015	   15.0	    1.7
    10	      1	   2015	   21.3	   24.3
    11	      1	   2015	   21.7	  357.1
    12	      1	   2015	   20.1	    4.4
    13	      1	   2015	   16.9	  352.3
    14	      1	   2015	   11.7	  349.4
    15	      1	   2015	    6.7	  354.9
    16	      1	   2015	    7.5	    7.8
    17	      1	   2015	    8.9	   24.4
    18	      1	   2015	    9.6	   10.6
    19	      1	   2015	   22.7	  353.1
    20	      1	   2015	   19.5	    1.1
    21	      1	   2015	   18.3	    7.0
    22	      1	   2015	    0.5	  354.3
    23	      1	   2015	    9.3	    6.9
    24	      1	   2015	    4.5	   29.5
    25	      1	   2015	   26.0	    7.8
    26	      1	   2015	    8.4	    4.4
    27	      1	   2015	    9.9	  359.5
    28	      1	   2015	   11.1	  359.2
    29	      1	   2015	    6.5	   15.1
    30	      1	   2015	    3.8	  355.7
    31	      1	   2015	   10.1	   10.1
     1	      2	   2015	   17.4	  353.9
     2	      2	   2015	   24.8	   17.3
     3	      2	   2015	   27.5	    0.5
     4	      2	   2015	   17.8	   16.5
     5	      2	   2015	   11.5	   14.5
     6	      2	   2015	   14.4	  359.4
     7	      2	   2015	   27.6	  356.6
     8	      2	   2015	    7.8	   13.4
     9	      2	   2015	   15.0	   19.4
    10	      2	   2015	   16.4	   12.8
    11	      2	   2015	   29.6	   14.0
    12	      2	   2015	   18.0	    8.1
    13	      2	   2015	   16.8	   10.6
    14	      2	   2015	    9.2	    5.1
    15	      2	   2015	    1.1	    5.8
    16	      2	   2015	   13.8	    4.4
    17	      2	   2015	    8.8	   10.6
    18	      2	   2015	   21.1	    3.1
    19	      2	   2015	   21.4	   20.2
    20	      2	   2015	   21.0	   28.5
    21	      2	   2015	   18.2	   14.0
    22	      2	   2015	    4.9	   11.5
    23	      2	   2015	    2.9	  349.5
    24	      2	   2015	   14.5	  357.0
    25	      2	   2015	    2.0	   10.3
    26	      2	   2015	   12.6	  355.5
    27	      2	   2015	   12.0	  359.6
    28	      2	   2015	    5.7	    5.5
     1	      3	   2015	    3.4	   14.9
     2	      3	   2015	    0.6	  351.1
     3	      3	   2015	   11.2	    3.8
     4	      3	   2015	    8.8	   10.5
     5	      3	   2015	   11.7	  357.7
     6	      3	   2015	    9.7	   14.3
     7	      3	   2015	    9.7	    0.0
     8	      3	   2015	    9.6	    9.8
     9	      3	   2015	   23.6	   22.6
    10	      3	   2015	    5.9	   15.5
    11	      3	   2015	    5.1	   12.0
    12	      3	   2015	   23.7	    7.3
    13	      3	   2015	   15.6	   11.8
    14	      3	   2015	   -0.7	    1.3
    15	      3	   2015	    8.1	    3.3
    16	      3	   2015	    9.0	   12.7
    17	      3	   2015	    8.9	    2.3
    18	      3	   2015	   16.9	    5.0
    19	      3	   2015	    1.4	    2.3
    20	      3	   2015	   25.7	   24.9
    21	      3	   2015	    9.6	    0.3
    22	      3	   2015	    5.9	   23.8
    23	      3	   2015	   11.5	  351.9
    24	      3	   2015	   18.0	  359.4
    25	      3	   2015	    5.6	    4.1
    26	      3	   2015	   12.7	    5.3
    27	      3	   2015	   18.4	  356.0
    28	      3	   2015	   22.9	  358.4
    29	      3	   2015	    6.8	   24.1
    30	      3	   2015	    3.8	   23.0
    31	      3	   2015	    8.2	    3.5
     1	      4	   2015	    7.5	   29.3
     2	      4	   2015	   19.4	   13.0
     3	      4	   2015	    7.8	  348.1
     4	      4	   2015	   17.3	    4.5
     5	      4	   2015	   12.7	  354.6
     6	      4	   2015	   22.5	    8.9
     7	      4	   2015	    2.1	  355.4
     8	      4	   2015	   10.7	    4.8
     9	      4	   2015	   12.2	    3.7
    10	      4	   2015	   13.7	    2.0
    11	      4	   2015	    9.5	    7.9
    12	      4	   2015	    8.5	  348.5
    13	      4	   2015	    8.3	   28.7
    14	      4	   2015	    7.4	   14.2
    15	      4	   2015	    7.0	  352.9
    16	      4	   2015	   19.8	   19.5
    17	      4	   2015	    1.8	    7.3
    18	      4	   2015	    2.9	    6.5
    19	      4	   2015	    7.4	    8.6
    20	      4	   2015	   15.9	   13.5
    21	      4	   2015	   15.1	   30.0
    22	      4	   2015	   18.8	    9.5
    23	      4	   2015	    7.2	    2.7
    24	      4	   2015	   17.5	   10.7
    25	      4	   2015	   12.7	  357.9
    26	      4	   2015	    6.9	   14.5
    27	      4	   2015	    8.9	    5.0
    28	      4	   2015	    3.5	   17.4
    29	      4	   2015	   17.9	   13.4
    30	      4	   2015	   15.7	   22.9
     1	      5	   2015	   20.6	    8.2
     2	      5	   2015	    9.1	   18.2
     3	      5	   2015	   21.7	    2.4
     4	      5	   2015	   19.7	    6.0
     5	      5	   2015	   17.4	  359.7
     6	      5	   2015	   14.7	  344.6
     7	      5	   2015	   13.0	  358.4
     8	      5	   2015	    4.5	   43.9
     9	      5	   2015	    3.6	    1.0
    10	      5	   2015	   14.0	   14.5
    11	      5	   2015	    6.3	   17.5
    12	      5	   2015	   10.3	    4.1
    13	      5	   2015	   11.8	    2.8
    14	      5	   2015	    7.1	   12.0
    15	      5	   2015	    5.7	    6.9
    16	      5	   2015	   23.8	    6.4
    17	      5	   2015	   10.5	   12.0
    18	      5	   2015	    5.0	  357.9
    19	      5	   2015	    7.1	  352.5
    20	      5	   2015	   12.5	  353.7
    21	      5	   2015	   17.2	    9.2
    22	      5	   2015	    4.2	  355.1
    23	      5	   2015	   20.6	    2.8
    24	      5	   2015	   18.5	   10.0
    25	      5	   2015	   20.2	    7.9
    26	      5	   2015	   19.2	  359.3
    27	      5	   2015	   25.3	   15.6
    28	      5	   2015	   15.4	   10.5
    29	      5	   2015	   13.5	  356.5
    30	      5	   2015	    6.2	   13.5
    31	      5	   2015	   10.8	   12.2
     1	      6	   2015	   13.9	  355.5
     2	      6	   2015	   11.2	   25.6
     3	      6	   2015	   23.1	   16.5
     4	      6	   2015	   16.2	    1.3
     5	      6	   2015	    7.1	  359.2
     6	      6	   2015	    1.8	   24.3
     7	      6	   2015	    5.2	   11.0
     8	      6	   2015	    6.0	    6.6
     9	      6	   2015	   11.2	  355.6
    10	      6	   2015	   19.5	  352.1
    11	      6	   2015	   16.6	    6.9
    12	      6	   2015	    6.1	   39.6
    13	      6	   2015	   16.1	  353.6
    14	      6	   2015	    7.7	  357.8
    15	      6	   2015	   14.4	  347.0
    16	      6	   2015	   15.6	   22.4
    17	      6	   2015	   21.4	  359.0
    18	      6	   2015	   14.4	  345.5
    19	      6	   2015	   13.5	   29.7
    20	      6	   2015	    8.2	   14.5
    21	      6	   2015	   12.1	   20.8
    22	      6	   2015	    8.5	    9.9
    23	      6	   2015	   15.5	    4.5
    24	      6	   2015	    8.2	  357.5
    25	      6	   2015	   13.9	    8.1
    26	      6	   2015	    6.9	   29.7
    27	      6	   2015	   17.1	  349.6
    28	      6	   2015	    0.6	  354.5
    29	      6	   2015	   20.2	  359.9
    30	      6	   2015	   15.2	    6.3
     1	      7	   2015	   13.1	   10.3
     2	      7	   2015	   10.0	  356.8
     3	      7	   2015	    9.2	   19.0
     4	      7	   2015	   16.0	  351.4
     5	      7	   2015	    8.0	    5.5
     6	      7	   2015	    9.2	  356.2
     7	      7	   2015	   15.2	  359.1
     8	      7	   2015	   19.0	  341.0
     9	      7	   2015	    2.9	    3.6
    10	      7	   2015	    8.1	  354.8
    11	      7	   2015	    5.8	   11.0
    12	      7	   2015	   19.4	   19.0
    13	      7	   2015	    4.2	    6.2
    14	      7	   2015	    8.8	    4.6
    15	      7	   2015	   11.1	    7.0
    16	      7	   2015	   13.4	  352.3
    17	      7	   2015	   15.2	    4.8
    18	      7	   2015	   15.3	    1.1
    19	      7	   2015	   12.5	   20.5
    20	      7	   2015	    8.0	  344.7
    21	      7	   2015	   10.7	   25.2
    22	      7	   2015	   16.4	    1.3
    23	      7	   2015	    9.5	   18.7
    24	      7	   2015	    4.3	  349.2
    25	      7	   2015	   23.1	    0.4
