Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2015	   10.5	   19.9
     2	      1	   2015	    7.8	   13.4
     3	      1	   2015	   16.4	  345.2
     4	      1	   2015	    9.7	   12.6
     5	      1	   2015	    2.0	  343.9
     6	      1	   2015	   10.1	    7.1
     7	      1	   2015	   10.7	   24.0
     8	      1	   2015	    5.2	  351.4
     9	      1	   2015	   17.5	  357.8
    10	      1	   2015	   15.4	   18.6
    11	      1	   2015	   16.4	    9.0
    12	      1	   2015	   -0.5	    5.7
    13	      1	   2015	   16.2	    8.5
    14	      1	   2015	   11.3	  353.9
    15	      1	   2015	   18.4	  350.9
    16	      1	   2015	   16.1	  358.9
    17	      1	   2015	    1.4	   13.3
    18	      1	   2015	   11.3	  352.9
    19	      1	   2015	   12.8	  342.3
    20	      1	   2015	   21.6	    2.1
    21	      1	   2015	   14.3	    7.2
    22	      1	   2015	   19.7	  352.8
    23	      1	   2015	   22.6	   10.6
    24	      1	   2015	    6.4	    2.7
    25	      1	   2015	   12.3	    7.0
    26	      1	   2015	   12.8	  354.9
    27	      1	   2015	    6.2	   12.6
    28	      1	   2015	   12.3	   15.9
    29	      1	   2015	    8.5	    1.9
    30	      1	   2015	    7.7	    6.1
    31	      1	   2015	   17.9	    3.7
     1	      2	   2015	   12.3	   12.1
     2	      2	   2015	    3.5	    4.7
     3	      2	   2015	   14.4	  348.8
     4	      2	   2015	   11.2	  343.8
     5	      2	   2015	   18.9	    5.5
     6	      2	   2015	    8.7	    4.2
     7	      2	   2015	   21.8	   13.1
     8	      2	   2015	   21.4	  344.0
     9	      2	   2015	   17.2	   10.2
    10	      2	   2015	   19.4	    2.2
    11	      2	   2015	    8.4	    6.1
    12	      2	   2015	   15.3	  351.9
    13	      2	   2015	   25.6	    6.4
    14	      2	   2015	   10.1	  356.2
    15	      2	   2015	   11.3	  355.1
    16	      2	   2015	    6.3	  341.7
    17	      2	   2015	    3.1	  354.3
    18	      2	   2015	    0.8	    6.9
    19	      2	   2015	   13.0	    0.4
    20	      2	   2015	    8.0	    5.9
    21	      2	   2015	   18.3	  348.9
    22	      2	   2015	    8.8	  341.7
    23	      2	   2015	    9.9	   17.0
    24	      2	   2015	   18.5	  356.8
    25	      2	   2015	   13.2	  349.3
    26	      2	   2015	   11.9	  344.4
    27	      2	   2015	    7.8	    8.7
    28	      2	   2015	   11.1	  339.7
     1	      3	   2015	    6.9	  355.6
     2	      3	   2015	   11.7	    0.3
     3	      3	   2015	   10.6	    3.8
     4	      3	   2015	   10.3	  356.5
     5	      3	   2015	   14.7	    8.8
     6	      3	   2015	    6.4	   15.5
     7	      3	   2015	   -0.4	  354.8
     8	      3	   2015	   13.2	    9.5
     9	      3	   2015	    7.6	  349.1
    10	      3	   2015	   12.1	  351.0
    11	      3	   2015	    9.3	    2.4
    12	      3	   2015	    3.9	    3.0
    13	      3	   2015	   18.2	   11.6
    14	      3	   2015	    3.0	   13.1
    15	      3	   2015	    2.6	  346.9
    16	      3	   2015	   26.0	   10.4
    17	      3	   2015	   14.7	    2.1
    18	      3	   2015	   14.3	   21.0
    19	      3	   2015	    6.5	   12.3
    20	      3	   2015	    5.1	  350.7
    21	      3	   2015	   11.6	  342.9
    22	      3	   2015	    9.8	  359.5
    23	      3	   2015	   11.2	  356.5
    24	      3	   2015	   13.3	  355.0
    25	      3	   2015	    3.0	    5.5
    26	      3	   2015	   22.1	    3.2
    27	      3	   2015	    6.3	    4.0
    28	      3	   2015	   19.4	  350.5
    29	      3	   2015	   23.8	  355.1
    30	      3	   2015	   15.6	  343.4
    31	      3	   2015	    8.4	   26.1
     1	      4	   2015	   20.5	   11.2
     2	      4	   2015	    7.7	  354.3
     3	      4	   2015	   16.3	    0.1
     4	      4	   2015	    4.1	    1.5
     5	      4	   2015	    4.4	   10.9
     6	      4	   2015	   23.0	  354.3
     7	      4	   2015	    9.8	    5.7
     8	      4	   2015	   13.8	  336.5
     9	      4	   2015	   13.2	  353.7
    10	      4	   2015	   23.5	   20.1
    11	      4	   2015	   15.8	  354.8
    12	      4	   2015	   10.9	   13.9
