Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2018	    6.7	    7.4
     2	      1	   2018	   21.9	    6.8
     3	      1	   2018	   12.5	   25.2
     4	      1	   2018	    8.2	    2.8
     5	      1	   2018	   14.6	   19.6
     6	      1	   2018	   10.4	   20.7
     7	      1	   2018	    8.5	  343.8
     8	      1	   2018	   15.5	  354.1
     9	      1	   2018	   14.1	  346.0
    10	      1	   2018	    3.3	    7.3
    11	      1	   2018	   20.3	    1.2
    12	      1	   2018	   17.3	    1.5
    13	      1	   2018	    3.1	   14.0
    14	      1	   2018	   17.6	    5.1
    15	      1	   2018	   13.8	    7.7
    16	      1	   2018	   11.6	  341.6
    17	      1	   2018	    9.3	   29.1
    18	      1	   2018	    5.8	   12.1
    19	      1	   2018	    7.3	    5.9
    20	      1	   2018	   10.7	   11.9
    21	      1	   2018	    8.7	   28.5
    22	      1	   2018	    4.9	    6.6
    23	      1	   2018	    8.3	  354.8
    24	      1	   2018	    9.5	  357.5
    25	      1	   2018	    7.9	    7.9
    26	      1	   2018	    5.9	    3.8
    27	      1	   2018	   15.3	  359.2
    28	      1	   2018	   13.0	   16.1
    29	      1	   2018	   13.6	   34.6
    30	      1	   2018	   14.5	  357.4
    31	      1	   2018	   11.2	    0.5
     1	      2	   2018	    5.6	   20.4
     2	      2	   2018	    3.5	    0.8
     3	      2	   2018	    7.6	    8.4
     4	      2	   2018	   12.6	   19.9
     5	      2	   2018	    0.2	  356.7
     6	      2	   2018	    5.0	  353.7
     7	      2	   2018	    8.3	    4.3
     8	      2	   2018	   11.0	    7.0
     9	      2	   2018	   17.3	  356.3
    10	      2	   2018	   23.4	    5.2
    11	      2	   2018	    7.7	   31.1
    12	      2	   2018	   20.0	    6.2
    13	      2	   2018	    5.6	  345.1
    14	      2	   2018	   19.6	    6.0
    15	      2	   2018	    8.6	  346.4
    16	      2	   2018	    4.2	    1.6
    17	      2	   2018	    9.8	   18.2
    18	      2	   2018	    9.8	   14.9
    19	      2	   2018	    5.3	   22.9
    20	      2	   2018	    8.6	    2.9
    21	      2	   2018	   15.1	  347.3
    22	      2	   2018	    4.3	  338.9
    23	      2	   2018	   22.8	  343.5
    24	      2	   2018	   14.0	   15.4
    25	      2	   2018	   24.4	  346.6
    26	      2	   2018	   16.0	   24.6
    27	      2	   2018	    6.6	    0.7
    28	      2	   2018	   16.4	  348.0
     1	      3	   2018	   14.0	   12.5
     2	      3	   2018	    0.2	   11.7
     3	      3	   2018	    6.3	    4.5
     4	      3	   2018	    9.9	  355.7
     5	      3	   2018	    6.0	  351.3
     6	      3	   2018	   12.7	  347.7
     7	      3	   2018	   14.0	  347.6
     8	      3	   2018	    5.1	  348.5
     9	      3	   2018	   14.5	   17.9
    10	      3	   2018	    3.2	   18.2
    11	      3	   2018	    9.4	    5.7
    12	      3	   2018	   10.1	    8.5
    13	      3	   2018	    9.9	   17.7
    14	      3	   2018	    9.0	    2.1
    15	      3	   2018	   13.6	  359.8
    16	      3	   2018	    0.2	   12.8
    17	      3	   2018	   12.6	   21.0
    18	      3	   2018	   14.9	    9.8
    19	      3	   2018	   17.6	  356.9
    20	      3	   2018	   15.9	   17.3
    21	      3	   2018	    5.5	   16.6
    22	      3	   2018	    2.9	  348.8
    23	      3	   2018	    8.2	  347.6
    24	      3	   2018	   16.5	    5.3
    25	      3	   2018	   11.0	  357.0
    26	      3	   2018	   13.9	   14.1
    27	      3	   2018	    0.1	    0.6
    28	      3	   2018	    3.6	  346.0
    29	      3	   2018	    4.7	  350.0
    30	      3	   2018	    3.3	   16.0
    31	      3	   2018	   22.8	   23.2
     1	      4	   2018	    0.1	    1.4
     2	      4	   2018	   13.3	   11.5
     3	      4	   2018	   20.0	   16.5
     4	      4	   2018	    2.5	    9.8
     5	      4	   2018	    2.9	   32.6
     6	      4	   2018	    0.1	   13.3
     7	      4	   2018	    6.3	  358.3
     8	      4	   2018	    7.2	  356.6
     9	      4	   2018	   11.7	    8.6
    10	      4	   2018	    4.0	    8.9
    11	      4	   2018	    4.9	    7.5
    12	      4	   2018	    9.5	   31.2
    13	      4	   2018	    5.0	   37.6
    14	      4	   2018	   21.8	   11.8
    15	      4	   2018	   12.5	   12.5
    16	      4	   2018	   11.7	   19.3
    17	      4	   2018	    5.1	  356.0
    18	      4	   2018	    6.3	    5.4
    19	      4	   2018	   12.9	   10.8
    20	      4	   2018	    8.8	  359.6
    21	      4	   2018	   10.2	    2.8
    22	      4	   2018	    6.6	  340.0
    23	      4	   2018	   18.0	   10.6
    24	      4	   2018	    3.5	  356.2
    25	      4	   2018	    4.0	    5.6
    26	      4	   2018	    7.2	    5.5
    27	      4	   2018	   11.0	    6.8
    28	      4	   2018	    7.2	  358.8
    29	      4	   2018	   13.7	  348.3
    30	      4	   2018	   11.2	    2.1
     1	      5	   2018	    8.3	   18.0
     2	      5	   2018	   10.3	   12.5
     3	      5	   2018	   15.3	   17.3
     4	      5	   2018	    8.6	   20.0
     5	      5	   2018	    6.5	    8.4
     6	      5	   2018	    5.0	  350.6
     7	      5	   2018	   14.0	    0.2
     8	      5	   2018	    6.4	   22.7
     9	      5	   2018	   11.4	  357.8
    10	      5	   2018	    9.0	    7.3
    11	      5	   2018	   16.7	    6.3
    12	      5	   2018	   11.5	    8.5
    13	      5	   2018	    9.8	  357.4
    14	      5	   2018	    4.7	    5.4
    15	      5	   2018	    7.0	    8.5
    16	      5	   2018	   11.4	  331.9
    17	      5	   2018	    4.5	    5.3
    18	      5	   2018	   16.5	   10.8
    19	      5	   2018	    8.9	   14.9
    20	      5	   2018	   18.3	  359.6
    21	      5	   2018	    6.2	   11.3
    22	      5	   2018	    9.3	    7.3
    23	      5	   2018	    9.1	    2.1
    24	      5	   2018	   18.2	   16.1
    25	      5	   2018	   12.2	   32.7
