Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2005	    5.6	  353.4
     2	      1	   2005	    7.6	  359.9
     3	      1	   2005	    9.3	   22.9
     4	      1	   2005	    7.2	  345.1
     5	      1	   2005	    5.6	  359.1
     6	      1	   2005	   13.8	  355.1
     7	      1	   2005	    6.6	  344.1
     8	      1	   2005	    7.6	  349.3
     9	      1	   2005	   11.0	    0.4
    10	      1	   2005	   19.2	    9.7
    11	      1	   2005	    8.3	  356.2
    12	      1	   2005	   11.7	  345.6
    13	      1	   2005	   10.8	  358.8
    14	      1	   2005	   14.6	   12.0
    15	      1	   2005	   -1.2	    2.7
    16	      1	   2005	    4.9	  343.4
    17	      1	   2005	    4.2	    6.8
    18	      1	   2005	   13.1	  343.6
    19	      1	   2005	   12.1	  356.5
    20	      1	   2005	   12.2	   10.1
    21	      1	   2005	    8.1	  356.2
    22	      1	   2005	    8.3	  348.4
    23	      1	   2005	    7.0	  353.2
    24	      1	   2005	    3.7	  348.2
    25	      1	   2005	   13.7	  358.2
    26	      1	   2005	   14.1	  351.8
    27	      1	   2005	    4.6	    3.7
    28	      1	   2005	    3.6	  343.6
    29	      1	   2005	    8.7	  344.2
    30	      1	   2005	   12.3	  347.9
    31	      1	   2005	    1.6	    5.9
     1	      2	   2005	    2.1	  351.3
     2	      2	   2005	   23.0	  348.8
     3	      2	   2005	    6.5	   14.7
     4	      2	   2005	    0.0	  358.5
     5	      2	   2005	    4.0	    0.1
     6	      2	   2005	   11.0	  351.4
     7	      2	   2005	    3.2	   13.8
     8	      2	   2005	   -1.0	  347.7
     9	      2	   2005	    9.9	  355.5
    10	      2	   2005	   14.2	  355.1
    11	      2	   2005	   13.2	  359.3
    12	      2	   2005	   16.5	  355.0
    13	      2	   2005	    6.3	  357.8
    14	      2	   2005	    6.0	    1.6
    15	      2	   2005	    2.1	  346.9
    16	      2	   2005	   -1.6	    2.9
    17	      2	   2005	    4.6	  354.9
    18	      2	   2005	   13.8	   15.4
    19	      2	   2005	    5.4	  350.3
    20	      2	   2005	    8.4	  358.9
    21	      2	   2005	    6.4	    0.6
    22	      2	   2005	    4.9	  345.8
    23	      2	   2005	   15.6	    8.2
    24	      2	   2005	    4.1	    4.0
    25	      2	   2005	    6.2	    5.7
    26	      2	   2005	    9.5	    7.6
    27	      2	   2005	    9.8	    3.9
    28	      2	   2005	    8.5	  352.0
     1	      3	   2005	   15.7	    4.9
     2	      3	   2005	   12.4	    4.4
     3	      3	   2005	    8.9	    1.3
     4	      3	   2005	    4.2	   10.8
     5	      3	   2005	   10.2	  358.4
     6	      3	   2005	    4.1	  354.8
     7	      3	   2005	   16.2	  352.4
     8	      3	   2005	   18.8	  333.9
     9	      3	   2005	    8.4	   11.6
    10	      3	   2005	   13.2	  353.9
    11	      3	   2005	   12.1	  354.9
    12	      3	   2005	   -0.8	    5.2
    13	      3	   2005	   19.9	  335.4
    14	      3	   2005	   13.3	  352.1
    15	      3	   2005	    9.7	   20.8
    16	      3	   2005	    8.6	  350.6
    17	      3	   2005	    9.9	  356.1
    18	      3	   2005	    8.7	    9.2
    19	      3	   2005	    6.8	  344.4
    20	      3	   2005	   13.0	  349.0
    21	      3	   2005	   20.7	    7.9
    22	      3	   2005	    8.2	    1.5
    23	      3	   2005	   11.2	  353.3
    24	      3	   2005	    1.4	  330.6
    25	      3	   2005	    2.7	    6.1
    26	      3	   2005	   11.9	    6.0
    27	      3	   2005	    4.8	  355.1
    28	      3	   2005	    2.6	    0.3
    29	      3	   2005	    9.4	  345.1
    30	      3	   2005	   12.8	  354.9
    31	      3	   2005	   -0.6	  345.3
     1	      4	   2005	    5.8	    0.5
     2	      4	   2005	    9.4	  347.1
     3	      4	   2005	   14.9	  353.3
     4	      4	   2005	    5.4	  356.0
     5	      4	   2005	    8.9	  347.3
     6	      4	   2005	   12.1	    7.5
     7	      4	   2005	   13.7	  347.4
