Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2005	    9.0	   12.3
     2	      1	   2005	   12.7	   23.2
     3	      1	   2005	   15.8	   22.8
     4	      1	   2005	    1.7	    9.4
     5	      1	   2005	    6.1	   18.9
     6	      1	   2005	    5.8	   11.5
     7	      1	   2005	    2.5	   17.3
     8	      1	   2005	   23.7	    7.5
     9	      1	   2005	   15.6	   17.9
    10	      1	   2005	    6.5	   33.5
    11	      1	   2005	    5.4	    6.9
    12	      1	   2005	    7.8	   20.7
    13	      1	   2005	   12.4	   13.0
    14	      1	   2005	    1.3	   26.6
    15	      1	   2005	   13.1	   29.0
    16	      1	   2005	    2.3	   17.5
    17	      1	   2005	   10.2	   29.9
    18	      1	   2005	   18.5	   23.1
    19	      1	   2005	    3.7	   26.0
    20	      1	   2005	   16.4	   28.6
    21	      1	   2005	    9.0	    0.7
    22	      1	   2005	    5.5	   11.8
    23	      1	   2005	   10.6	    6.5
    24	      1	   2005	    8.8	   28.5
    25	      1	   2005	   15.6	    6.5
    26	      1	   2005	    6.7	   17.1
    27	      1	   2005	    8.8	   36.6
    28	      1	   2005	   20.6	   16.4
    29	      1	   2005	    4.6	   21.3
    30	      1	   2005	   12.5	   11.7
    31	      1	   2005	    2.3	   19.9
     1	      2	   2005	    5.5	  357.8
     2	      2	   2005	   15.7	   15.0
     3	      2	   2005	    4.2	   13.6
     4	      2	   2005	    2.4	  354.9
     5	      2	   2005	    4.4	   17.9
     6	      2	   2005	   13.1	  353.6
     7	      2	   2005	    4.1	   11.8
     8	      2	   2005	   13.0	   15.7
     9	      2	   2005	    5.3	    6.5
    10	      2	   2005	    4.8	   10.3
    11	      2	   2005	   20.1	   17.1
    12	      2	   2005	   23.2	   14.4
    13	      2	   2005	   13.8	   12.2
    14	      2	   2005	    6.7	    2.4
    15	      2	   2005	    3.4	   16.2
    16	      2	   2005	   -1.9	   11.9
    17	      2	   2005	   12.1	   28.1
    18	      2	   2005	    8.2	   15.4
    19	      2	   2005	    3.7	    6.9
    20	      2	   2005	   13.7	    8.0
    21	      2	   2005	    9.1	  353.1
    22	      2	   2005	    4.0	   18.9
    23	      2	   2005	    7.9	   29.1
    24	      2	   2005	    8.2	    8.4
    25	      2	   2005	    7.8	    7.8
    26	      2	   2005	    4.3	   20.8
    27	      2	   2005	   14.9	   11.5
    28	      2	   2005	    6.5	    6.0
     1	      3	   2005	    8.1	  358.9
     2	      3	   2005	    3.0	    2.7
     3	      3	   2005	    7.6	    7.8
     4	      3	   2005	    6.3	   10.8
     5	      3	   2005	    6.4	  359.7
     6	      3	   2005	    1.3	  354.4
     7	      3	   2005	   18.6	   15.9
     8	      3	   2005	    1.9	   10.6
     9	      3	   2005	    1.6	   11.5
    10	      3	   2005	    7.2	   17.3
    11	      3	   2005	   14.0	   13.4
    12	      3	   2005	   11.5	   23.7
    13	      3	   2005	    3.2	   11.5
    14	      3	   2005	    2.7	   14.4
    15	      3	   2005	    9.2	    0.1
    16	      3	   2005	   10.1	   13.6
    17	      3	   2005	   -0.2	   13.8
    18	      3	   2005	   18.1	   10.9
    19	      3	   2005	    4.1	   31.7
    20	      3	   2005	    8.1	   16.7
    21	      3	   2005	   12.3	   14.5
    22	      3	   2005	    7.2	  356.2
    23	      3	   2005	    4.8	    2.8
    24	      3	   2005	    8.1	  357.3
    25	      3	   2005	   15.6	   27.6
    26	      3	   2005	    1.2	   13.8
    27	      3	   2005	   18.4	    4.1
    28	      3	   2005	   13.9	   29.1
    29	      3	   2005	    7.7	   14.0
    30	      3	   2005	    5.1	   22.5
    31	      3	   2005	    9.2	  353.1
     1	      4	   2005	    7.4	   19.6
     2	      4	   2005	    7.1	   22.5
     3	      4	   2005	    5.1	   18.3
     4	      4	   2005	    6.5	    1.2
     5	      4	   2005	    6.0	   13.4
     6	      4	   2005	   14.1	    4.6
     7	      4	   2005	   15.5	    7.4
     8	      4	   2005	    6.9	    9.8
     9	      4	   2005	   16.8	   10.5
    10	      4	   2005	    4.1	   22.3
    11	      4	   2005	   10.1	   10.2
    12	      4	   2005	   14.2	    6.1
    13	      4	   2005	    6.3	   13.8
