Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2007	    9.7	  344.0
     2	      1	   2007	   11.0	  358.1
     3	      1	   2007	   11.3	  348.3
     4	      1	   2007	    7.0	  359.3
     5	      1	   2007	    4.6	  345.1
     6	      1	   2007	   17.3	  346.0
     7	      1	   2007	    9.9	    1.0
     8	      1	   2007	   14.5	  343.4
     9	      1	   2007	    5.2	  343.1
    10	      1	   2007	   14.6	  347.2
    11	      1	   2007	   14.2	  350.4
    12	      1	   2007	   11.4	  351.0
    13	      1	   2007	   15.9	  359.2
    14	      1	   2007	    8.2	   10.6
    15	      1	   2007	   18.5	  359.8
    16	      1	   2007	    9.7	    3.5
    17	      1	   2007	    5.9	  353.6
    18	      1	   2007	   11.5	  347.7
    19	      1	   2007	   16.3	  357.0
    20	      1	   2007	   15.1	  354.5
    21	      1	   2007	    8.5	  345.8
    22	      1	   2007	   15.7	  354.8
    23	      1	   2007	   11.4	  356.1
    24	      1	   2007	   13.5	  346.1
    25	      1	   2007	   11.5	  356.6
    26	      1	   2007	   11.1	  354.0
    27	      1	   2007	    6.1	  347.4
    28	      1	   2007	   15.4	  353.6
    29	      1	   2007	    9.0	  344.7
    30	      1	   2007	   20.2	  357.8
    31	      1	   2007	   10.8	  356.2
     1	      2	   2007	   17.7	    2.2
     2	      2	   2007	   18.9	  352.6
     3	      2	   2007	   12.3	  359.0
     4	      2	   2007	    6.9	    2.9
     5	      2	   2007	   14.5	    0.8
     6	      2	   2007	    9.2	  351.6
     7	      2	   2007	   15.5	  353.4
     8	      2	   2007	    4.5	  341.8
     9	      2	   2007	   18.6	  351.9
    10	      2	   2007	   10.6	  359.3
    11	      2	   2007	   14.0	    3.1
    12	      2	   2007	   21.1	    4.8
    13	      2	   2007	   17.9	  346.7
    14	      2	   2007	    8.0	  353.2
    15	      2	   2007	    9.7	  355.2
    16	      2	   2007	    9.2	  347.4
    17	      2	   2007	    7.7	  353.6
    18	      2	   2007	    7.8	  346.0
    19	      2	   2007	   11.7	  354.9
    20	      2	   2007	   20.2	  343.0
    21	      2	   2007	    8.9	    4.3
    22	      2	   2007	   11.6	  357.7
    23	      2	   2007	    9.3	  359.7
    24	      2	   2007	   18.0	  354.2
    25	      2	   2007	   13.5	  354.9
    26	      2	   2007	   15.0	  358.7
    27	      2	   2007	   10.8	    5.4
    28	      2	   2007	   15.3	  335.4
     1	      3	   2007	    4.7	  345.6
     2	      3	   2007	   10.0	  346.8
     3	      3	   2007	    5.2	  352.1
     4	      3	   2007	    7.5	  351.7
     5	      3	   2007	   12.8	  353.2
     6	      3	   2007	    9.3	  351.7
     7	      3	   2007	    9.0	  360.0
     8	      3	   2007	   15.6	  351.9
     9	      3	   2007	    5.5	  355.7
    10	      3	   2007	   12.7	  359.1
    11	      3	   2007	   12.2	  346.7
    12	      3	   2007	    7.4	    5.5
    13	      3	   2007	   12.5	  344.0
    14	      3	   2007	   14.9	    8.9
    15	      3	   2007	   17.0	  354.9
    16	      3	   2007	    7.3	  357.7
    17	      3	   2007	   18.7	  355.4
    18	      3	   2007	   11.2	  355.7
    19	      3	   2007	   19.9	  350.1
    20	      3	   2007	   -0.8	  355.1
    21	      3	   2007	    5.8	    7.3
    22	      3	   2007	   12.6	  358.8
    23	      3	   2007	   10.1	  359.7
    24	      3	   2007	   18.9	  351.6
    25	      3	   2007	   14.0	  359.9
    26	      3	   2007	   15.7	  345.9
    27	      3	   2007	   10.5	  346.4
    28	      3	   2007	   10.2	  355.6
    29	      3	   2007	   12.0	  358.4
    30	      3	   2007	    4.8	   12.3
    31	      3	   2007	    9.5	    1.3
     1	      4	   2007	   11.2	    0.7
     2	      4	   2007	    9.4	   12.4
     3	      4	   2007	   11.3	  353.3
     4	      4	   2007	   14.4	  354.8
     5	      4	   2007	    6.2	    8.1
     6	      4	   2007	   10.0	  347.6
     7	      4	   2007	   12.0	  357.8
     8	      4	   2007	   14.0	    2.9
     9	      4	   2007	   11.5	  353.1
    10	      4	   2007	    4.2	  356.3
    11	      4	   2007	   10.0	  354.3
    12	      4	   2007	   12.9	    5.6
    13	      4	   2007	    5.9	  340.1
    14	      4	   2007	    3.8	  354.7
    15	      4	   2007	   17.2	    2.5
    16	      4	   2007	   16.2	  356.6
    17	      4	   2007	   10.6	    5.2
    18	      4	   2007	   17.3	  358.0
    19	      4	   2007	   11.3	    1.1
    20	      4	   2007	    8.1	  342.7
    21	      4	   2007	   11.7	  342.0
    22	      4	   2007	    9.4	  352.2
    23	      4	   2007	    4.2	  350.9
    24	      4	   2007	    8.6	  355.2
    25	      4	   2007	   10.4	    5.8
    26	      4	   2007	   17.5	    2.1
    27	      4	   2007	   17.2	  359.0
    28	      4	   2007	    6.2	    6.2
    29	      4	   2007	   15.8	  352.8
    30	      4	   2007	   20.9	   12.3
     1	      5	   2007	    8.0	  355.1
     2	      5	   2007	   12.7	  352.2
     3	      5	   2007	    8.1	   15.5
     4	      5	   2007	    8.5	  351.6
     5	      5	   2007	   15.0	  355.1
     6	      5	   2007	    4.2	  355.7
     7	      5	   2007	    9.5	  341.5
     8	      5	   2007	    8.9	  351.1
     9	      5	   2007	    9.1	    2.9
    10	      5	   2007	   11.2	  357.5
    11	      5	   2007	   11.8	  352.2
    12	      5	   2007	   13.1	  349.3
    13	      5	   2007	   10.6	  355.9
    14	      5	   2007	    5.5	  359.5
    15	      5	   2007	   13.0	  358.7
    16	      5	   2007	   11.1	  354.8
    17	      5	   2007	   12.2	  353.8
    18	      5	   2007	   13.6	  355.4
    19	      5	   2007	    7.1	    8.3
    20	      5	   2007	   17.9	  347.7
    21	      5	   2007	   14.3	  358.4
    22	      5	   2007	   13.8	  353.1
    23	      5	   2007	   12.4	    1.9
    24	      5	   2007	    3.4	    5.3
    25	      5	   2007	    7.7	  359.6
    26	      5	   2007	   18.3	   10.2
    27	      5	   2007	   15.2	    1.5
    28	      5	   2007	   15.0	    0.1
    29	      5	   2007	   -1.3	  356.9
    30	      5	   2007	    6.3	  351.8
    31	      5	   2007	   10.7	    3.3
     1	      6	   2007	   12.6	    0.0
     2	      6	   2007	   18.0	  349.2
     3	      6	   2007	   -0.9	  351.3
     4	      6	   2007	   10.0	  346.3
     5	      6	   2007	   22.0	  354.1
     6	      6	   2007	    8.4	  359.0
     7	      6	   2007	    7.5	  352.6
     8	      6	   2007	   11.3	    0.4
     9	      6	   2007	   17.1	    2.6
    10	      6	   2007	   16.3	    6.6
    11	      6	   2007	    7.5	  348.6
    12	      6	   2007	   17.6	  347.6
    13	      6	   2007	   13.7	  349.6
    14	      6	   2007	    6.9	    5.3
    15	      6	   2007	   13.5	  353.0
    16	      6	   2007	    8.3	    3.2
    17	      6	   2007	    9.9	  348.6
    18	      6	   2007	   15.9	    2.9
    19	      6	   2007	   20.5	  358.8
    20	      6	   2007	   23.1	  353.4
    21	      6	   2007	   18.4	  358.8
    22	      6	   2007	    9.6	  356.7
    23	      6	   2007	    8.3	  351.0
    24	      6	   2007	   14.2	  357.5
    25	      6	   2007	    4.0	  356.4
    26	      6	   2007	   13.7	    1.6
    27	      6	   2007	    9.9	  358.6
    28	      6	   2007	    7.6	  356.5
    29	      6	   2007	   11.3	    0.3
    30	      6	   2007	   13.3	  352.9
     1	      7	   2007	   16.9	    3.8
     2	      7	   2007	   17.8	  344.2
     3	      7	   2007	    7.2	    4.6
     4	      7	   2007	   -0.7	  357.5
     5	      7	   2007	   15.5	  357.0
     6	      7	   2007	    9.4	  353.2
     7	      7	   2007	   13.9	  356.3
     8	      7	   2007	    5.4	  358.9
     9	      7	   2007	    8.0	    3.8
    10	      7	   2007	    5.1	  349.2
    11	      7	   2007	   14.3	  359.9
    12	      7	   2007	   17.2	  343.6
    13	      7	   2007	   13.4	  356.7
    14	      7	   2007	   17.2	   11.9
    15	      7	   2007	    5.1	    0.2
    16	      7	   2007	   -0.6	    4.2
    17	      7	   2007	   10.9	  353.6
    18	      7	   2007	   19.3	    2.8
    19	      7	   2007	   10.6	  345.3
    20	      7	   2007	    7.3	  344.3
    21	      7	   2007	   12.0	    0.5
    22	      7	   2007	    9.7	  343.8
    23	      7	   2007	   10.9	    5.9
    24	      7	   2007	   18.4	    3.4
    25	      7	   2007	   12.1	    3.0
    26	      7	   2007	   13.6	  338.9
    27	      7	   2007	    8.4	  356.9
    28	      7	   2007	    6.0	  348.4
    29	      7	   2007	    4.8	  355.0
    30	      7	   2007	   11.3	    1.0
    31	      7	   2007	   13.4	  352.6
     1	      8	   2007	    7.6	    1.0
     2	      8	   2007	   12.2	  356.3
     3	      8	   2007	    7.8	  357.7
     4	      8	   2007	    5.9	  344.0
     5	      8	   2007	   13.6	    2.4
     6	      8	   2007	   15.1	    1.0
     7	      8	   2007	   16.5	  357.3
     8	      8	   2007	    4.1	    0.3
     9	      8	   2007	   12.7	  336.0
    10	      8	   2007	    9.8	    0.2
    11	      8	   2007	    7.7	  358.9
    12	      8	   2007	    6.1	  351.3
    13	      8	   2007	   12.7	  353.7
    14	      8	   2007	   13.3	  352.8
    15	      8	   2007	   11.2	  355.0
    16	      8	   2007	    8.1	  354.8
    17	      8	   2007	   13.1	  355.3
    18	      8	   2007	    4.3	  351.0
    19	      8	   2007	   11.6	  350.3
    20	      8	   2007	   23.0	  351.0
    21	      8	   2007	    6.3	  351.0
    22	      8	   2007	   11.6	    2.2
    23	      8	   2007	   13.9	    6.7
    24	      8	   2007	   12.6	  352.1
    25	      8	   2007	    8.5	    0.9
    26	      8	   2007	    4.6	    6.7
    27	      8	   2007	    9.5	  349.8
    28	      8	   2007	   14.8	    5.1
    29	      8	   2007	   -0.7	  354.8
    30	      8	   2007	   13.8	  354.0
    31	      8	   2007	   17.9	  357.8
     1	      9	   2007	    6.1	    8.2
     2	      9	   2007	   14.4	    9.1
     3	      9	   2007	   16.9	    0.6
     4	      9	   2007	   12.8	  346.8
     5	      9	   2007	   10.1	  355.0
     6	      9	   2007	   13.6	  358.5
     7	      9	   2007	   11.5	    3.0
     8	      9	   2007	   14.9	  356.1
     9	      9	   2007	   10.4	  354.5
    10	      9	   2007	   13.0	    4.3
    11	      9	   2007	   14.2	  353.1
    12	      9	   2007	    7.7	  358.3
    13	      9	   2007	   12.4	  352.1
    14	      9	   2007	    5.7	  349.6
    15	      9	   2007	   11.2	  345.8
    16	      9	   2007	    7.5	  342.8
    17	      9	   2007	    8.9	  356.6
    18	      9	   2007	   14.5	  356.2
    19	      9	   2007	   20.5	  359.6
    20	      9	   2007	    8.6	  357.7
    21	      9	   2007	    6.1	  356.4
    22	      9	   2007	   16.7	    0.9
    23	      9	   2007	   14.6	    5.8
    24	      9	   2007	    9.3	    5.5
    25	      9	   2007	   11.1	  355.7
    26	      9	   2007	    7.6	  349.8
    27	      9	   2007	   12.4	    3.2
    28	      9	   2007	   -1.2	  350.0
    29	      9	   2007	   11.8	    7.8
    30	      9	   2007	   12.5	  348.6
     1	     10	   2007	   13.8	  351.6
     2	     10	   2007	    9.1	  350.0
     3	     10	   2007	    8.4	  351.8
     4	     10	   2007	   10.3	  356.0
     5	     10	   2007	    8.4	  359.0
     6	     10	   2007	   11.8	  355.3
     7	     10	   2007	    8.8	  359.9
     8	     10	   2007	   16.2	  350.3
     9	     10	   2007	   14.8	    3.8
    10	     10	   2007	   15.4	  351.1
    11	     10	   2007	   -0.6	  349.3
    12	     10	   2007	   12.2	  345.2
    13	     10	   2007	    8.8	    0.3
    14	     10	   2007	   17.2	  358.4
    15	     10	   2007	    6.3	  356.1
    16	     10	   2007	   14.6	  348.1
    17	     10	   2007	   15.5	    3.1
    18	     10	   2007	   19.4	    1.5
    19	     10	   2007	   13.0	  356.0
    20	     10	   2007	   15.5	  356.0
    21	     10	   2007	   16.5	  358.4
    22	     10	   2007	    6.7	    0.4
    23	     10	   2007	   -1.1	    2.8
    24	     10	   2007	   11.7	  354.2
    25	     10	   2007	    6.2	    0.5
    26	     10	   2007	   10.3	  353.2
    27	     10	   2007	   12.2	    9.3
    28	     10	   2007	   10.5	  348.0
    29	     10	   2007	   16.8	    8.6
    30	     10	   2007	    8.0	  357.1
    31	     10	   2007	   22.9	  353.5
     1	     11	   2007	    9.2	    0.5
     2	     11	   2007	    5.1	  356.9
     3	     11	   2007	   12.4	    1.4
     4	     11	   2007	    7.0	  351.3
     5	     11	   2007	    8.9	  354.2
     6	     11	   2007	   14.6	    2.5
     7	     11	   2007	   11.3	  354.6
     8	     11	   2007	   15.4	  349.5
     9	     11	   2007	   -0.8	  348.4
    10	     11	   2007	    6.2	  349.8
    11	     11	   2007	   15.1	  357.1
    12	     11	   2007	    7.8	  354.9
    13	     11	   2007	   14.2	  359.8
    14	     11	   2007	    7.1	  356.7
    15	     11	   2007	    9.9	  357.4
    16	     11	   2007	   12.3	  354.3
    17	     11	   2007	   16.7	  348.3
    18	     11	   2007	   16.7	    3.2
    19	     11	   2007	   14.1	    2.6
    20	     11	   2007	   14.1	  347.3
    21	     11	   2007	   20.2	  355.3
    22	     11	   2007	   -1.1	  352.7
    23	     11	   2007	    8.2	  347.8
    24	     11	   2007	   13.9	  350.9
    25	     11	   2007	   21.6	    8.1
    26	     11	   2007	   -0.4	  351.6
    27	     11	   2007	   13.1	  340.6
    28	     11	   2007	    8.6	  344.8
    29	     11	   2007	   15.7	  346.4
    30	     11	   2007	   15.0	  351.1
     1	     12	   2007	   12.1	   12.6
     2	     12	   2007	    6.9	    0.1
     3	     12	   2007	   11.8	    2.8
     4	     12	   2007	    5.1	  358.2
     5	     12	   2007	   18.2	  355.9
     6	     12	   2007	   15.7	  345.1
     7	     12	   2007	    4.7	  353.9
     8	     12	   2007	   10.6	  349.4
     9	     12	   2007	   16.6	  353.4
    10	     12	   2007	    6.2	  355.2
    11	     12	   2007	   -0.5	  346.2
    12	     12	   2007	   10.1	  355.9
    13	     12	   2007	   13.6	    7.0
    14	     12	   2007	   16.2	    5.3
    15	     12	   2007	   14.5	   10.9
    16	     12	   2007	   12.7	  342.9
    17	     12	   2007	   10.7	  351.9
    18	     12	   2007	   18.6	    4.3
    19	     12	   2007	    9.3	    4.5
    20	     12	   2007	   10.7	    6.3
    21	     12	   2007	    9.3	    1.9
    22	     12	   2007	   19.7	  356.6
    23	     12	   2007	   10.9	  348.5
    24	     12	   2007	   14.7	  354.5
    25	     12	   2007	    7.2	  351.1
    26	     12	   2007	   -1.1	    9.7
    27	     12	   2007	   12.1	  352.0
    28	     12	   2007	    9.5	  349.8
    29	     12	   2007	    9.7	    2.1
    30	     12	   2007	   16.6	  351.7
    31	     12	   2007	    6.7	  355.0
