Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2008	   16.6	   17.7
     2	      1	   2008	   11.0	    3.8
     3	      1	   2008	    6.8	   10.5
     4	      1	   2008	    9.4	   18.0
     5	      1	   2008	   24.4	   21.3
     6	      1	   2008	    5.8	   15.6
     7	      1	   2008	    6.1	   16.2
     8	      1	   2008	    7.9	   19.7
     9	      1	   2008	   10.0	   20.2
    10	      1	   2008	   15.4	   27.1
    11	      1	   2008	    6.0	    0.6
    12	      1	   2008	    7.6	   21.5
    13	      1	   2008	   11.2	  359.9
    14	      1	   2008	    9.2	   10.4
    15	      1	   2008	   13.8	   21.9
    16	      1	   2008	   16.7	    8.9
    17	      1	   2008	    5.2	   17.9
    18	      1	   2008	   21.5	  355.4
    19	      1	   2008	    3.5	   18.4
    20	      1	   2008	    3.7	  355.8
    21	      1	   2008	   11.8	   49.3
    22	      1	   2008	   12.7	    3.2
    23	      1	   2008	   10.5	   20.2
    24	      1	   2008	    7.4	   22.5
    25	      1	   2008	   19.1	  348.5
    26	      1	   2008	   18.3	    7.2
    27	      1	   2008	    6.3	   11.0
    28	      1	   2008	   21.9	    4.4
    29	      1	   2008	   10.8	   11.8
    30	      1	   2008	    7.1	    5.6
    31	      1	   2008	   12.3	   20.7
     1	      2	   2008	    8.1	   12.5
     2	      2	   2008	   11.6	  357.2
     3	      2	   2008	    1.0	   10.4
     4	      2	   2008	    4.3	   26.6
     5	      2	   2008	    6.3	   21.3
     6	      2	   2008	   10.9	   21.9
     7	      2	   2008	    6.5	    8.1
     8	      2	   2008	    9.8	   21.1
     9	      2	   2008	    9.2	  354.7
    10	      2	   2008	    6.0	   20.3
    11	      2	   2008	    4.6	    5.7
    12	      2	   2008	    6.0	  357.3
    13	      2	   2008	    0.6	  359.5
    14	      2	   2008	    6.7	    7.5
    15	      2	   2008	   16.4	   15.2
    16	      2	   2008	    8.9	    5.2
    17	      2	   2008	    1.7	    8.7
