Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2010	   10.7	   22.8
     2	      1	   2010	   10.1	   29.4
     3	      1	   2010	   12.5	   21.5
     4	      1	   2010	    8.7	   16.1
     5	      1	   2010	    6.9	    8.5
     6	      1	   2010	    2.8	   10.3
     7	      1	   2010	   19.6	   21.1
     8	      1	   2010	    5.6	   19.7
     9	      1	   2010	   10.1	  349.1
    10	      1	   2010	    9.1	    7.8
    11	      1	   2010	    6.4	  353.5
    12	      1	   2010	    7.1	   16.1
    13	      1	   2010	    1.6	    2.1
    14	      1	   2010	    9.6	  358.6
    15	      1	   2010	    5.2	   10.4
    16	      1	   2010	    2.5	  354.1
    17	      1	   2010	   18.4	   16.9
    18	      1	   2010	    8.0	  358.5
    19	      1	   2010	    3.6	   12.7
    20	      1	   2010	    2.5	    6.9
    21	      1	   2010	   14.1	    7.4
    22	      1	   2010	   11.7	   15.4
    23	      1	   2010	   22.2	  356.2
    24	      1	   2010	   13.5	   33.4
    25	      1	   2010	    2.1	   21.6
    26	      1	   2010	   15.5	   14.6
    27	      1	   2010	    4.3	   22.3
    28	      1	   2010	    7.5	    2.2
    29	      1	   2010	   11.6	   20.3
    30	      1	   2010	   12.5	  356.1
    31	      1	   2010	   10.7	   25.7
     1	      2	   2010	   17.9	   12.8
     2	      2	   2010	   10.7	    5.5
     3	      2	   2010	    7.4	   29.9
     4	      2	   2010	    5.6	  359.9
     5	      2	   2010	   11.0	   24.8
     6	      2	   2010	    9.1	    3.5
     7	      2	   2010	    7.6	    6.2
     8	      2	   2010	    6.4	    6.5
     9	      2	   2010	    3.5	    2.8
    10	      2	   2010	   21.0	   19.3
    11	      2	   2010	    3.4	    4.9
    12	      2	   2010	    4.9	  357.8
    13	      2	   2010	    7.2	    4.8
    14	      2	   2010	    4.0	    5.5
    15	      2	   2010	   10.9	   17.3
    16	      2	   2010	    7.2	   18.4
    17	      2	   2010	    4.9	   10.3
    18	      2	   2010	    5.5	    6.5
    19	      2	   2010	   17.8	    6.2
    20	      2	   2010	    6.8	   24.5
