Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2015	    8.4	   37.7
     2	      1	   2015	   15.7	    2.4
     3	      1	   2015	    7.8	   51.3
     4	      1	   2015	    4.1	   53.3
     5	      1	   2015	    6.5	   36.9
     6	      1	   2015	    2.1	   26.9
     7	      1	   2015	    4.5	  351.9
     8	      1	   2015	   22.4	  339.5
     9	      1	   2015	    0.1	   33.6
    10	      1	   2015	    2.0	   35.7
    11	      1	   2015	    2.1	   34.0
    12	      1	   2015	    1.1	   57.1
    13	      1	   2015	    1.9	   42.1
    14	      1	   2015	    1.6	   12.6
    15	      1	   2015	    4.1	   40.3
    16	      1	   2015	    3.5	   24.6
    17	      1	   2015	   30.2	   34.5
    18	      1	   2015	   30.9	  355.0
    19	      1	   2015	   10.1	   27.7
    20	      1	   2015	    3.0	    3.8
    21	      1	   2015	   13.1	   40.2
    22	      1	   2015	    2.3	   28.9
    23	      1	   2015	    6.2	   22.7
    24	      1	   2015	   -0.1	   38.0
    25	      1	   2015	    3.5	    3.4
    26	      1	   2015	    1.5	   26.3
    27	      1	   2015	    1.4	   34.9
    28	      1	   2015	    1.3	   51.5
    29	      1	   2015	   12.6	   53.5
    30	      1	   2015	    7.1	   66.7
    31	      1	   2015	    3.0	   42.4
     1	      2	   2015	   17.1	  343.7
     2	      2	   2015	    1.9	   35.1
     3	      2	   2015	    1.0	   65.7
     4	      2	   2015	   19.3	   12.4
     5	      2	   2015	   12.3	   37.1
     6	      2	   2015	    0.8	   34.6
     7	      2	   2015	    7.2	   68.3
     8	      2	   2015	    3.3	   22.5
     9	      2	   2015	   14.6	    3.2
    10	      2	   2015	    6.4	   56.1
    11	      2	   2015	    8.6	  353.8
    12	      2	   2015	    8.8	   15.2
    13	      2	   2015	    4.4	  337.7
    14	      2	   2015	    2.7	   11.9
    15	      2	   2015	    5.0	   38.3
    16	      2	   2015	   17.9	   15.9
    17	      2	   2015	    3.5	   35.0
    18	      2	   2015	    3.4	   30.2
    19	      2	   2015	    5.0	    6.6
    20	      2	   2015	    0.5	   40.0
    21	      2	   2015	    3.0	   14.2
    22	      2	   2015	    2.9	   40.5
    23	      2	   2015	    5.3	   25.6
    24	      2	   2015	    3.0	  356.7
    25	      2	   2015	   29.0	   49.0
    26	      2	   2015	    6.6	   25.8
    27	      2	   2015	   27.4	   28.5
    28	      2	   2015	    0.2	   41.3
     1	      3	   2015	    4.9	  343.7
     2	      3	   2015	    2.6	   31.1
     3	      3	   2015	   10.2	   57.1
     4	      3	   2015	   12.0	   47.2
     5	      3	   2015	   12.1	    8.7
     6	      3	   2015	    2.1	   18.8
     7	      3	   2015	    4.5	    9.5
     8	      3	   2015	    2.3	   27.4
     9	      3	   2015	   12.7	   18.3
    10	      3	   2015	    2.4	    5.7
    11	      3	   2015	    8.1	   42.1
    12	      3	   2015	    2.5	   64.0
    13	      3	   2015	    4.0	   51.1
    14	      3	   2015	    0.5	   19.8
    15	      3	   2015	   21.8	   34.0
    16	      3	   2015	   20.9	   53.0
    17	      3	   2015	   26.1	    6.9
    18	      3	   2015	    1.2	  344.1
    19	      3	   2015	   22.9	   18.3
    20	      3	   2015	   14.4	    9.0
    21	      3	   2015	    0.8	   17.5
    22	      3	   2015	   14.6	   19.7
    23	      3	   2015	    2.2	   10.8
    24	      3	   2015	    1.7	    4.4
    25	      3	   2015	    3.1	   15.3
    26	      3	   2015	    5.9	   14.5
    27	      3	   2015	    1.6	   33.1
    28	      3	   2015	    0.3	   64.1
    29	      3	   2015	    2.7	   22.8
    30	      3	   2015	    6.9	   47.1
    31	      3	   2015	    4.5	   25.2
     1	      4	   2015	   -0.9	   41.3
     2	      4	   2015	    3.6	   56.0
     3	      4	   2015	    3.6	   39.6
     4	      4	   2015	   18.3	   21.6
     5	      4	   2015	    8.5	   21.4
     6	      4	   2015	    2.3	    4.1
     7	      4	   2015	    2.6	    3.8
     8	      4	   2015	    8.5	   38.0
     9	      4	   2015	   13.0	   38.8
    10	      4	   2015	    0.8	    9.3
    11	      4	   2015	    2.5	   28.7
    12	      4	   2015	    2.9	   35.9
    13	      4	   2015	    0.3	   17.7
    14	      4	   2015	    0.7	   45.6
    15	      4	   2015	    4.4	   11.8
    16	      4	   2015	    4.1	   23.5
    17	      4	   2015	    4.4	   30.1
    18	      4	   2015	   18.2	   41.2
    19	      4	   2015	    7.6	   19.6
    20	      4	   2015	   11.4	   21.6
    21	      4	   2015	   30.0	   20.2
    22	      4	   2015	    2.9	   25.4
    23	      4	   2015	   11.2	   23.3
