Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2016	   24.1	  359.1
     2	      1	   2016	   14.2	    5.1
     3	      1	   2016	   11.3	   16.1
     4	      1	   2016	   10.9	   12.4
     5	      1	   2016	   20.8	   24.8
     6	      1	   2016	   15.1	   22.3
     7	      1	   2016	   20.5	   18.4
     8	      1	   2016	   19.1	    2.0
     9	      1	   2016	   29.0	    2.6
    10	      1	   2016	   25.4	   21.2
    11	      1	   2016	   10.5	  354.6
    12	      1	   2016	   22.0	   14.8
    13	      1	   2016	   25.0	    2.9
    14	      1	   2016	    9.2	   12.9
    15	      1	   2016	   28.3	   24.7
    16	      1	   2016	    8.1	   14.1
    17	      1	   2016	   13.0	   23.5
    18	      1	   2016	   16.8	   11.7
    19	      1	   2016	   14.3	   13.8
    20	      1	   2016	   13.9	   11.3
    21	      1	   2016	   18.2	   11.9
    22	      1	   2016	    6.4	    7.4
    23	      1	   2016	   13.1	   17.2
    24	      1	   2016	   12.6	    4.3
    25	      1	   2016	   12.6	    9.1
    26	      1	   2016	    8.0	    9.2
    27	      1	   2016	   12.8	   11.4
    28	      1	   2016	   11.0	   10.9
    29	      1	   2016	   20.9	  351.0
    30	      1	   2016	   16.5	  355.2
    31	      1	   2016	    9.3	   28.5
     1	      2	   2016	   21.3	    5.2
     2	      2	   2016	   -0.1	   32.3
     3	      2	   2016	   13.8	   24.5
     4	      2	   2016	    9.3	   12.7
     5	      2	   2016	    7.7	   18.0
     6	      2	   2016	   10.7	    9.0
     7	      2	   2016	    1.7	    6.3
     8	      2	   2016	   26.7	   29.3
     9	      2	   2016	   12.0	   25.2
    10	      2	   2016	   24.5	    5.1
    11	      2	   2016	   10.5	   11.3
    12	      2	   2016	    4.0	   22.6
    13	      2	   2016	   12.3	   19.5
    14	      2	   2016	   14.6	   15.7
    15	      2	   2016	    6.9	  353.1
    16	      2	   2016	   15.0	    1.4
    17	      2	   2016	   25.6	   21.3
    18	      2	   2016	   26.3	   25.8
    19	      2	   2016	    8.5	   14.2
    20	      2	   2016	    7.3	   35.4
    21	      2	   2016	    8.1	   15.3
    22	      2	   2016	    4.7	   10.5
    23	      2	   2016	   15.8	  359.2
    24	      2	   2016	   -0.1	   24.6
    25	      2	   2016	    9.5	   21.7
    26	      2	   2016	   17.5	   28.9
    27	      2	   2016	   10.0	  358.3
    28	      2	   2016	   12.6	    4.3
    29	      2	   2016	   15.8	    8.1
     1	      3	   2016	   11.8	   12.9
     2	      3	   2016	   17.2	   21.7
     3	      3	   2016	   23.6	   10.8
     4	      3	   2016	    8.7	  354.5
     5	      3	   2016	   12.7	   22.8
     6	      3	   2016	   22.1	   18.6
     7	      3	   2016	    8.0	   35.4
     8	      3	   2016	   11.8	  356.2
     9	      3	   2016	    9.5	  358.2
    10	      3	   2016	   15.7	   19.4
    11	      3	   2016	   10.3	    8.1
    12	      3	   2016	    1.4	   26.2
    13	      3	   2016	   15.2	   11.5
    14	      3	   2016	   20.9	  354.7
    15	      3	   2016	   13.2	   10.2
    16	      3	   2016	    9.5	   28.0
    17	      3	   2016	   10.7	  358.6
    18	      3	   2016	   11.5	   23.5
    19	      3	   2016	   13.2	  357.1
    20	      3	   2016	    0.9	   25.8
    21	      3	   2016	    9.8	   21.0
    22	      3	   2016	   16.7	   21.6
    23	      3	   2016	   13.8	   15.1
    24	      3	   2016	   14.1	    9.1
    25	      3	   2016	   -0.1	   27.0
    26	      3	   2016	    3.3	   12.7
    27	      3	   2016	   27.3	    5.2
    28	      3	   2016	   21.3	   11.8
    29	      3	   2016	    7.0	   23.0
    30	      3	   2016	   11.6	   13.6
    31	      3	   2016	    3.4	   29.1
     1	      4	   2016	   13.7	   14.9
     2	      4	   2016	   26.0	    6.1
     3	      4	   2016	    5.2	  354.9
     4	      4	   2016	   11.0	  358.6
     5	      4	   2016	    3.3	   17.2
     6	      4	   2016	   15.3	    5.0
     7	      4	   2016	   17.2	  355.0
     8	      4	   2016	   14.2	    6.1
     9	      4	   2016	   21.1	  359.5
    10	      4	   2016	    8.8	   15.6
    11	      4	   2016	   11.1	   14.3
    12	      4	   2016	   31.4	   16.0
    13	      4	   2016	    6.3	   18.3
    14	      4	   2016	   10.2	   17.4
    15	      4	   2016	   21.7	   27.2
    16	      4	   2016	   10.6	    5.1
    17	      4	   2016	   14.9	   10.2
    18	      4	   2016	    8.1	    6.0
    19	      4	   2016	   15.8	   21.3
    20	      4	   2016	   17.7	   12.5
    21	      4	   2016	   19.0	  357.4
    22	      4	   2016	    7.3	   20.2
    23	      4	   2016	   18.5	  347.5
    24	      4	   2016	   10.6	    3.3
    25	      4	   2016	    5.4	   18.0
    26	      4	   2016	   15.0	    8.7
    27	      4	   2016	   11.0	   22.3
    28	      4	   2016	   -0.1	    0.1
    29	      4	   2016	    6.7	   35.8
    30	      4	   2016	    4.5	   18.9
     1	      5	   2016	   24.4	   13.5
     2	      5	   2016	    5.3	  353.0
     3	      5	   2016	    8.0	    0.2
     4	      5	   2016	   13.4	    7.7
     5	      5	   2016	   12.8	   19.7
     6	      5	   2016	   10.8	    8.8
     7	      5	   2016	    7.5	    8.4
     8	      5	   2016	    8.6	  359.8
     9	      5	   2016	   17.7	    5.8
    10	      5	   2016	    8.3	   10.7
    11	      5	   2016	   14.8	   26.7
    12	      5	   2016	   20.1	    8.3
    13	      5	   2016	   19.9	   12.7
    14	      5	   2016	   15.2	   21.1
    15	      5	   2016	   11.4	  358.1
    16	      5	   2016	   18.3	    7.1
    17	      5	   2016	   18.8	    5.2
    18	      5	   2016	   20.0	   20.3
    19	      5	   2016	    3.8	   18.0
    20	      5	   2016	    8.3	   15.5
    21	      5	   2016	   20.1	    1.6
    22	      5	   2016	   24.2	   43.4
    23	      5	   2016	   17.6	   16.4
    24	      5	   2016	   22.1	  355.6
    25	      5	   2016	   18.3	    5.3
    26	      5	   2016	    8.3	   29.3
    27	      5	   2016	    8.1	  355.8
    28	      5	   2016	   21.3	   12.6
    29	      5	   2016	   16.4	    4.1
    30	      5	   2016	    7.1	   22.6
    31	      5	   2016	   18.1	   16.6
     1	      6	   2016	    5.8	  357.2
     2	      6	   2016	   21.6	    7.4
     3	      6	   2016	    7.6	  348.4
     4	      6	   2016	    5.7	    4.9
     5	      6	   2016	   25.6	   32.7
     6	      6	   2016	   22.6	    7.4
     7	      6	   2016	   16.2	   16.7
     8	      6	   2016	   -0.1	   22.7
     9	      6	   2016	    2.9	   11.2
    10	      6	   2016	   11.3	  359.8
    11	      6	   2016	   26.9	   17.4
    12	      6	   2016	   13.1	    7.5
    13	      6	   2016	    6.0	   12.4
    14	      6	   2016	   12.1	   15.6
    15	      6	   2016	    4.2	  355.5
    16	      6	   2016	   19.9	  358.6
    17	      6	   2016	   24.2	   20.1
    18	      6	   2016	   13.5	   24.1
    19	      6	   2016	   10.8	    3.1
    20	      6	   2016	    9.0	   31.0
    21	      6	   2016	   13.5	   23.0
    22	      6	   2016	   28.0	    7.8
    23	      6	   2016	   16.3	   12.7
    24	      6	   2016	   14.0	    8.1
    25	      6	   2016	   27.1	    1.3
    26	      6	   2016	    5.0	   13.8
    27	      6	   2016	   18.5	   27.7
    28	      6	   2016	    8.2	    5.6
