Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   1997	    5.0	    1.4
     2	      1	   1997	    5.0	   16.5
     3	      1	   1997	   11.3	    7.8
     4	      1	   1997	    5.0	   50.6
     5	      1	   1997	    9.8	   12.2
     6	      1	   1997	   13.5	   16.6
     7	      1	   1997	   13.3	   20.7
     8	      1	   1997	   10.9	   25.3
     9	      1	   1997	   10.4	   30.7
    10	      1	   1997	   12.6	   30.4
    11	      1	   1997	   12.9	   22.2
    12	      1	   1997	    6.1	   16.9
    13	      1	   1997	    4.7	   22.9
    14	      1	   1997	   17.4	    9.8
    15	      1	   1997	   19.7	   18.1
    16	      1	   1997	   15.8	   10.0
    17	      1	   1997	   12.2	   32.9
    18	      1	   1997	    6.7	   13.7
    19	      1	   1997	   10.9	    7.7
    20	      1	   1997	   18.5	   13.0
    21	      1	   1997	   17.3	    4.6
    22	      1	   1997	    6.6	   20.0
    23	      1	   1997	    6.2	   14.3
    24	      1	   1997	    5.4	    9.3
    25	      1	   1997	   17.5	   24.1
    26	      1	   1997	    8.3	   17.2
    27	      1	   1997	    5.2	   31.6
    28	      1	   1997	    9.0	   17.7
    29	      1	   1997	   10.3	   16.5
    30	      1	   1997	    4.9	   26.4
    31	      1	   1997	   10.4	   26.1
     1	      2	   1997	   10.6	   10.3
     2	      2	   1997	    6.6	   12.0
     3	      2	   1997	   14.5	   29.1
     4	      2	   1997	   22.3	   17.2
     5	      2	   1997	   11.7	   27.3
     6	      2	   1997	    7.0	   32.7
     7	      2	   1997	   10.2	   15.8
     8	      2	   1997	   13.0	   37.4
     9	      2	   1997	    1.6	   26.2
    10	      2	   1997	   10.0	   22.4
    11	      2	   1997	    4.8	   43.8
    12	      2	   1997	    7.8	   11.4
    13	      2	   1997	    9.7	   25.0
    14	      2	   1997	   21.3	    5.5
    15	      2	   1997	    8.5	   12.2
    16	      2	   1997	    7.4	   33.0
    17	      2	   1997	   10.9	   12.9
    18	      2	   1997	    7.2	   17.9
    19	      2	   1997	    4.8	   17.9
    20	      2	   1997	    7.9	   21.5
    21	      2	   1997	    0.9	    7.1
    22	      2	   1997	   13.0	   10.8
    23	      2	   1997	    5.8	    6.4
    24	      2	   1997	    7.8	   15.4
    25	      2	   1997	   26.7	   22.5
    26	      2	   1997	   20.8	   22.6
    27	      2	   1997	   10.9	   13.0
    28	      2	   1997	   13.8	    9.9
     1	      3	   1997	   13.9	   10.4
     2	      3	   1997	   12.1	   26.2
     3	      3	   1997	    8.5	   19.6
     4	      3	   1997	    1.1	   24.6
     5	      3	   1997	    3.1	   17.9
     6	      3	   1997	    8.2	   15.2
     7	      3	   1997	   15.0	   33.4
     8	      3	   1997	   20.4	   28.9
     9	      3	   1997	    3.5	   33.1
