Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   1998	   -0.6	  355.5
     2	      1	   1998	    5.4	   31.5
     3	      1	   1998	    7.4	   17.5
     4	      1	   1998	    8.7	    7.2
     5	      1	   1998	    3.8	    9.5
     6	      1	   1998	    6.9	  351.7
     7	      1	   1998	   19.4	  352.9
     8	      1	   1998	    3.4	  356.6
     9	      1	   1998	   12.1	   20.4
    10	      1	   1998	    0.6	    3.3
    11	      1	   1998	   12.3	    5.3
    12	      1	   1998	   13.6	    9.5
    13	      1	   1998	   16.9	    8.9
    14	      1	   1998	    3.4	    9.7
    15	      1	   1998	    6.3	    4.2
    16	      1	   1998	   15.5	    9.7
    17	      1	   1998	   19.1	   11.5
    18	      1	   1998	    6.7	   10.1
    19	      1	   1998	   11.8	   13.8
    20	      1	   1998	    5.5	    5.7
    21	      1	   1998	    2.7	    2.6
    22	      1	   1998	   10.4	    9.8
    23	      1	   1998	    4.2	    0.7
    24	      1	   1998	    7.6	  345.5
    25	      1	   1998	    6.6	   13.3
    26	      1	   1998	    9.9	  358.9
    27	      1	   1998	    3.9	  353.7
    28	      1	   1998	   11.9	  355.1
    29	      1	   1998	    9.2	   23.1
    30	      1	   1998	    4.6	   18.0
    31	      1	   1998	    6.5	   12.0
     1	      2	   1998	   14.1	   15.0
     2	      2	   1998	   21.0	  355.1
     3	      2	   1998	   -0.6	   11.3
     4	      2	   1998	   11.3	  353.6
     5	      2	   1998	    3.4	  357.8
     6	      2	   1998	    2.6	    3.1
     7	      2	   1998	    0.7	    2.7
     8	      2	   1998	    4.4	   21.1
     9	      2	   1998	    1.0	  353.0
    10	      2	   1998	   17.3	  356.8
    11	      2	   1998	   13.3	   10.8
    12	      2	   1998	    7.6	    3.4
    13	      2	   1998	   10.1	   10.1
    14	      2	   1998	    3.2	  353.7
    15	      2	   1998	    4.9	   16.9
    16	      2	   1998	   -1.6	   10.4
    17	      2	   1998	    6.7	   23.8
    18	      2	   1998	    7.4	  343.4
    19	      2	   1998	    6.0	  357.5
    20	      2	   1998	    5.9	    4.2
    21	      2	   1998	    2.9	  359.7
    22	      2	   1998	    7.6	    5.7
    23	      2	   1998	   10.4	   15.5
    24	      2	   1998	    4.6	    9.0
    25	      2	   1998	    3.7	   22.2
    26	      2	   1998	    2.0	    0.7
    27	      2	   1998	   17.0	   22.4
    28	      2	   1998	    5.8	    4.4
     1	      3	   1998	   19.0	  335.6
     2	      3	   1998	   10.9	  351.5
     3	      3	   1998	   12.6	   36.5
     4	      3	   1998	   12.5	   14.0
     5	      3	   1998	   16.1	    3.7
     6	      3	   1998	    5.0	    7.4
     7	      3	   1998	   11.9	  350.7
     8	      3	   1998	    4.7	  353.3
     9	      3	   1998	    1.3	  353.5
    10	      3	   1998	   10.9	   14.0
    11	      3	   1998	    8.0	  355.5
    12	      3	   1998	   -1.8	    6.3
    13	      3	   1998	    8.1	  344.9
    14	      3	   1998	    7.6	    6.4
    15	      3	   1998	    6.8	    0.6
    16	      3	   1998	    9.9	    4.2
    17	      3	   1998	    3.6	    4.2
    18	      3	   1998	   13.2	    6.2
    19	      3	   1998	    6.4	  358.8
    20	      3	   1998	    7.2	    1.6
    21	      3	   1998	   18.2	    4.0
    22	      3	   1998	    2.4	  352.6
    23	      3	   1998	    5.9	    3.0
    24	      3	   1998	   15.6	  353.1
    25	      3	   1998	    2.1	   18.8
    26	      3	   1998	    6.9	    9.6
    27	      3	   1998	    8.1	   29.6
    28	      3	   1998	   18.6	  348.8
    29	      3	   1998	    9.9	  357.5
    30	      3	   1998	    7.4	  351.6
    31	      3	   1998	   15.6	   18.5
     1	      4	   1998	    2.8	    9.1
     2	      4	   1998	    2.4	   10.1
     3	      4	   1998	    4.1	  325.5
     4	      4	   1998	    7.1	    1.4
     5	      4	   1998	    6.3	   15.9
     6	      4	   1998	    5.0	  351.1
     7	      4	   1998	   10.7	   13.2
     8	      4	   1998	    2.0	    1.5
     9	      4	   1998	   11.3	    8.6
    10	      4	   1998	   12.2	   10.1
    11	      4	   1998	    3.1	  348.4
    12	      4	   1998	    2.8	    8.1
    13	      4	   1998	    9.4	  343.0
    14	      4	   1998	   -0.9	    1.2
    15	      4	   1998	    9.8	  353.5
    16	      4	   1998	    5.1	    3.7
    17	      4	   1998	    6.3	    0.9
    18	      4	   1998	    7.9	  356.4
    19	      4	   1998	    7.1	    7.5
    20	      4	   1998	   10.3	    0.4
    21	      4	   1998	   13.2	  353.4
    22	      4	   1998	    8.4	  348.4
    23	      4	   1998	   19.8	   12.7
    24	      4	   1998	   10.4	   20.0
    25	      4	   1998	    8.4	   13.4
    26	      4	   1998	   13.6	  354.0
    27	      4	   1998	    4.8	  354.9
    28	      4	   1998	    2.5	    4.0
    29	      4	   1998	   19.6	    8.8
    30	      4	   1998	    4.9	  339.1
     1	      5	   1998	   -2.5	  351.3
     2	      5	   1998	   10.8	    4.1
     3	      5	   1998	    5.6	  356.9
     4	      5	   1998	    4.7	   24.1
     5	      5	   1998	    6.4	    1.5
     6	      5	   1998	   14.5	   10.2
     7	      5	   1998	   15.7	   15.3
     8	      5	   1998	   10.2	    3.7
     9	      5	   1998	    9.4	  346.9
    10	      5	   1998	   21.3	   15.9
    11	      5	   1998	    2.4	   14.6
    12	      5	   1998	    5.7	  348.1
    13	      5	   1998	    3.9	    3.2
    14	      5	   1998	    5.5	    5.5
    15	      5	   1998	    1.9	  357.2
    16	      5	   1998	    4.7	   22.6
    17	      5	   1998	   15.0	    7.7
    18	      5	   1998	    9.5	    7.6
    19	      5	   1998	    8.5	   16.7
    20	      5	   1998	    7.0	   10.3
    21	      5	   1998	    7.6	   12.8
    22	      5	   1998	    3.2	  353.0
    23	      5	   1998	   -2.1	  350.0
    24	      5	   1998	   12.6	   17.4
    25	      5	   1998	   13.3	    7.8
    26	      5	   1998	   14.7	  354.8
    27	      5	   1998	    8.4	   16.1
    28	      5	   1998	    6.5	    1.9
    29	      5	   1998	   -0.3	    7.9
    30	      5	   1998	    2.2	   13.8
    31	      5	   1998	    3.6	    0.7
     1	      6	   1998	    3.9	   19.7
     2	      6	   1998	   -1.1	  347.1
     3	      6	   1998	   14.4	  347.3
     4	      6	   1998	    5.7	    8.1
     5	      6	   1998	    8.2	    4.8
     6	      6	   1998	    4.6	    3.3
     7	      6	   1998	    8.6	  354.6
     8	      6	   1998	    2.6	    4.8
     9	      6	   1998	   15.3	   19.9
    10	      6	   1998	   10.7	  354.8
    11	      6	   1998	   18.0	   24.9
    12	      6	   1998	    6.8	   16.1
    13	      6	   1998	   13.3	  352.9
    14	      6	   1998	    5.7	    6.9
    15	      6	   1998	    2.2	    1.2
    16	      6	   1998	   17.4	   14.5
    17	      6	   1998	    4.9	    2.6
    18	      6	   1998	    6.0	   14.8
    19	      6	   1998	    3.3	   10.2
    20	      6	   1998	   16.4	  357.0
    21	      6	   1998	   15.8	  357.1
    22	      6	   1998	    3.5	    8.5
    23	      6	   1998	    7.3	  354.5
    24	      6	   1998	    9.1	  351.6
    25	      6	   1998	   10.2	  350.7
    26	      6	   1998	    3.4	    5.5
    27	      6	   1998	   11.1	    4.2
    28	      6	   1998	    6.8	   25.1
    29	      6	   1998	    8.0	  359.4
    30	      6	   1998	   15.5	  346.0
     1	      7	   1998	   11.5	  353.3
     2	      7	   1998	    9.1	  334.9
     3	      7	   1998	   11.3	   25.4
     4	      7	   1998	   14.9	    6.2
     5	      7	   1998	    9.4	    5.7
     6	      7	   1998	    3.2	    6.7
