Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   1998	    6.9	   30.3
     2	      1	   1998	   12.4	  344.7
     3	      1	   1998	    7.4	   19.8
     4	      1	   1998	   18.7	   15.6
     5	      1	   1998	   12.5	    5.4
     6	      1	   1998	    7.5	   16.5
     7	      1	   1998	    0.5	   14.9
     8	      1	   1998	    5.4	    2.5
     9	      1	   1998	   20.8	  358.3
    10	      1	   1998	    5.5	   17.4
    11	      1	   1998	    7.0	    9.2
    12	      1	   1998	    2.8	    6.6
    13	      1	   1998	    3.4	   24.4
    14	      1	   1998	   12.7	    4.0
    15	      1	   1998	   14.5	   15.8
    16	      1	   1998	    7.9	   12.6
    17	      1	   1998	    7.0	   22.5
    18	      1	   1998	    3.8	   17.7
    19	      1	   1998	    9.7	   15.2
    20	      1	   1998	    7.1	    3.3
    21	      1	   1998	    4.7	  352.2
    22	      1	   1998	    5.7	  358.6
    23	      1	   1998	   12.0	   22.8
    24	      1	   1998	    2.0	    1.6
    25	      1	   1998	    6.9	  359.9
    26	      1	   1998	    7.6	    7.5
    27	      1	   1998	   21.2	   16.7
    28	      1	   1998	    7.8	   13.9
    29	      1	   1998	   10.4	    8.5
    30	      1	   1998	    6.1	  359.1
    31	      1	   1998	    2.9	    9.3
     1	      2	   1998	    9.8	   22.6
     2	      2	   1998	   16.3	   27.9
     3	      2	   1998	   14.0	  358.6
     4	      2	   1998	    8.7	   19.8
     5	      2	   1998	   13.4	  356.3
     6	      2	   1998	    3.9	    4.3
     7	      2	   1998	    3.8	   16.7
     8	      2	   1998	    5.0	   14.3
     9	      2	   1998	   12.1	   22.5
    10	      2	   1998	   14.1	    4.0
    11	      2	   1998	    9.3	  345.3
    12	      2	   1998	    1.4	   10.4
    13	      2	   1998	    6.1	   23.6
    14	      2	   1998	   14.7	    5.0
    15	      2	   1998	   16.8	   15.9
    16	      2	   1998	   17.5	  349.8
    17	      2	   1998	   10.8	   10.8
    18	      2	   1998	    6.3	   13.8
    19	      2	   1998	   20.9	    0.0
    20	      2	   1998	    2.8	   11.3
    21	      2	   1998	    1.3	    8.9
    22	      2	   1998	    5.0	   14.8
    23	      2	   1998	    5.1	    6.3
    24	      2	   1998	    4.0	    1.0
    25	      2	   1998	   16.8	   15.4
    26	      2	   1998	   19.6	  355.2
    27	      2	   1998	   10.2	   11.0
    28	      2	   1998	    2.9	    5.8
     1	      3	   1998	    4.9	  347.9
     2	      3	   1998	   10.2	   20.3
     3	      3	   1998	   -0.4	    7.2
     4	      3	   1998	   11.7	   16.5
     5	      3	   1998	    2.6	    4.0
     6	      3	   1998	    5.1	    1.7
     7	      3	   1998	    6.3	   33.2
     8	      3	   1998	    6.1	   22.5
     9	      3	   1998	    9.7	  355.8
    10	      3	   1998	    8.9	  357.7
    11	      3	   1998	   13.2	   16.1
    12	      3	   1998	    9.6	   13.0
    13	      3	   1998	    8.9	    7.6
    14	      3	   1998	    4.4	    6.5
    15	      3	   1998	    6.5	  350.1
    16	      3	   1998	    2.9	  358.4
    17	      3	   1998	   15.7	    6.3
    18	      3	   1998	   12.5	   12.5
    19	      3	   1998	    8.4	   10.4
    20	      3	   1998	    2.2	   45.3
    21	      3	   1998	    7.6	   14.1
    22	      3	   1998	   11.8	  355.0
    23	      3	   1998	   14.5	  342.0
    24	      3	   1998	    6.9	    4.7
    25	      3	   1998	    9.9	   17.4
    26	      3	   1998	    5.8	    3.6
    27	      3	   1998	    8.8	    8.3
    28	      3	   1998	    1.4	   10.7
    29	      3	   1998	   19.5	   13.7
    30	      3	   1998	   12.3	   21.1
    31	      3	   1998	    7.0	   18.4
     1	      4	   1998	    3.2	   12.4
     2	      4	   1998	   12.7	   20.1
     3	      4	   1998	   20.4	    5.6
     4	      4	   1998	   19.6	   11.1
     5	      4	   1998	    6.0	   21.3
     6	      4	   1998	   14.4	   13.5
     7	      4	   1998	    3.5	    9.8
     8	      4	   1998	    9.5	   20.9
     9	      4	   1998	    7.3	    4.2
    10	      4	   1998	    4.2	   13.5
    11	      4	   1998	    4.2	   13.7
    12	      4	   1998	    9.4	   19.4
    13	      4	   1998	    3.4	   38.2
    14	      4	   1998	    7.8	    8.9
    15	      4	   1998	    0.8	  349.0
    16	      4	   1998	    4.6	   22.5
    17	      4	   1998	    8.2	    6.2
    18	      4	   1998	    3.7	   28.1
    19	      4	   1998	    3.7	  359.0
    20	      4	   1998	    4.0	    3.7
    21	      4	   1998	    8.9	  347.1
    22	      4	   1998	    5.6	    9.7
    23	      4	   1998	    7.7	    1.6
    24	      4	   1998	    7.4	   13.8
    25	      4	   1998	   15.1	   15.8
    26	      4	   1998	    7.9	    0.7
    27	      4	   1998	   14.1	    3.1
    28	      4	   1998	    8.5	  358.7
    29	      4	   1998	    1.4	   16.6
    30	      4	   1998	    3.8	    4.8
     1	      5	   1998	    4.9	   18.1
     2	      5	   1998	   22.5	   19.1
     3	      5	   1998	    3.3	   13.8
     4	      5	   1998	   13.5	   13.9
     5	      5	   1998	   -1.1	   25.3
     6	      5	   1998	   -0.3	    1.3
     7	      5	   1998	    9.0	   16.1
     8	      5	   1998	   12.0	   18.8
     9	      5	   1998	   14.2	   17.9
    10	      5	   1998	    8.8	    1.0
    11	      5	   1998	   15.2	   18.4
    12	      5	   1998	   11.3	    3.3
    13	      5	   1998	   -1.2	   23.8
    14	      5	   1998	    6.4	    8.1
    15	      5	   1998	    9.7	   13.7
    16	      5	   1998	    8.0	   21.1
    17	      5	   1998	   10.3	  346.9
    18	      5	   1998	    8.2	  345.1
    19	      5	   1998	    6.2	   10.6
    20	      5	   1998	   14.6	   14.9
    21	      5	   1998	    8.2	   22.4
    22	      5	   1998	    8.9	    2.2
    23	      5	   1998	    9.3	    2.1
    24	      5	   1998	   12.8	   17.3
    25	      5	   1998	    8.4	   16.6
    26	      5	   1998	   18.3	   16.1
    27	      5	   1998	   16.7	    8.6
    28	      5	   1998	    9.2	    0.1
    29	      5	   1998	   14.4	   14.1
    30	      5	   1998	    6.4	   16.6
    31	      5	   1998	   11.6	   15.9
     1	      6	   1998	    4.3	   14.1
     2	      6	   1998	   15.9	    7.7
     3	      6	   1998	    6.8	   11.4
     4	      6	   1998	   10.5	   10.4
     5	      6	   1998	    1.2	   11.6
     6	      6	   1998	    3.7	   20.4
     7	      6	   1998	   16.0	    9.5
     8	      6	   1998	    1.6	  350.0
     9	      6	   1998	    7.5	   11.3
    10	      6	   1998	   21.2	   11.1
    11	      6	   1998	    2.8	  359.8
    12	      6	   1998	    7.6	    5.0
    13	      6	   1998	   -2.5	   15.3
    14	      6	   1998	   10.7	   29.1
    15	      6	   1998	   17.5	   26.5
    16	      6	   1998	    1.5	    1.8
    17	      6	   1998	   10.6	   14.2
    18	      6	   1998	   10.0	  358.3
    19	      6	   1998	   16.7	    6.4
    20	      6	   1998	    9.7	    8.6
    21	      6	   1998	    5.1	  356.5
    22	      6	   1998	   11.7	    4.1
    23	      6	   1998	    5.6	    1.2
    24	      6	   1998	   12.8	    7.8
    25	      6	   1998	    4.7	   21.6
    26	      6	   1998	   16.6	   13.3
    27	      6	   1998	   18.7	   16.8
