Vitess_Vent_[m/s]	 Dir_Vent_[deg]	 Pelec[w]	 Patm[Pa]	 Temp[degC]	 Statut
   4.8	    310	      0	 101504	    4.8	      1
   1.1	     21	      0	 102106	    6.5	      1
  15.8	    316	 4733914	 101947	   -3.7	      1
   0.5	    265	      0	 101498	   13.3	      1
   6.9	    313	 559359	 100697	   -2.3	      1
  17.3	    284	 4616682	 101442	    1.8	      1
   3.1	    138	      0	 101165	   13.5	      1
   8.9	    197	 1175208	 101845	    9.7	      1
   5.0	    107	      0	 101900	   -3.1	      1
   3.7	    147	      0	 101337	    3.1	      1
  11.6	    299	 2659004	 101745	    0.2	      1
   3.0	    337	      0	 100722	   -0.8	      1
   4.6	    112	      0	 102080	   14.6	      1
   7.9	    344	 830346	 101366	    4.8	      1
   9.8	    269	 1539451	 102185	   11.8	      1
  10.8	     77	 2166274	 100928	   -2.7	      1
   5.7	    286	      0	 102152	   -3.9	      1
   5.8	      8	      0	 101432	   13.3	      1
   6.6	      4	 475196	 101359	    3.6	      1
   0.3	     38	      0	 101142	    7.6	      1
   1.1	    208	      0	 100483	    3.9	      1
  16.0	     71	 4492905	 100786	    7.5	      1
  15.3	    152	 4480184	 100722	    8.2	      1
   4.1	     95	      0	 101893	    4.4	      1
   2.2	     45	      0	 100709	    7.1	      1
   2.4	    151	      0	 102120	   -0.0	      1
   7.4	    187	 665864	 100692	    5.4	      1
   5.7	    198	      0	 102230	    9.0	      1
   3.6	     62	      0	 100766	   10.0	      1
  16.0	    164	 4542842	 101445	    6.3	      1
   0.4	    332	      0	 101086	   11.8	      1
  19.0	     66	 4715321	 101465	   -3.9	      1
   2.5	    135	      0	 101247	   -0.1	      1
   5.3	     35	      0	 100791	    1.7	      1
   6.6	    353	 474355	 100674	    1.4	      1
   9.9	    288	 1633285	 102049	    4.0	      1
   4.3	    239	      0	 100795	   13.1	      1
   7.5	    229	 695711	 100809	    6.2	      1
   6.7	    126	 505365	 101789	    2.6	      1
   9.7	    185	 1497330	 100950	   11.1	      1
   7.7	      2	 725406	 100473	   11.6	      1
   5.6	    207	      0	 101726	   -1.2	      1
   7.9	    117	 830197	 100621	   -2.1	      1
  16.5	    163	 4442366	 102158	   14.6	      1
   8.2	    259	 892108	 101830	   12.1	      1
  10.9	    171	 2103622	 100738	    9.0	      1
  11.7	    108	 2749089	 100555	   -4.1	      1
   4.5	    279	      0	 100695	    5.9	      1
   4.8	    330	      0	 100380	    6.5	      1
  18.9	    177	 4588824	 101839	    4.6	      1
   4.6	    261	      0	 100372	   10.8	      1
   3.2	     82	      0	 102156	   11.4	      0
   3.6	    239	      0	 102109	   -1.2	      1
  17.3	    168	 4664139	 102081	    0.7	      1
  10.7	    273	 2046473	 101327	    3.4	      0
   9.7	     36	 1549208	 101794	   -1.2	      0
