Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2001	   15.2	   38.5
     2	      1	   2001	    6.9	   29.1
     3	      1	   2001	   12.2	   20.5
     4	      1	   2001	    6.2	   26.8
     5	      1	   2001	    4.9	   26.2
     6	      1	   2001	    3.9	    9.3
     7	      1	   2001	    7.5	   10.7
     8	      1	   2001	   13.5	   22.8
     9	      1	   2001	   11.2	   15.8
    10	      1	   2001	   23.9	    7.4
    11	      1	   2001	    3.0	   15.8
    12	      1	   2001	    2.5	    1.0
    13	      1	   2001	    9.2	  357.7
    14	      1	   2001	    5.7	   16.8
    15	      1	   2001	   24.5	   18.5
    16	      1	   2001	    5.8	    6.7
    17	      1	   2001	    4.3	   12.2
    18	      1	   2001	   12.6	   18.5
    19	      1	   2001	    0.5	   21.0
    20	      1	   2001	   21.1	   20.4
    21	      1	   2001	    9.2	    3.8
    22	      1	   2001	    0.8	    9.1
    23	      1	   2001	   14.9	   25.0
    24	      1	   2001	   18.0	   15.1
    25	      1	   2001	    9.9	   17.1
    26	      1	   2001	    0.7	    7.0
    27	      1	   2001	   23.8	    0.8
    28	      1	   2001	   14.8	   18.9
    29	      1	   2001	    9.4	   19.5
    30	      1	   2001	   14.0	   14.0
    31	      1	   2001	   16.4	    1.0
     1	      2	   2001	    6.3	   20.8
     2	      2	   2001	    2.0	    6.8
     3	      2	   2001	    5.0	  351.5
     4	      2	   2001	   11.2	   14.7
     5	      2	   2001	    6.5	   27.8
     6	      2	   2001	    3.7	   22.8
     7	      2	   2001	    6.2	   19.1
     8	      2	   2001	    7.3	   11.4
     9	      2	   2001	   13.1	   18.8
    10	      2	   2001	   10.0	    6.6
    11	      2	   2001	   -0.2	   15.2
    12	      2	   2001	   11.6	   29.1
    13	      2	   2001	   14.9	   19.4
    14	      2	   2001	    5.5	  358.0
    15	      2	   2001	   12.3	    5.9
    16	      2	   2001	    2.5	   12.9
    17	      2	   2001	    6.7	   14.1
    18	      2	   2001	    9.5	   18.3
    19	      2	   2001	   14.9	    6.9
    20	      2	   2001	    3.9	   25.1
    21	      2	   2001	    4.3	   27.7
    22	      2	   2001	   24.2	   19.7
    23	      2	   2001	    7.6	   23.8
    24	      2	   2001	    9.2	   30.1
    25	      2	   2001	    1.8	  354.3
    26	      2	   2001	    0.2	   19.3
    27	      2	   2001	    9.5	   24.5
    28	      2	   2001	    9.7	    4.1
     1	      3	   2001	   17.5	  357.5
     2	      3	   2001	   20.1	    4.3
     3	      3	   2001	    6.8	    1.7
     4	      3	   2001	   20.2	    2.9
     5	      3	   2001	   16.4	    5.2
     6	      3	   2001	   11.3	  350.0
     7	      3	   2001	    9.5	    0.1
     8	      3	   2001	    9.8	   14.1
     9	      3	   2001	   20.6	   35.4
    10	      3	   2001	   29.1	   35.1
    11	      3	   2001	   21.7	   14.4
    12	      3	   2001	   10.8	  358.3
    13	      3	   2001	    1.2	   10.7
    14	      3	   2001	    6.9	   16.3
    15	      3	   2001	   20.0	   30.4
    16	      3	   2001	    9.0	   31.7
    17	      3	   2001	    8.7	   22.7
    18	      3	   2001	   16.2	   26.8
    19	      3	   2001	   12.6	    5.0
    20	      3	   2001	    7.1	   10.2
    21	      3	   2001	    7.6	   14.9
    22	      3	   2001	   18.3	   22.8
    23	      3	   2001	    6.1	   16.1
    24	      3	   2001	   10.6	   14.5
    25	      3	   2001	   13.5	   20.0
    26	      3	   2001	    7.4	    4.6
    27	      3	   2001	    6.8	  349.2
    28	      3	   2001	   11.1	   20.2
    29	      3	   2001	    6.2	   17.4
    30	      3	   2001	   13.1	   17.4
    31	      3	   2001	   14.2	    7.2
     1	      4	   2001	    5.9	    1.1
     2	      4	   2001	   13.9	   25.8
     3	      4	   2001	    8.3	    4.2
     4	      4	   2001	    6.3	  355.2
     5	      4	   2001	   16.6	    5.2
     6	      4	   2001	   22.7	    8.4
     7	      4	   2001	   10.6	   23.4
     8	      4	   2001	   15.2	   28.9
     9	      4	   2001	   17.8	    9.0
    10	      4	   2001	   16.0	   20.1
    11	      4	   2001	   20.4	   16.5
    12	      4	   2001	    2.5	   21.5
    13	      4	   2001	    3.2	   27.0
    14	      4	   2001	   20.7	   18.1
    15	      4	   2001	    8.6	   15.1
    16	      4	   2001	   11.3	   24.5
    17	      4	   2001	   10.8	  357.3
    18	      4	   2001	   12.7	   11.1
    19	      4	   2001	   20.3	   25.9
    20	      4	   2001	   14.0	   12.9
    21	      4	   2001	    7.6	    7.0
