Day	 Month	 Year	 Velocity [m/s]	 Direction [°]
NAN values refers to not available data.
     1	      1	   2001	   11.9	    6.3
     2	      1	   2001	    9.9	    2.5
     3	      1	   2001	   -1.9	  353.9
     4	      1	   2001	   16.4	   14.8
     5	      1	   2001	   10.0	    6.0
     6	      1	   2001	    8.9	    9.1
     7	      1	   2001	   12.1	    5.2
     8	      1	   2001	    9.8	   10.5
     9	      1	   2001	   15.3	  357.7
    10	      1	   2001	   18.8	  358.1
    11	      1	   2001	    8.2	    4.3
    12	      1	   2001	   14.2	    9.5
    13	      1	   2001	    6.1	  356.7
    14	      1	   2001	   13.6	    2.3
    15	      1	   2001	    4.5	  352.6
    16	      1	   2001	   13.4	    5.1
    17	      1	   2001	    8.0	    7.8
    18	      1	   2001	   10.0	   19.0
    19	      1	   2001	   10.0	    8.4
    20	      1	   2001	   -1.8	    7.3
    21	      1	   2001	   21.9	    4.8
    22	      1	   2001	    9.1	   16.3
    23	      1	   2001	   15.2	   10.0
    24	      1	   2001	    5.7	  355.6
    25	      1	   2001	    9.3	    3.4
    26	      1	   2001	    4.0	   13.3
    27	      1	   2001	   14.4	    5.7
    28	      1	   2001	    7.2	    4.9
    29	      1	   2001	   10.2	    1.7
    30	      1	   2001	   10.8	   15.3
    31	      1	   2001	    0.0	   13.3
     1	      2	   2001	    6.7	    6.7
     2	      2	   2001	    6.4	    9.1
     3	      2	   2001	   15.0	    5.3
     4	      2	   2001	    8.4	    1.0
     5	      2	   2001	   17.3	   19.2
     6	      2	   2001	   14.7	  355.0
     7	      2	   2001	   14.5	    7.0
     8	      2	   2001	    8.3	    3.3
     9	      2	   2001	    4.5	   10.6
    10	      2	   2001	   16.0	    8.6
    11	      2	   2001	    7.5	    7.9
    12	      2	   2001	    9.9	    6.9
    13	      2	   2001	   -0.7	  358.7
    14	      2	   2001	    7.4	    4.5
    15	      2	   2001	   12.6	  353.6
    16	      2	   2001	   -1.3	    4.5
    17	      2	   2001	    8.5	    6.0
    18	      2	   2001	    5.8	   13.3
    19	      2	   2001	    7.3	   17.8
    20	      2	   2001	   21.5	    8.3
    21	      2	   2001	   12.8	    1.0
    22	      2	   2001	   11.8	    9.4
    23	      2	   2001	   18.8	  353.4
    24	      2	   2001	    8.6	    9.3
    25	      2	   2001	   13.1	    6.7
    26	      2	   2001	    9.1	    8.0
    27	      2	   2001	   15.0	    6.7
    28	      2	   2001	    7.9	  354.0
     1	      3	   2001	   10.5	    5.8
     2	      3	   2001	    8.6	   13.0
     3	      3	   2001	   17.0	  350.9
     4	      3	   2001	    7.4	    4.0
     5	      3	   2001	   15.7	   12.8
     6	      3	   2001	   15.1	   14.3
     7	      3	   2001	   17.8	    3.6
     8	      3	   2001	    7.8	  357.7
     9	      3	   2001	    3.9	   17.9
    10	      3	   2001	   18.7	  348.8
    11	      3	   2001	   13.8	    4.0
    12	      3	   2001	    5.9	    4.1
    13	      3	   2001	    9.2	    7.2
    14	      3	   2001	    8.8	    0.2
    15	      3	   2001	   18.7	    7.4
    16	      3	   2001	    9.2	   27.7
    17	      3	   2001	   14.9	    9.7
    18	      3	   2001	   12.1	    4.0
    19	      3	   2001	   16.2	    5.0
    20	      3	   2001	   14.5	    7.0
    21	      3	   2001	    4.0	  355.2
    22	      3	   2001	   12.9	   10.3
    23	      3	   2001	    7.6	    5.8
    24	      3	   2001	   13.1	   13.0
    25	      3	   2001	    8.8	   12.6
    26	      3	   2001	    8.7	    1.9
    27	      3	   2001	    4.4	  354.0
    28	      3	   2001	    5.7	    5.4
    29	      3	   2001	   19.4	    3.6
    30	      3	   2001	    5.7	   10.4
    31	      3	   2001	   10.2	   18.5
     1	      4	   2001	   17.0	    4.1
     2	      4	   2001	   15.3	   10.4
     3	      4	   2001	   13.2	  350.3
     4	      4	   2001	    3.3	    8.1
     5	      4	   2001	   14.5	   10.9
     6	      4	   2001	    9.3	   14.3
